from_stop,AE,AG,AL,AO,AS,BA,BC,BQ,BU,BZ,CD,CI,CP,CX,DD,DE,DN,DS,EE,EF,EG,EH,EN,EO,ER,EU,EW,FM,FQ,FR,FT,FV,GI,GL,GS,GY,HF,HH,HI,HM,HS,HU,HX,ID,IF,IJ,IQ,IZ,JD,JI,JJ,JK,JM,JN,JO,JP,JQ,KB,KE,KK,KR,KW,KX,KY,LB,LI,LK,LU,MM,MS,MW,NB,NI,NL,NM,NO,NQ,NW,OA,OG,PB,PD,PL,QB,QS,QU,RC,RM,RN,RP,SA,SB,SH,SN,SS,SV,SZ,TA,TB,TL,TX,TY,UG,UI,UP,UY,VG,VP,WG,WH,WK,WL,WU,XG,XJ,XN,XP,XQ,XU,XV,XW,YN,YU,ZD,ZF,ZL,ZU,ZW,ZY
NQ,352.3,583.9,395.0,609.4,409.8,171.8,463.5,138.7,292.6,534.7,719.5,143.2,304.5,749.1,138.6,399.8,394.6,430.5,562.4,651.5,649.2,493.8,355.7,754.9,443.5,299.8,128.7,330.3,438.2,385.0,570.7,508.1,976.6,678.0,452.8,481.0,293.4,405.4,533.0,369.7,491.4,471.8,46.1,578.9,428.3,287.5,378.1,643.1,136.6,533.7,321.6,517.3,908.6,595.6,644.5,372.6,902.7,502.4,885.6,587.4,871.0,314.5,145.7,229.1,594.7,99.2,197.3,790.5,529.8,390.7,572.5,663.1,233.7,506.5,345.1,863.9,0.0,375.1,691.8,166.4,467.8,462.6,586.8,235.8,535.6,934.1,427.7,360.6,232.9,430.6,683.0,327.4,372.9,197.5,298.7,130.1,282.4,443.5,256.5,172.5,534.4,445.6,610.7,462.7,722.0,475.4,493.3,354.4,368.9,270.3,517.0,713.0,592.5,515.4,614.9,173.5,854.5,603.3,523.5,812.7,344.6,617.1,360.2,382.8,416.0,274.8,626.9,382.2,299.8
NW,100.6,345.9,161.3,350.4,34.6,296.1,230.2,381.2,112.9,308.3,485.8,408.6,54.7,515.4,348.5,175.4,19.4,209.5,328.7,417.8,390.2,272.8,162.9,521.2,222.9,227.9,342.5,136.1,63.4,93.6,395.5,274.8,992.9,444.3,231.8,115.6,210.9,27.3,286.6,128.5,134.2,250.8,381.7,404.1,207.3,172.0,181.8,409.4,393.5,362.1,64.7,290.9,674.9,362.3,411.2,166.4,653.7,268.7,651.9,353.7,637.3,80.7,402.6,338.8,338.2,367.5,287.8,556.8,302.0,169.7,338.8,429.4,301.3,331.9,117.3,630.2,401.0,0.0,458.1,384.8,244.3,241.6,330.7,137.6,301.9,695.4,187.7,25.1,238.7,70.5,449.3,57.7,98.8,306.4,147.9,269.7,184.2,222.5,158.3,329.5,300.7,224.6,377.0,241.7,488.3,254.8,272.3,68.3,172.9,201.1,296.4,458.5,346.0,340.6,381.6,310.2,620.8,365.5,348.3,579.0,84.4,383.4,127.0,7.7,31.8,101.3,393.2,158.0,123.9
OA,462.2,113.4,307.4,261.6,420.3,698.3,303.6,633.8,368.0,362.0,27.7,668.2,497.3,244.4,619.6,388.8,435.5,357.6,189.3,146.8,288.6,429.9,496.5,243.7,380.0,605.5,625.8,503.9,403.8,455.2,190.5,186.0,1245.5,157.5,429.4,328.8,602.2,424.3,310.2,490.1,347.4,404.7,699.1,199.1,335.4,523.9,518.6,122.6,710.9,153.0,435.6,344.6,403.9,179.4,174.4,377.3,398.0,159.8,380.9,116.9,366.3,448.5,720.0,656.2,320.0,684.9,573.3,285.8,308.6,317.8,96.5,38.0,572.4,185.2,485.1,359.2,718.8,455.6,0.0,637.4,312.6,270.9,312.5,534.7,238.8,424.4,266.8,469.7,616.3,392.9,178.3,401.3,366.0,615.4,525.5,587.1,581.3,257.8,555.4,567.4,211.9,422.2,106.0,398.8,217.3,217.7,268.0,379.7,509.7,578.7,274.1,208.3,261.2,175.3,110.6,627.6,349.8,128.7,167.6,308.0,410.2,96.6,504.6,447.5,420.7,453.2,122.2,384.6,521.0
OG,352.1,579.4,394.8,609.2,409.6,174.3,463.7,88.5,292.4,534.5,719.3,143.0,295.0,748.9,138.4,399.4,394.4,487.1,562.2,651.3,649.0,550.4,358.7,754.7,500.5,299.6,111.5,330.1,438.4,384.8,629.0,508.3,1060.6,677.8,509.4,472.6,279.9,402.3,532.9,369.5,491.2,528.4,212.2,637.6,484.9,287.3,377.6,642.9,212.1,595.6,321.4,517.1,908.4,595.8,644.7,372.4,887.2,502.2,885.4,587.2,870.8,314.3,221.2,157.4,594.5,183.0,197.1,790.3,610.3,447.3,572.3,662.9,233.5,565.4,344.9,863.7,231.5,374.9,691.6,0.0,552.6,519.2,587.0,235.6,535.4,928.9,421.2,351.1,232.7,427.5,682.8,327.2,376.4,197.7,298.5,129.9,282.2,500.1,256.3,172.3,534.2,502.2,610.5,519.3,721.8,570.2,562.8,345.9,368.7,270.1,603.4,692.0,592.3,574.1,615.1,125.7,854.3,599.0,581.8,812.5,344.4,616.9,360.6,382.6,409.0,276.5,626.7,382.0,299.6
PB,366.9,176.3,322.2,106.0,325.0,564.4,273.3,546.0,382.8,131.0,248.3,548.1,399.7,328.4,488.0,358.3,340.2,198.4,245.2,334.3,143.3,201.2,365.8,293.0,153.8,473.9,513.3,408.6,306.2,359.9,121.4,278.9,1160.6,209.1,200.7,298.5,468.3,326.7,79.2,376.6,321.9,176.0,702.9,130.0,225.6,392.3,384.7,192.2,665.9,142.8,340.3,115.9,526.8,281.3,242.3,351.6,505.6,208.1,568.4,221.5,553.8,353.2,672.5,606.4,89.0,688.7,441.7,471.0,52.8,183.5,187.3,261.0,440.8,166.5,389.8,484.4,719.9,360.3,225.4,553.3,0.0,196.5,81.5,448.1,229.7,509.5,280.1,372.1,482.4,298.2,365.8,303.7,268.4,481.5,393.9,590.9,494.7,199.1,466.5,478.9,307.1,193.5,293.5,170.1,301.3,194.3,138.2,284.4,378.1,447.1,176.5,233.4,103.1,161.4,298.1,633.9,459.9,172.0,151.2,495.5,382.2,299.9,370.7,352.2,375.8,355.6,309.7,340.9,434.4
PD,264.5,187.5,191.5,194.4,222.6,511.0,187.7,446.5,252.1,140.4,261.4,480.9,299.6,357.0,432.3,300.1,237.8,159.9,170.3,259.4,234.2,209.6,333.0,306.1,159.7,398.0,542.1,306.2,206.1,257.5,147.7,116.4,1058.2,219.9,209.1,240.3,381.0,229.9,118.6,292.4,258.9,183.1,600.5,156.3,137.7,305.8,351.9,203.0,607.7,114.3,237.9,123.0,516.5,203.9,209.0,291.1,495.3,110.3,493.5,195.3,478.9,250.8,616.8,553.0,180.3,586.3,386.0,398.4,152.1,120.1,180.4,271.0,385.1,82.5,287.4,471.8,619.8,257.9,233.7,450.1,94.4,0.0,172.8,345.7,64.9,537.0,131.7,267.6,408.8,195.2,290.9,203.6,165.9,428.1,318.0,488.5,392.3,42.4,366.4,380.1,142.3,201.9,218.6,178.5,329.9,52.8,52.3,188.1,343.0,371.2,76.4,243.4,178.1,92.8,223.2,529.0,462.4,143.5,100.5,420.6,311.3,225.0,297.1,249.8,275.7,253.4,234.8,282.7,332.0
PL,306.5,309.8,272.4,142.1,282.5,480.1,225.8,465.8,333.0,49.4,338.7,464.2,350.0,430.4,404.1,310.8,297.7,148.6,292.6,381.7,181.9,134.1,281.0,363.3,126.8,390.0,431.7,329.2,266.0,317.4,207.6,238.7,1118.1,297.2,150.9,259.2,386.7,286.5,65.7,295.0,269.6,92.1,639.2,216.2,175.8,308.4,303.4,280.3,579.5,210.8,297.8,32.0,631.1,326.2,305.5,301.8,609.9,232.6,615.8,305.2,601.2,310.7,588.6,524.8,7.5,625.0,357.8,520.7,150.0,133.7,302.7,393.3,356.9,180.0,325.3,586.4,658.5,317.8,311.0,469.4,88.0,154.0,0.0,405.6,187.2,618.8,232.6,331.9,400.8,258.0,413.2,263.5,228.2,399.9,310.0,527.2,452.2,158.9,426.3,395.0,264.6,143.7,340.9,145.6,403.3,149.3,95.7,241.9,294.2,363.2,136.3,320.7,125.2,189.3,345.5,567.7,561.9,240.0,197.0,542.9,332.4,347.3,288.5,309.7,342.4,315.4,357.1,293.4,391.9
QB,132.6,466.9,282.3,513.2,257.3,265.7,351.2,237.9,179.9,438.5,606.8,250.4,162.2,636.4,190.3,286.9,242.1,352.8,449.7,538.8,553.0,416.1,195.0,642.2,366.2,63.9,227.6,94.4,286.1,165.3,516.5,395.8,1051.5,565.3,375.1,338.3,115.7,250.0,436.8,185.0,356.9,394.1,266.8,525.1,350.6,94.6,213.9,530.4,313.0,483.1,169.1,421.1,795.9,483.3,532.2,259.9,774.7,389.7,772.9,474.7,758.3,150.9,322.1,258.3,498.5,252.6,121.5,677.8,445.3,313.0,459.8,550.4,175.9,452.9,109.2,751.2,286.1,222.6,579.1,241.5,387.6,384.9,491.0,0.0,422.9,816.4,308.7,198.8,72.4,293.2,570.3,192.9,242.1,140.1,130.4,154.8,46.5,365.8,20.6,163.2,421.7,367.9,498.0,385.0,609.3,398.1,415.6,211.6,205.0,105.9,439.7,579.5,496.3,461.6,502.6,195.3,741.8,486.5,469.3,700.0,231.9,504.4,159.1,230.3,254.5,164.0,514.2,269.5,187.1
QS,313.3,188.2,192.2,178.7,271.4,559.8,188.4,495.3,252.8,190.5,246.3,529.7,348.4,357.7,481.1,348.9,286.6,208.7,171.0,260.1,218.5,258.4,381.8,291.0,208.5,446.8,590.9,355.0,254.9,306.3,132.6,117.1,1107.0,204.8,257.9,289.1,429.8,278.7,138.6,341.2,307.7,233.2,583.9,141.2,186.5,354.6,400.7,187.9,595.7,99.2,286.7,173.1,517.2,204.6,193.9,339.9,496.0,111.0,494.2,193.6,479.6,299.6,604.8,541.0,148.5,569.7,434.8,399.1,130.3,168.9,181.1,271.7,433.9,67.4,336.2,472.5,603.2,306.7,218.6,498.9,147.2,64.5,141.0,394.5,0.0,537.7,132.4,316.4,457.6,244.0,291.6,252.4,214.7,476.9,366.8,471.9,441.1,95.2,415.2,428.9,143.0,250.7,219.3,227.3,330.6,64.2,105.1,236.9,391.8,420.0,125.2,228.3,164.3,77.7,223.9,512.4,463.1,128.4,85.4,421.3,360.1,225.7,345.9,298.6,324.5,302.2,235.5,331.5,380.8
QU,719.8,406.5,544.5,483.0,671.8,847.9,540.7,866.0,605.1,569.9,448.2,905.4,691.5,370.6,856.8,625.9,656.6,634.8,426.4,376.5,500.3,659.6,733.7,387.3,634.2,835.8,858.0,764.4,684.8,712.8,483.6,418.1,1482.7,411.7,676.4,574.1,830.2,662.8,569.3,747.7,579.5,617.6,936.2,492.2,628.5,761.1,756.1,429.5,948.0,450.0,693.0,557.5,73.6,377.4,467.5,614.4,72.7,396.9,105.7,410.0,91.1,709.0,957.1,900.7,532.9,922.0,810.5,158.5,583.6,595.0,395.1,382.0,809.6,473.3,745.6,51.9,955.9,651.2,425.5,874.6,613.5,540.5,520.4,771.8,475.9,0.0,503.9,666.0,844.3,676.8,291.4,676.9,642.0,847.6,762.7,824.2,818.4,545.8,792.5,804.6,449.0,669.2,291.4,658.0,343.5,505.7,561.1,655.7,746.9,815.9,567.2,334.5,509.9,468.4,340.3,864.7,273.6,425.9,460.7,185.7,647.3,403.5,741.2,643.1,657.8,728.8,351.9,608.3,758.1
RC,259.4,162.4,59.7,265.4,211.4,363.1,89.0,448.8,120.3,275.2,298.0,443.7,235.9,327.6,428.9,163.2,196.2,150.0,140.9,230.0,294.2,213.3,332.4,333.4,163.4,351.0,456.5,305.3,240.2,252.4,207.7,98.0,1052.1,256.5,172.3,111.4,408.3,207.4,223.4,298.3,132.8,191.3,451.4,216.3,139.9,282.7,354.8,221.6,481.3,170.7,237.4,257.8,498.1,185.5,234.4,154.0,481.2,80.9,464.1,165.9,449.5,253.4,472.3,415.9,233.2,437.2,408.6,380.0,221.8,110.2,151.0,241.6,379.0,154.0,286.5,442.4,471.1,190.8,281.3,444.0,261.5,178.7,225.7,287.0,114.1,512.6,0.0,205.6,422.4,192.0,261.5,227.5,162.2,490.1,320.6,339.4,333.6,200.0,360.0,374.0,112.9,165.1,189.2,182.2,300.5,148.9,216.9,175.9,345.6,373.8,209.9,291.5,249.0,152.8,193.8,379.9,433.0,181.8,160.5,391.2,184.6,195.6,299.1,182.7,197.4,268.4,205.4,156.6,273.3
RM,103.6,360.0,175.4,364.5,48.7,281.2,244.3,375.3,98.0,322.4,499.9,393.7,39.8,529.5,333.6,186.1,33.5,223.6,342.8,431.9,404.3,286.9,148.0,535.3,237.0,213.0,355.6,121.2,77.5,107.7,409.6,288.9,1007.0,458.4,245.9,129.7,199.4,44.7,300.7,132.4,148.3,264.9,366.8,418.2,221.4,157.1,166.9,423.5,378.7,372.6,49.8,305.0,689.0,376.4,425.3,159.1,683.1,282.8,666.0,367.8,651.4,65.8,387.7,323.9,352.3,352.6,272.9,570.9,322.9,183.8,352.9,443.5,286.4,344.9,102.4,644.3,386.1,14.1,472.2,392.9,258.4,255.7,344.8,122.7,316.0,709.5,201.8,0.0,224.6,84.6,463.4,71.8,109.6,291.5,133.0,254.8,169.3,236.6,133.1,314.6,314.8,238.7,391.1,255.8,502.4,268.9,286.4,90.7,158.0,186.2,310.5,493.4,360.1,354.7,395.7,289.7,634.9,379.6,362.4,593.1,69.5,397.5,112.1,21.8,45.9,78.2,407.3,168.8,109.0
RN,227.3,458.9,270.0,503.2,284.8,112.7,338.9,233.8,167.6,461.1,594.5,190.6,170.2,624.1,175.8,274.6,269.6,362.3,437.4,526.5,543.0,425.6,268.5,629.9,375.7,174.8,203.4,205.3,313.6,260.0,504.2,383.5,1145.7,553.0,384.6,347.8,169.2,280.8,439.3,261.7,366.4,403.6,198.3,512.8,360.1,162.5,290.6,518.1,210.1,467.2,196.6,443.7,783.6,471.0,519.9,247.6,777.7,377.4,760.6,462.4,746.0,189.5,219.2,162.8,529.7,184.1,135.5,665.5,461.6,322.5,447.5,538.1,171.9,439.5,220.1,738.9,217.6,250.1,566.8,241.1,397.1,394.4,522.2,110.8,410.6,809.1,296.4,236.0,0.0,302.7,558.0,202.4,248.3,136.1,198.3,86.3,157.4,375.3,131.5,177.2,409.4,377.4,485.7,394.5,597.0,445.4,425.1,229.4,281.7,216.8,449.2,588.0,498.8,449.3,490.3,126.8,729.5,474.2,457.0,687.7,219.6,492.1,235.8,257.8,291.0,149.8,501.9,257.2,174.8
RP,200.7,274.8,90.2,371.1,152.7,359.9,159.6,481.8,139.2,323.1,412.3,522.6,186.7,444.3,462.5,104.3,137.5,226.7,257.6,346.7,410.9,290.0,276.9,447.7,237.7,341.9,473.3,246.6,179.1,193.7,324.4,201.3,1093.0,373.2,249.0,44.5,336.2,146.3,337.6,226.2,60.7,268.0,445.5,330.6,216.6,286.0,295.8,338.3,457.8,291.0,178.7,308.1,601.4,288.8,337.7,95.3,582.6,195.2,580.8,282.6,566.2,194.7,466.4,402.6,347.5,431.3,401.8,483.3,331.7,186.9,267.7,358.3,415.3,257.3,227.8,559.1,464.8,132.1,384.6,484.9,263.9,295.4,342.4,269.6,230.8,624.3,116.6,147.4,352.7,0.0,378.2,155.4,193.2,418.0,261.9,333.5,316.2,229.4,290.8,414.9,229.6,241.8,305.9,258.9,417.2,263.2,281.6,174.3,284.5,315.1,326.6,407.7,365.7,267.1,308.1,374.0,549.7,294.4,277.2,507.9,125.9,312.3,241.0,124.0,131.9,209.7,322.1,97.9,255.9
SA,548.6,249.7,451.4,290.2,506.7,795.1,447.6,730.6,512.0,382.1,242.4,765.0,583.7,251.4,716.4,532.6,521.9,444.0,333.3,269.2,307.5,466.8,617.1,181.5,446.4,682.1,826.2,590.3,490.2,541.6,276.9,330.0,1342.3,200.9,483.6,472.8,665.1,514.0,376.5,576.5,491.4,424.8,843.1,285.5,421.8,589.9,636.0,263.3,854.9,282.9,522.0,364.7,257.1,341.3,260.8,521.3,235.9,303.8,266.2,265.0,251.6,534.9,864.0,800.2,340.1,828.9,670.1,239.7,383.6,404.2,258.4,252.8,669.2,316.2,571.5,212.4,862.4,542.0,214.7,734.2,396.5,396.2,332.6,629.8,382.8,296.4,391.6,551.7,692.9,479.3,0.0,487.7,450.0,712.2,602.1,731.1,676.4,387.7,650.5,664.2,355.9,476.4,198.3,465.2,224.3,347.6,354.4,472.2,627.1,655.3,360.5,224.4,317.1,305.2,325.4,771.6,187.9,258.6,297.5,261.9,595.4,311.4,581.2,533.9,559.8,537.5,337.0,515.2,616.1
SB,68.9,341.5,191.0,300.7,122.4,393.3,259.9,327.8,180.4,258.6,413.7,365.9,86.4,511.0,317.3,218.9,107.2,159.8,324.3,413.4,340.5,223.1,129.3,458.4,173.2,194.3,323.5,114.8,111.1,61.9,300.0,270.4,943.2,372.2,182.1,145.3,191.0,118.4,248.0,96.8,163.9,201.1,396.8,308.6,157.6,102.1,148.5,355.3,408.6,263.0,34.2,241.2,670.5,357.9,361.3,197.2,649.3,264.3,647.5,349.3,632.9,47.1,417.7,353.9,288.5,382.6,254.2,552.4,259.1,120.0,334.4,425.0,270.1,235.8,96.0,625.8,416.1,87.7,386.0,335.1,194.6,191.9,281.0,142.0,222.9,691.0,223.7,68.3,205.1,100.7,444.9,0.0,45.8,272.8,114.3,284.8,188.6,172.8,162.7,265.1,296.3,174.9,372.6,192.0,483.9,205.1,222.6,26.9,139.3,167.5,246.7,395.7,296.3,245.1,377.2,325.3,616.4,290.6,252.8,574.6,107.6,379.0,92.8,95.4,119.6,51.8,388.8,187.7,128.3
SH,96.1,295.6,145.1,254.8,81.7,347.4,214.0,281.9,215.7,212.7,367.8,320.0,131.2,465.1,271.4,159.4,96.9,113.9,278.4,367.5,294.6,177.2,148.2,412.5,127.3,229.6,277.6,137.8,65.2,89.1,254.1,224.5,897.3,326.3,136.2,99.4,226.3,85.7,190.9,124.0,118.0,155.2,432.1,262.7,111.7,175.7,170.4,309.4,446.8,217.1,69.5,195.3,624.6,312.0,315.4,150.2,618.7,218.4,601.6,303.4,587.0,82.4,455.9,392.1,242.6,417.9,225.1,506.5,206.4,74.1,288.5,379.1,224.2,189.9,119.0,579.9,451.4,123.0,340.1,289.2,148.7,146.0,235.1,177.3,177.0,645.1,171.5,108.9,240.4,54.3,399.0,35.2,0.0,267.2,149.6,320.1,223.9,126.9,198.0,219.2,250.4,129.0,326.7,146.1,438.0,159.2,176.7,13.7,161.5,202.8,200.8,384.7,250.4,199.2,331.3,360.6,570.5,244.7,206.9,528.7,142.9,333.1,128.7,108.9,134.8,87.1,342.9,141.8,163.6
SN,155.1,564.6,380.0,437.3,256.4,200.3,448.9,182.3,277.6,362.6,704.5,184.4,166.7,734.1,124.3,384.6,241.2,352.2,547.4,636.5,477.1,415.5,171.6,597.7,365.6,170.0,151.9,116.9,285.2,187.8,502.8,493.5,1003.5,663.0,352.4,337.4,95.8,252.4,360.9,146.8,356.0,393.5,308.3,511.4,350.0,96.1,193.7,628.1,299.7,455.4,191.6,345.2,893.6,581.0,629.9,357.6,872.4,487.4,870.6,572.4,856.0,173.4,308.8,245.0,422.6,294.1,78.0,775.5,438.4,312.4,557.5,648.1,35.7,428.2,131.7,848.9,327.6,221.7,676.8,189.6,385.5,384.3,415.1,220.8,415.3,914.1,406.4,207.6,109.9,292.3,668.0,192.3,238.2,0.0,100.7,196.3,267.4,365.2,241.5,115.2,519.4,345.2,595.7,384.4,707.0,397.5,390.9,219.3,184.8,72.3,431.5,677.2,420.4,437.5,600.3,236.8,839.5,483.0,445.2,797.7,259.6,602.1,121.6,229.4,260.4,139.7,611.9,367.2,180.6
SS,75.5,447.6,263.0,392.2,182.2,287.3,331.9,256.2,160.6,317.5,587.5,268.7,94.6,617.1,208.6,267.6,167.0,277.7,430.4,519.5,432.0,341.0,74.0,552.6,291.1,79.9,249.9,44.8,211.0,108.2,417.9,376.5,1061.1,546.0,300.0,263.2,62.9,174.9,315.8,46.0,281.8,319.0,289.1,426.5,275.5,24.0,92.9,511.1,300.9,384.5,94.0,300.1,776.6,464.0,512.9,240.6,755.4,370.4,753.6,455.4,739.0,75.8,310.0,246.2,377.5,274.9,139.8,658.5,393.3,237.9,440.5,531.1,194.2,352.7,59.6,731.9,308.4,147.5,559.8,259.8,335.6,309.8,370.0,122.2,340.8,797.1,289.4,123.7,90.7,218.1,551.0,117.8,167.0,158.4,0.0,177.1,168.8,290.7,142.9,181.5,402.4,292.8,478.7,309.9,590.0,323.0,345.8,136.5,84.0,53.1,364.6,560.2,375.3,363.0,483.3,217.6,722.5,413.7,370.7,680.7,167.4,485.1,20.8,155.2,179.4,69.5,494.9,250.2,108.5
SV,369.7,597.0,412.4,664.3,427.2,193.0,481.3,199.7,310.0,589.6,736.9,198.1,312.6,766.5,138.0,417.0,412.0,504.7,579.8,668.9,704.1,568.0,413.8,772.3,518.1,317.2,213.3,333.4,456.0,402.4,646.6,525.9,1004.8,695.4,527.0,490.2,298.6,419.9,587.9,363.3,508.8,546.0,195.9,655.2,502.5,304.9,432.7,660.5,135.1,613.2,339.0,572.2,926.0,613.4,662.3,390.0,904.8,519.8,903.0,604.8,888.4,331.9,144.2,90.1,649.6,97.7,215.8,807.9,665.4,464.9,589.9,680.5,252.2,583.0,348.2,881.3,212.4,392.5,709.2,203.3,607.7,536.8,642.1,253.2,553.0,946.5,438.8,368.7,251.4,445.1,700.4,344.8,394.0,216.4,317.2,0.0,299.8,517.7,273.9,227.4,551.8,519.8,628.1,536.9,739.4,587.8,617.9,363.5,423.8,288.8,658.5,709.6,647.4,591.7,632.7,40.4,871.9,616.6,599.4,830.1,362.0,634.5,338.1,400.2,426.6,294.1,644.3,399.6,317.2
SZ,86.0,492.5,307.9,466.6,210.7,293.5,376.8,262.4,181.6,391.9,632.4,274.9,115.6,662.0,214.8,312.5,195.5,306.2,475.3,564.4,506.4,369.5,148.4,667.8,319.6,17.3,256.1,47.8,239.5,118.7,446.4,421.4,1076.0,590.9,328.5,291.7,69.1,203.4,390.2,138.4,310.3,347.5,295.3,455.0,304.0,48.0,167.3,556.0,307.1,413.0,122.5,374.5,821.5,508.9,507.7,285.5,800.3,415.3,798.5,500.3,783.9,104.3,316.2,252.4,451.9,281.1,146.0,703.4,398.7,266.4,485.4,576.0,195.7,381.2,62.6,776.8,314.6,176.0,604.7,266.0,341.0,338.3,444.4,207.8,369.3,842.0,334.3,152.2,96.9,246.6,595.9,146.3,195.5,164.6,83.8,183.3,0.0,319.2,228.5,187.7,447.3,321.3,523.6,338.4,634.9,351.5,369.0,165.0,158.4,59.3,393.1,605.1,449.7,391.5,528.2,223.8,767.4,442.2,399.2,725.6,195.9,530.0,112.5,183.7,207.9,90.5,539.8,295.1,129.5
TA,261.9,196.4,200.4,173.8,220.0,505.7,185.1,440.2,261.0,137.8,240.8,478.3,297.0,365.9,429.7,297.5,235.2,157.3,179.2,268.3,213.6,207.0,330.4,285.5,157.1,395.4,435.9,303.6,203.5,254.9,127.1,125.3,1055.6,199.3,206.5,245.9,392.1,224.0,116.0,289.8,256.3,180.5,597.9,135.7,135.1,303.2,349.6,182.4,605.1,90.1,235.3,120.4,525.4,212.8,188.4,288.5,504.2,119.2,502.4,188.1,487.8,248.2,614.2,557.8,161.0,583.7,383.4,407.3,149.6,117.5,189.3,279.9,382.5,62.9,284.8,480.7,617.2,255.3,213.1,447.5,96.6,54.9,153.5,343.1,77.8,545.9,140.6,269.4,406.2,192.6,299.8,201.0,165.7,425.5,315.4,485.9,389.7,0.0,363.8,377.5,151.2,199.3,227.5,175.9,338.8,32.2,49.7,179.4,340.4,368.6,73.8,329.8,173.4,72.2,232.1,526.4,471.3,122.9,79.9,429.5,308.7,233.9,293.9,247.2,273.1,252.9,243.7,293.5,329.4
TB,218.9,450.5,261.6,494.8,276.4,242.3,330.5,217.2,159.2,452.7,586.1,229.7,161.8,615.7,169.6,266.2,261.2,353.9,429.0,518.1,534.6,417.2,260.1,621.5,367.3,166.4,197.2,196.9,305.2,251.6,495.8,375.1,1030.8,544.6,376.2,347.6,37.6,272.4,430.9,253.3,358.0,395.2,246.1,504.4,351.7,154.1,282.2,509.7,292.3,458.8,188.2,435.3,775.2,462.6,511.5,239.2,769.3,369.0,752.2,454.0,737.6,181.1,301.4,245.0,521.3,231.9,100.8,657.1,453.2,314.1,439.1,529.7,155.2,431.1,211.7,730.5,265.4,241.7,558.4,220.8,393.5,386.0,513.8,102.4,402.2,800.7,288.0,227.6,51.7,294.8,549.6,194.0,239.9,119.4,189.9,134.1,149.0,366.9,0.0,142.5,401.0,369.0,477.3,386.1,588.6,437.0,416.7,221.0,273.3,191.8,440.8,579.6,490.4,440.9,481.9,174.6,721.1,465.8,448.6,679.3,211.2,483.7,226.8,249.4,282.6,141.4,493.5,262.2,166.4
TL,238.3,508.6,370.8,466.5,345.0,184.6,439.7,74.6,268.4,391.8,695.3,117.0,246.8,724.9,103.1,375.4,329.8,348.2,538.2,627.3,506.3,411.5,216.0,626.9,361.6,275.6,189.8,197.0,373.8,271.0,532.0,484.3,888.2,653.8,381.6,426.0,165.9,337.7,390.1,226.8,444.6,340.8,341.0,540.6,346.0,176.2,234.9,618.9,281.3,535.2,256.8,374.4,884.4,571.8,573.9,348.4,863.2,478.2,861.4,516.4,846.8,238.6,290.4,226.6,451.8,261.3,41.6,766.3,467.6,308.4,501.5,638.9,119.5,503.4,211.8,839.7,360.3,310.3,667.6,78.2,409.9,478.4,444.3,211.6,411.3,904.9,397.2,286.5,100.7,380.9,658.8,280.6,329.8,83.7,180.8,229.0,258.2,361.2,232.3,0.0,510.2,374.4,586.5,380.4,697.8,473.7,420.1,299.3,226.0,156.1,460.7,668.0,449.6,513.7,591.1,204.0,825.5,564.4,521.4,788.5,320.4,592.9,220.9,318.0,342.2,252.5,602.7,358.0,275.6
TX,329.6,121.4,275.5,141.4,287.7,576.1,252.8,511.6,336.1,206.8,208.4,546.0,364.7,366.1,497.4,365.2,302.9,225.0,179.4,268.5,181.2,274.7,398.1,253.1,224.8,463.1,607.2,371.3,271.2,322.6,94.7,200.4,1123.3,166.9,274.2,305.4,446.1,295.0,154.9,357.5,324.0,249.5,665.6,103.3,202.8,370.9,417.0,150.0,672.8,61.3,303.0,189.4,525.6,213.0,156.0,356.2,504.4,142.3,502.6,124.6,488.0,315.9,681.9,618.1,164.8,651.4,451.1,407.5,146.6,185.2,130.1,218.8,450.2,31.1,352.5,480.9,684.9,323.0,180.7,515.2,172.6,115.7,157.3,410.8,148.9,546.1,259.6,332.7,473.9,260.3,300.0,268.7,231.0,493.2,383.1,553.6,457.4,102.6,431.5,445.2,0.0,267.0,227.7,243.6,339.0,62.5,130.5,253.2,408.1,436.3,141.5,190.4,141.0,39.8,232.3,594.1,471.5,90.5,47.5,429.7,376.4,234.1,362.2,314.9,340.8,318.5,243.9,347.8,397.1
TY,276.5,200.8,246.3,125.7,234.6,517.0,199.7,458.5,306.9,83.6,272.8,498.4,311.6,431.4,438.3,312.1,249.8,150.0,244.7,333.8,165.5,152.8,318.4,317.5,102.9,410.0,554.1,318.2,218.1,269.5,143.6,190.8,1070.2,231.3,7.1,252.3,393.0,241.9,61.8,304.4,270.9,126.3,612.5,152.2,149.7,317.8,337.3,214.4,613.7,162.9,249.9,66.2,590.9,278.3,257.6,303.1,569.7,184.7,567.9,243.7,553.3,262.8,622.8,559.0,113.5,598.3,392.0,472.8,77.3,135.1,209.5,283.2,391.1,131.1,299.4,546.2,631.8,269.9,245.1,462.1,19.6,106.1,106.0,357.7,139.3,611.4,206.5,279.6,420.8,207.2,365.3,215.6,177.9,434.1,330.0,500.5,404.3,111.0,378.4,392.1,216.7,0.0,293.0,121.7,404.3,101.4,47.8,200.1,328.4,383.2,88.4,254.8,121.3,141.4,297.6,541.0,482.1,192.1,149.1,495.0,323.3,299.4,309.1,261.8,287.7,265.4,309.2,294.7,344.0
