from_stop,AB,AG,AY,BC,BF,BM,BS,BZ,CA,CB,CF,CO,CW,CX,CY,DA,DJ,DK,DY,EA,EE,EF,EH,EK,EL,ET,EW,EZ,FB,FF,FG,FI,FK,FL,FQ,GA,GG,GH,GI,GL,GY,GZ,HB,HC,HP,HS,HT,HV,HW,HX,IB,IJ,IN,IR,IT,JA,JF,JK,JM,JP,JX,KC,KE,KH,KN,KT,KZ,LK,ME,MO,MS,MV,MW,NB,ND,NK,NN,NQ,NR,NU,OA,OJ,OL,OM,ON,OW,OX,PQ,PY,QA,QJ,QN,QO,QQ,QR,RG,RM,RS,SB,SC,SD,SK,SL,SP,SR,SS,SV,TB,TD,TK,TQ,TR,UJ,UN,UQ,UV,UY,VJ,VT,VY,WF,WJ,WT,WW,WX,XB,XH,XJ,XQ,XZ,YC,YH,YT,YU,ZB,ZF,ZJ,ZL,ZO,ZW
MS,413.3,2694.6,112.3,589.3,477.9,209.5,335.0,339.2,295.4,458.1,604.2,489.4,363.1,236.5,501.6,461.8,456.1,388.8,449.9,266.3,631.2,419.5,263.9,336.4,439.5,630.6,628.4,544.9,486.6,364.1,412.5,312.0,149.9,291.7,463.2,530.5,399.3,354.3,500.8,332.3,577.5,446.7,349.8,339.6,464.0,371.8,360.6,351.7,132.7,305.0,247.6,498.3,520.3,377.5,60.6,660.0,499.2,574.9,163.8,353.5,356.8,81.2,529.1,275.1,214.5,407.9,104.4,325.1,403.7,510.0,0.0,444.2,99.4,400.2,247.6,393.0,193.6,622.7,439.7,524.1,609.3,123.4,641.2,454.5,375.5,519.0,56.1,372.3,386.1,401.1,238.0,476.8,340.7,255.4,604.2,202.5,354.8,471.3,647.0,167.5,421.5,647.7,232.5,173.4,568.0,58.8,610.0,411.8,431.4,418.6,147.1,638.5,42.7,262.8,177.5,572.9,635.5,321.4,553.5,602.1,237.0,230.8,96.8,540.8,313.8,320.0,419.7,90.8,333.7,575.3,89.0,653.7,608.1,168.3,97.6,476.6,357.7,567.8,623.7,353.4
MV,624.8,2752.7,455.1,124.4,669.4,266.7,561.0,415.3,218.6,680.5,230.0,45.1,589.1,244.1,57.3,684.2,647.6,661.0,641.4,342.4,257.0,641.9,213.1,562.4,661.9,256.4,254.2,100.6,678.1,590.1,624.0,538.0,370.9,367.8,90.6,175.9,625.3,159.2,56.5,558.3,136.2,669.1,425.9,565.6,686.4,597.8,586.6,577.7,330.7,531.0,262.7,125.7,99.1,603.5,396.6,234.4,125.2,253.4,403.6,579.5,241.9,469.3,84.8,213.8,382.1,633.9,473.7,414.1,615.2,65.7,475.0,0.0,461.9,684.3,256.1,604.5,414.6,201.8,662.1,79.8,235.1,363.2,215.6,676.9,601.5,164.4,440.9,140.5,681.8,612.6,269.3,699.2,566.7,345.9,135.8,369.7,580.8,27.0,221.4,308.0,643.9,273.5,400.1,394.4,260.3,446.9,235.8,634.2,58.8,656.0,347.7,264.3,414.5,351.8,282.4,218.3,261.3,311.4,198.9,227.9,245.5,321.3,483.7,186.2,389.9,396.1,611.2,477.7,377.9,220.7,455.9,228.1,233.9,313.8,477.6,699.0,401.9,145.9,249.5,579.4
MW,403.9,2714.7,8.6,550.7,468.5,247.6,325.6,359.3,333.5,448.7,642.3,495.1,353.7,265.2,507.3,452.4,446.7,379.4,440.5,286.4,669.3,410.1,255.1,327.0,430.1,615.3,613.1,550.6,477.2,354.7,403.1,302.6,188.0,311.8,468.9,536.2,389.9,392.4,506.5,322.9,615.6,437.3,369.9,330.2,454.6,362.4,351.2,342.3,152.8,295.6,283.8,504.0,526.0,368.1,80.7,594.7,504.9,581.2,183.9,344.1,394.9,25.2,534.8,313.2,234.6,398.5,11.7,345.2,394.3,515.7,87.0,449.9,0.0,390.8,285.7,383.6,231.7,562.1,430.3,529.8,647.4,143.5,575.9,445.1,366.1,524.7,94.2,410.4,376.7,391.7,276.1,467.4,331.3,293.5,567.3,222.6,345.4,477.0,581.7,205.6,412.1,632.4,252.6,211.5,574.3,38.3,648.1,402.4,437.1,409.2,167.2,676.6,62.8,282.9,215.6,578.6,594.8,341.5,559.2,640.2,275.1,268.9,134.9,546.5,333.9,340.1,410.3,128.9,353.8,581.0,127.1,588.4,646.2,188.4,15.6,467.2,377.8,605.9,661.8,344.0
NB,216.6,2549.5,246.9,710.2,281.2,501.4,209.2,514.6,537.4,272.3,779.5,654.6,221.5,483.5,666.8,276.0,259.4,70.2,253.2,441.7,772.0,233.7,473.4,171.0,253.7,774.8,772.6,710.1,289.9,198.7,215.8,89.8,441.8,467.1,628.4,695.7,231.5,596.3,666.0,206.5,722.0,260.9,525.2,208.8,278.2,237.2,195.2,43.0,406.6,179.2,502.1,663.5,685.5,221.9,334.5,754.2,664.4,740.7,437.7,188.1,598.8,279.0,694.3,517.1,488.4,240.1,265.5,432.2,207.0,675.2,338.7,609.4,253.7,0.0,539.5,196.3,485.5,721.6,253.9,689.3,735.0,397.3,735.4,268.7,210.1,684.2,348.0,614.3,194.9,204.4,529.9,291.0,209.9,547.3,726.8,476.4,213.2,636.5,741.2,459.4,235.7,791.9,506.4,465.3,733.8,292.0,785.3,226.0,596.6,169.1,364.3,779.3,316.6,369.9,469.4,738.1,754.3,464.8,718.7,742.2,528.9,522.7,388.7,706.0,489.2,495.4,223.0,382.7,509.1,740.5,351.7,747.9,783.4,442.2,269.4,290.8,533.1,751.6,799.0,222.6
ND,454.9,2582.8,285.2,341.1,499.5,204.6,391.1,245.4,242.2,510.6,410.4,285.5,419.2,231.6,297.7,514.3,477.7,491.1,471.5,172.5,402.9,472.0,259.0,392.5,492.0,405.7,403.5,341.0,508.2,420.2,454.1,368.1,147.4,197.9,259.3,326.6,455.4,301.1,296.9,388.4,352.9,499.2,256.0,395.7,516.5,427.9,416.7,407.8,160.8,361.1,242.7,294.4,316.4,433.6,226.7,385.1,295.3,371.6,209.7,409.6,303.6,296.6,325.2,221.9,214.1,464.0,303.8,244.2,445.3,306.1,284.3,240.3,292.0,514.4,0.0,434.6,191.1,352.5,492.2,320.2,365.9,192.8,366.3,507.0,431.6,315.1,256.7,319.1,511.9,442.7,45.8,529.3,396.8,122.4,357.7,201.7,410.9,267.4,372.1,162.6,474.0,422.8,232.1,170.9,364.7,274.2,416.2,464.3,227.5,486.1,177.8,410.2,244.6,181.9,124.3,369.0,385.2,141.5,349.6,373.1,6.6,97.8,260.2,336.9,220.0,226.2,441.3,254.2,208.0,371.4,232.4,378.8,414.3,145.8,307.7,529.1,232.0,382.5,429.9,409.5
NK,20.3,2447.8,267.0,694.6,161.5,521.5,229.3,499.0,552.3,117.2,763.9,639.0,217.3,503.6,651.2,120.9,139.7,171.1,133.5,426.1,756.4,78.6,493.5,223.0,98.6,759.2,757.0,694.5,170.2,236.8,60.7,164.7,461.9,451.5,612.8,680.1,76.4,609.0,650.4,226.6,706.4,105.8,509.6,162.6,123.1,156.8,233.3,189.5,426.7,199.3,522.2,647.9,669.9,66.8,354.6,738.6,648.8,725.1,457.8,205.9,613.7,299.1,678.7,532.0,508.5,85.0,285.6,434.6,51.9,659.6,358.8,593.8,273.8,194.4,459.7,0.0,505.6,706.0,98.8,673.7,719.4,417.4,719.8,113.6,199.5,668.6,368.1,590.3,191.9,8.1,472.9,135.9,160.9,567.4,711.2,496.5,177.8,620.9,725.6,479.5,80.6,776.3,526.5,485.4,718.2,312.1,769.7,70.9,581.0,166.1,384.4,763.7,336.7,372.3,489.5,722.5,738.7,449.2,703.1,726.6,449.1,542.8,408.8,690.4,473.6,479.8,103.3,402.8,493.5,724.9,371.8,732.3,767.8,462.3,289.5,135.7,517.5,736.0,783.4,176.4
NN,509.3,2710.7,264.0,482.2,627.4,120.0,431.0,374.6,188.3,554.1,497.1,382.3,459.1,147.0,394.5,557.8,605.6,484.8,599.4,301.7,524.1,515.5,174.4,432.4,535.5,523.5,521.3,437.8,636.1,460.1,508.5,408.0,21.7,327.1,356.1,423.4,495.3,247.2,393.7,428.3,470.4,542.7,385.2,435.6,560.0,467.8,456.6,447.7,186.1,401.0,158.1,391.2,413.2,473.5,172.2,552.9,392.1,467.8,135.8,449.5,249.7,212.0,422.0,168.0,140.2,503.9,235.2,360.5,499.7,402.9,199.7,337.1,255.3,496.2,140.5,489.0,0.0,515.6,535.7,417.0,502.2,118.9,534.1,550.5,471.5,411.9,172.1,265.2,482.1,497.1,130.9,572.8,436.7,148.3,497.1,127.8,450.8,364.2,539.9,78.0,517.5,540.6,158.2,10.0,460.9,189.6,502.9,507.8,324.3,514.6,182.5,531.4,190.1,298.2,70.4,465.8,528.4,269.4,446.4,495.0,129.9,123.7,175.6,433.7,349.2,355.4,569.2,169.6,369.1,468.2,147.8,546.6,501.0,71.9,228.4,572.6,393.1,460.7,516.6,449.4
NQ,716.1,2844.0,546.4,126.6,760.7,358.0,652.3,506.6,325.5,771.8,92.9,151.1,680.4,335.4,143.7,775.5,738.9,752.3,732.7,433.7,50.3,733.2,304.4,653.7,753.2,119.3,117.1,116.1,769.4,681.4,715.3,629.3,498.7,459.1,199.9,46.9,716.6,266.1,145.3,649.6,123.4,760.4,517.2,656.9,777.7,689.1,677.9,669.0,422.0,622.3,354.0,235.0,101.9,694.8,487.9,32.5,80.8,116.3,494.9,670.8,348.8,560.6,116.2,347.0,547.4,725.2,565.0,505.4,706.5,136.1,566.3,160.9,553.2,775.6,347.4,695.8,542.4,0.0,753.4,130.5,13.3,454.5,13.7,768.2,692.8,35.4,532.2,247.4,773.1,703.9,360.6,790.5,658.0,437.2,143.2,535.0,672.1,174.0,19.5,478.2,735.2,136.4,565.4,522.2,123.2,538.2,98.7,725.5,168.1,747.3,439.0,57.6,505.8,443.1,447.7,66.5,32.6,402.7,43.9,20.5,336.8,412.6,611.5,15.5,481.2,487.4,702.5,605.5,469.2,44.1,583.7,26.2,96.8,479.1,568.9,790.3,493.2,113.7,63.8,670.7
NR,130.5,2499.9,318.4,746.7,213.6,569.8,284.9,545.5,601.3,82.4,816.0,688.0,222.5,555.0,700.2,68.1,188.7,223.2,182.5,478.2,812.1,25.8,544.9,228.2,45.8,808.2,809.1,742.3,225.3,370.8,93.4,213.0,513.3,500.5,653.1,732.2,58.5,661.1,702.5,274.9,758.5,71.0,561.7,204.8,24.3,162.0,367.7,241.6,475.0,250.7,573.6,700.0,722.0,72.0,410.3,787.9,700.9,777.2,505.3,211.1,665.8,350.5,730.8,584.1,559.9,70.2,337.0,486.7,84.6,711.7,410.2,645.9,325.2,246.5,511.8,113.3,557.0,758.1,0.0,725.8,778.7,466.1,771.9,78.8,242.4,720.7,419.5,642.4,240.9,121.4,525.0,41.7,166.1,618.8,763.3,547.9,223.1,682.5,777.7,530.9,45.8,828.4,577.9,536.8,770.3,366.1,821.8,19.0,633.1,218.2,432.7,815.8,388.1,424.4,540.9,774.6,790.8,498.2,755.2,778.7,501.2,594.2,457.1,742.5,522.6,531.9,155.4,454.2,545.6,777.0,423.2,784.4,819.9,513.7,340.9,90.1,569.6,788.1,832.7,221.7
NU,695.7,2823.6,526.0,44.5,740.3,337.6,631.9,486.2,289.5,751.4,150.1,35.6,660.0,315.0,90.5,755.1,718.5,731.9,712.3,413.3,177.1,712.8,284.0,633.3,732.8,176.5,174.3,40.4,749.0,661.0,694.9,608.9,441.8,438.7,161.5,137.7,696.2,230.1,55.5,629.2,56.3,740.0,496.8,636.5,757.3,668.7,657.5,648.6,401.6,601.9,333.6,196.6,62.8,674.4,467.5,205.9,45.3,173.5,474.5,650.4,312.8,540.2,63.0,284.7,453.0,704.8,544.6,485.0,686.1,64.7,545.9,70.8,532.8,755.2,327.0,675.4,485.5,168.6,733.0,0.0,155.2,434.1,187.1,747.8,672.4,126.2,511.8,211.4,752.7,683.5,340.2,770.1,637.6,416.8,55.9,440.6,651.7,85.0,192.9,378.9,714.8,193.6,471.0,465.3,180.4,517.8,155.9,705.1,129.7,726.9,418.6,184.4,485.4,422.7,353.3,180.1,181.4,382.3,160.7,148.0,316.4,392.2,554.6,148.0,460.8,467.0,682.1,548.6,448.8,182.5,526.8,199.6,154.0,384.7,548.5,769.9,472.8,66.0,169.6,650.3
OA,729.5,2857.4,559.8,121.8,777.2,457.1,669.9,514.4,312.1,785.2,79.5,164.5,693.8,348.8,157.1,788.9,752.3,765.7,746.1,447.1,40.5,746.6,317.8,667.1,766.6,105.9,107.8,153.5,785.8,712.0,728.7,642.7,485.3,472.5,201.5,60.3,730.0,252.7,158.7,680.2,110.0,773.8,530.6,670.3,791.1,702.5,688.6,682.4,435.4,635.7,367.4,248.4,115.3,708.2,497.0,50.9,94.2,102.9,525.7,684.2,339.5,574.0,129.6,333.6,534.0,738.6,578.4,518.8,719.9,149.5,622.2,174.3,566.6,789.0,360.8,709.2,529.0,13.3,762.2,143.9,0.0,512.3,31.8,781.6,703.8,48.8,545.6,234.0,803.7,717.3,374.0,803.9,671.4,450.6,136.7,521.6,685.5,177.9,37.6,464.8,748.6,123.0,552.0,508.8,113.9,547.1,85.3,738.9,181.5,760.7,452.4,44.2,519.2,456.5,434.3,78.8,19.2,416.1,57.3,7.1,350.2,426.0,602.2,28.9,494.6,500.8,715.9,592.1,482.6,57.5,570.3,44.3,83.4,465.7,582.3,803.7,506.6,100.3,47.6,684.1
OJ,405.6,2611.4,178.3,488.2,531.2,174.7,327.3,256.0,194.3,450.4,503.1,388.3,355.4,201.7,400.5,454.1,506.3,381.1,500.1,183.1,530.1,411.8,229.1,328.7,431.8,529.5,527.3,439.5,536.8,356.4,404.8,304.3,117.5,208.5,350.3,429.4,391.6,253.2,399.7,324.6,476.4,439.0,266.6,331.9,456.3,364.1,352.9,344.0,67.5,297.3,212.8,397.2,419.2,369.8,49.3,559.2,398.1,473.8,36.0,345.8,255.7,126.3,428.0,174.0,90.6,400.2,149.5,241.9,396.0,408.9,132.0,343.1,169.6,392.5,164.5,385.3,161.2,521.6,432.0,423.0,522.3,0.0,540.1,446.8,367.1,417.9,97.9,271.2,378.4,393.4,154.9,469.1,333.0,172.3,503.1,78.6,347.1,379.7,545.9,132.7,413.8,546.6,108.6,141.0,466.9,99.4,508.9,404.1,330.3,410.9,63.9,537.4,71.5,179.6,76.4,471.8,534.4,238.2,452.4,501.0,153.9,147.7,159.9,439.7,230.6,236.8,469.9,153.9,250.5,474.2,152.1,552.6,507.0,44.4,142.7,468.9,274.5,466.7,522.6,345.7
OL,739.9,2867.8,570.2,143.7,784.5,381.8,676.1,530.4,334.0,795.6,101.4,174.9,704.2,359.2,167.5,799.3,762.7,776.1,756.5,457.5,58.8,757.0,328.2,677.5,777.0,127.8,125.6,139.9,793.2,705.2,739.1,653.1,507.2,482.9,223.7,70.7,740.4,274.6,169.1,673.4,131.9,784.2,541.0,680.7,801.5,712.9,701.7,692.8,445.8,646.1,377.8,258.8,125.7,718.6,511.7,18.7,104.6,124.8,551.5,694.6,357.3,584.4,140.0,355.5,555.9,749.0,588.8,529.2,730.3,159.9,590.1,184.7,577.0,799.4,371.2,719.6,550.9,23.7,777.2,154.3,21.8,478.3,0.0,792.0,716.6,59.2,556.0,255.9,796.9,727.7,384.4,814.3,681.8,461.0,158.6,543.5,695.9,197.8,5.8,486.7,759.0,144.9,573.9,530.7,131.7,562.0,107.2,749.3,191.9,771.1,462.8,66.1,529.6,466.9,456.2,63.2,41.1,426.5,67.7,29.0,360.6,436.4,620.0,39.3,505.0,511.2,726.3,614.0,493.0,67.9,592.2,12.5,105.3,487.6,592.7,814.1,517.0,122.2,72.3,694.5
OM,145.4,2511.7,330.2,758.5,225.4,584.7,292.5,562.9,616.2,48.8,827.8,702.9,234.3,566.8,715.1,92.8,203.6,235.0,197.4,490.0,820.3,55.6,556.7,240.0,75.6,823.1,820.9,758.4,234.1,385.7,105.2,227.9,525.1,515.4,676.7,744.0,73.4,672.9,714.3,289.8,770.3,37.4,573.5,219.7,120.1,173.8,382.2,253.4,489.9,262.5,585.4,711.8,733.8,83.8,417.8,802.5,712.7,789.0,521.0,222.9,677.6,362.3,742.6,595.9,571.7,82.0,348.8,498.5,96.4,723.5,422.0,657.7,337.0,258.3,523.6,125.1,568.8,769.9,95.8,737.6,783.3,480.6,783.7,0.0,256.6,732.5,431.3,654.2,255.8,133.2,536.8,132.9,177.9,630.6,775.1,559.7,234.9,684.8,789.5,542.7,30.2,840.2,589.7,548.6,782.1,375.3,833.6,67.9,644.9,230.0,447.6,827.6,399.9,436.2,552.7,786.4,802.6,513.1,767.0,790.5,513.0,606.0,472.0,754.3,537.5,543.7,167.2,466.0,557.4,788.8,435.0,796.2,831.7,525.5,352.7,67.3,581.4,799.9,847.3,233.5
ON,193.4,2526.3,229.1,692.4,259.6,482.1,194.1,496.8,520.3,238.2,761.7,635.3,45.4,465.7,649.7,241.9,234.7,185.6,228.5,423.9,756.2,199.6,456.3,74.3,219.6,757.0,753.3,692.3,266.7,152.6,192.6,107.3,424.0,449.3,610.6,677.9,177.9,578.5,648.2,187.2,704.2,226.8,507.4,49.2,244.1,97.9,148.4,148.5,387.3,161.4,484.3,645.7,667.7,157.6,316.7,737.4,646.6,722.9,419.9,73.5,579.5,261.2,675.0,499.3,470.6,188.0,247.7,414.4,183.8,657.4,320.9,591.6,235.9,197.0,521.7,173.1,467.7,703.8,219.8,671.5,717.2,378.4,717.6,234.6,0.0,666.4,330.2,596.5,199.4,181.2,512.1,256.9,66.8,529.5,709.0,458.6,37.1,618.7,721.9,441.6,201.6,774.1,488.6,447.5,714.5,274.2,767.5,191.9,578.8,208.5,347.2,761.5,298.8,352.1,451.6,720.3,736.5,447.0,700.9,724.4,511.1,504.9,369.4,688.2,472.1,477.6,199.8,364.9,491.3,722.7,333.9,730.1,765.6,424.4,251.6,256.7,513.8,733.8,781.2,64.5
OW,698.7,2826.6,529.0,109.2,743.3,340.6,634.9,489.2,292.5,754.4,128.4,133.7,663.0,318.0,126.3,758.1,721.5,734.9,715.3,416.3,85.8,715.8,287.0,636.3,735.8,154.8,152.6,98.7,752.0,664.0,697.9,611.9,444.8,441.7,182.5,11.4,699.2,233.1,127.9,632.2,121.0,743.0,499.8,639.5,760.3,671.7,660.5,651.6,404.6,604.9,336.6,217.6,84.5,677.4,470.5,68.0,63.4,151.8,477.5,653.4,315.8,543.2,98.8,287.7,456.0,707.8,547.6,488.0,689.1,118.7,548.9,143.5,535.8,758.2,330.0,678.4,488.5,35.4,736.0,113.1,48.8,437.1,49.2,750.8,675.4,0.0,514.8,214.4,755.7,686.5,343.2,773.1,640.6,419.8,125.8,443.6,654.7,156.6,55.0,381.9,717.8,171.9,474.0,468.3,158.7,520.8,134.2,708.1,150.7,729.9,421.6,93.1,488.4,425.7,356.3,53.8,68.1,385.3,32.5,56.0,319.4,395.2,557.6,19.8,463.8,470.0,685.1,551.6,451.8,54.3,529.8,61.7,132.3,387.7,551.5,772.9,475.8,130.7,99.3,653.3
OX,365.2,2688.7,137.9,559.2,429.8,179.4,286.9,333.3,265.3,410.0,574.1,459.3,315.0,206.4,471.5,413.7,408.0,340.7,401.8,260.4,601.1,371.4,233.8,288.3,391.4,600.5,598.3,514.8,438.5,316.0,364.4,263.9,119.8,285.8,433.1,500.4,351.2,324.2,470.7,284.2,547.4,398.6,343.9,291.5,415.9,323.7,312.5,303.6,126.8,256.9,217.5,468.2,490.2,329.4,48.0,629.9,469.1,544.8,157.9,305.4,326.7,85.9,499.0,245.0,208.6,359.8,109.1,319.2,355.6,479.9,73.6,414.1,129.2,352.1,217.5,344.9,163.5,592.6,391.6,494.0,579.2,117.5,611.1,406.4,327.4,488.9,0.0,342.2,338.0,353.0,207.9,428.7,292.6,225.3,574.1,196.6,306.7,441.2,616.9,137.4,373.4,617.6,226.6,143.3,537.9,63.5,579.9,363.7,401.3,370.5,141.2,608.4,65.9,256.9,147.4,542.8,605.4,315.5,523.4,572.0,206.9,200.7,66.7,510.7,307.9,314.1,371.6,60.7,327.8,545.2,58.9,623.6,578.0,148.9,102.3,428.5,351.8,537.7,593.6,305.3
PQ,596.8,2724.7,427.1,216.9,641.4,218.9,533.0,387.3,78.0,652.5,231.8,181.2,561.1,179.9,193.4,656.2,619.6,633.0,613.4,314.4,258.8,613.9,148.9,534.4,633.9,258.2,256.0,292.1,650.1,562.1,596.0,510.0,251.2,339.8,155.0,222.3,597.3,18.6,192.6,530.3,205.1,641.1,397.9,537.6,658.4,569.8,558.6,549.7,302.7,503.0,198.5,190.1,212.1,575.5,331.9,287.6,191.0,202.5,295.5,551.5,101.3,400.4,220.9,99.5,299.9,605.9,423.6,386.1,587.2,201.8,388.1,136.0,433.9,656.3,228.1,576.5,294.9,250.3,634.1,251.6,236.9,278.6,268.8,648.9,573.5,210.8,360.5,0.0,653.8,584.6,241.3,671.2,538.7,317.9,231.8,287.5,552.8,163.1,274.6,230.7,615.9,275.3,317.9,274.7,195.6,378.0,237.6,606.2,123.2,628.0,319.7,266.1,349.8,323.8,200.2,316.9,263.1,283.4,294.3,229.7,217.5,293.3,364.0,265.9,361.9,368.1,583.2,358.0,349.9,294.5,336.2,281.3,235.7,231.6,416.8,671.0,373.9,195.4,251.3,551.4
PY,194.7,2527.6,232.6,695.9,262.4,487.1,194.9,494.7,523.1,250.4,765.2,640.3,210.4,469.2,652.5,254.1,237.5,168.2,231.3,427.4,759.7,211.8,459.1,174.7,231.8,760.5,758.3,691.5,268.0,202.4,193.9,130.3,427.5,452.8,614.1,681.4,198.6,582.0,651.7,192.2,707.7,239.0,510.9,186.9,256.3,219.1,196.2,170.0,392.3,164.9,487.8,649.2,671.2,176.8,320.2,740.2,650.1,726.4,419.5,191.8,584.5,264.7,680.0,502.8,474.1,207.2,251.2,417.9,185.1,660.9,324.4,595.1,239.4,191.5,525.2,174.4,471.2,707.3,227.4,675.0,720.7,383.4,721.1,246.8,223.1,669.9,333.7,600.0,0.0,182.5,515.6,269.1,188.0,533.0,712.5,462.1,202.1,622.2,726.9,445.1,213.8,777.6,492.1,451.0,719.5,277.7,771.0,204.1,582.3,32.4,350.0,765.0,302.3,355.6,455.1,723.8,740.0,450.5,704.4,727.9,514.6,508.4,374.4,691.7,474.9,481.1,201.1,368.4,494.8,726.2,337.4,733.6,769.1,427.9,255.1,268.9,518.8,737.3,781.9,200.7
QA,12.1,2455.6,274.8,702.4,169.3,529.3,237.1,506.8,560.1,125.0,771.7,646.8,225.1,511.4,659.0,128.7,147.5,178.9,141.3,433.9,764.2,86.4,501.3,230.8,106.4,767.0,764.8,702.3,178.0,244.6,68.5,172.5,469.7,459.3,620.6,687.9,84.2,616.8,658.2,234.4,714.2,113.6,517.4,170.4,130.9,164.6,241.1,197.3,434.5,207.1,530.0,655.7,677.7,74.6,362.4,746.4,656.6,732.9,465.6,213.7,621.5,306.9,686.5,539.8,516.3,92.8,293.4,442.4,59.7,667.4,366.6,601.6,281.6,202.2,467.5,7.8,513.4,713.8,106.6,681.5,727.2,425.2,727.6,121.4,207.3,676.4,375.9,598.1,199.7,0.0,480.7,143.7,168.7,575.2,719.0,504.3,185.6,628.7,733.4,487.3,88.4,784.1,534.3,493.2,726.0,319.9,777.5,78.7,588.8,173.9,392.2,771.5,344.5,380.1,497.3,730.3,746.5,457.0,710.9,734.4,456.9,550.6,416.6,698.2,481.4,487.6,111.1,410.6,501.3,732.7,379.6,740.1,775.6,470.1,297.3,143.5,525.3,743.8,791.2,184.2
QJ,489.7,2617.6,320.0,375.9,534.3,176.6,425.9,280.2,214.2,545.4,445.2,320.3,454.0,203.6,332.5,549.1,512.5,525.9,506.3,207.3,437.7,506.8,231.0,427.3,526.8,440.5,438.3,375.8,543.0,455.0,488.9,402.9,119.4,232.7,294.1,361.4,490.2,273.1,331.7,423.2,387.7,534.0,290.8,430.5,551.3,462.7,451.5,442.6,195.6,395.9,214.7,329.2,351.2,468.4,218.1,419.9,330.1,406.4,181.7,444.4,275.6,268.6,360.0,193.9,186.1,498.8,291.8,279.0,480.1,340.9,256.3,275.1,311.9,549.2,47.4,469.4,163.1,387.3,527.0,355.0,400.7,164.8,401.1,541.8,466.4,349.9,228.7,291.1,546.7,477.5,0.0,564.1,431.6,94.4,392.5,173.7,445.7,302.2,406.9,134.6,508.8,457.6,204.1,142.9,399.5,246.2,451.0,499.1,262.3,520.9,212.6,445.0,236.0,216.7,96.3,403.8,420.0,176.3,384.4,407.9,36.8,69.8,232.2,371.7,254.8,261.0,476.1,226.2,242.8,406.2,204.4,413.6,449.1,117.8,285.0,563.9,266.8,417.3,464.7,444.3
QN,159.0,2525.3,343.8,772.1,242.1,598.3,306.1,576.5,629.8,107.8,841.4,716.5,247.9,580.4,728.7,93.5,217.2,248.6,211.0,503.6,833.9,51.2,570.3,253.6,71.2,836.7,834.5,772.0,250.7,399.3,118.8,241.5,538.7,529.0,690.3,757.6,87.0,686.5,727.9,303.4,783.9,96.4,587.1,233.3,8.8,187.4,393.1,267.0,503.5,276.1,599.0,725.4,747.4,97.4,435.7,816.4,726.3,802.6,530.7,236.5,691.2,375.9,756.2,609.5,585.3,95.6,362.4,512.1,110.0,737.1,435.6,671.3,350.6,271.9,537.2,138.7,582.4,783.5,25.4,751.2,796.9,494.6,797.3,104.2,267.8,746.1,444.9,667.8,269.4,146.8,550.4,0.0,191.5,644.2,788.7,573.3,248.5,698.4,803.1,556.3,71.2,853.8,603.3,562.2,795.7,388.9,847.2,44.4,658.5,243.6,461.2,841.2,413.5,449.8,566.3,800.0,816.2,526.7,780.6,804.1,526.6,619.6,485.6,767.9,551.1,557.3,180.8,479.6,571.0,802.4,448.6,809.8,845.3,539.1,366.3,115.5,595.0,813.5,858.1,247.1
QO,149.4,2482.3,253.7,729.1,214.0,508.2,216.0,533.5,544.2,184.1,798.4,673.5,65.2,490.3,685.7,187.8,192.2,210.2,186.0,460.6,790.9,145.5,480.2,98.9,165.5,793.7,791.5,729.0,222.7,176.5,148.6,133.4,448.6,486.0,647.3,714.6,125.3,603.1,684.9,213.3,740.9,172.7,544.1,41.7,190.0,52.7,173.0,173.1,413.4,186.0,508.9,682.4,704.4,103.5,341.3,773.1,683.3,759.6,444.5,93.3,605.6,285.8,713.2,523.9,495.2,133.9,272.3,439.0,139.8,694.1,345.5,628.3,260.5,221.6,494.2,129.1,492.3,740.5,165.7,708.2,753.9,404.1,754.3,180.5,78.6,703.1,354.8,621.1,191.8,137.2,536.7,202.8,0.0,554.1,745.7,483.2,56.9,655.4,760.1,466.2,147.5,810.8,513.2,472.1,752.7,298.8,804.2,137.8,615.5,166.0,371.1,798.2,323.4,376.7,476.2,757.0,773.2,483.7,737.6,761.1,483.6,529.5,395.5,724.9,508.1,514.3,155.8,389.5,528.0,759.4,358.5,766.8,802.3,449.0,276.2,202.6,552.0,770.5,817.9,55.5
QQ,552.7,2673.6,307.4,494.9,590.3,163.4,474.4,336.2,201.0,597.5,509.8,376.3,502.5,190.4,388.5,601.2,568.5,581.9,562.3,263.3,536.8,558.9,217.8,475.8,578.9,536.2,534.0,431.8,599.0,503.5,551.9,451.4,106.2,288.7,350.1,417.4,538.7,259.9,387.7,471.7,483.1,586.1,346.8,479.0,603.4,511.2,500.0,491.1,218.8,444.4,201.5,385.2,407.2,516.9,204.9,475.9,386.1,462.4,168.5,492.9,262.4,255.4,416.0,180.7,172.9,547.3,278.6,335.0,543.1,396.9,243.1,331.1,298.7,539.6,103.4,532.4,149.9,443.3,579.1,411.0,514.9,151.6,457.1,593.9,514.9,405.9,215.5,277.9,525.5,540.5,93.8,616.2,480.1,0.0,509.8,160.5,494.2,358.2,462.9,121.4,560.9,553.3,190.9,129.7,455.5,233.0,515.6,551.2,318.3,576.9,215.2,544.1,222.8,272.7,83.1,459.8,541.1,232.3,440.4,507.7,92.8,13.8,219.0,427.7,310.8,317.0,532.1,213.0,298.8,462.2,191.2,469.6,513.7,104.6,271.8,616.0,322.8,473.4,529.3,492.8
