from_stop,AE,AT,AZ,BA,BG,BR,BS,BX,CB,CE,CF,CJ,CM,CY,DF,DJ,DR,DS,DT,ED,EH,EW,EZ,FE,FG,FV,FY,GD,GE,GJ,GO,GP,GQ,HD,HM,HN,HS,HW,HZ,IA,IF,IG,IL,IY,JA,JJ,JV,KF,KQ,KS,KV,KW,LC,LJ,LL,LM,LZ,MI,MK,MS,MV,ND,NJ,NP,NQ,NW,OH,PE,PJ,PQ,PU,QW,QY,RT,SA,SB,SE,SF,SL,SN,SR,TA,TC,TD,TQ,TW,UD,UE,UF,UK,UN,VA,VE,VF,VY,WA,WB,WP,WW,XD,XE,YG,YW,ZC,ZD,ZI,ZL,ZV
UK,77.3,710.3,723.6,211.4,694.5,525.5,468.0,562.0,671.9,492.1,789.7,473.9,545.4,445.1,591.4,794.3,643.9,596.9,378.3,136.7,374.5,284.4,324.3,427.4,567.7,700.8,647.2,510.6,346.0,585.4,494.9,381.2,304.3,265.9,572.9,397.6,434.4,189.7,419.9,590.3,165.0,288.7,376.9,484.7,310.9,623.3,305.3,243.3,340.6,812.0,679.4,277.8,593.6,602.9,476.2,492.5,406.2,2322.9,462.4,285.6,439.0,487.7,399.1,292.7,402.2,546.4,413.8,286.6,128.4,776.5,100.8,464.6,368.9,351.6,257.4,48.9,167.6,456.1,645.5,442.6,267.1,523.7,709.8,451.5,431.7,135.5,709.9,350.3,499.6,0.0,392.5,396.5,804.5,504.4,293.5,700.7,455.7,679.2,339.1,599.0,375.4,507.2,341.6,379.5,560.9,142.8,547.7,326.5
UN,328.2,972.5,985.8,171.3,907.4,790.9,192.1,847.5,934.1,777.6,480.8,346.5,810.8,921.5,509.1,891.9,335.0,882.4,340.9,387.6,247.1,427.4,387.5,525.0,853.2,986.3,909.4,378.0,365.8,683.0,186.0,27.1,341.4,516.8,857.7,270.2,685.3,440.6,765.5,855.7,415.9,326.6,379.8,402.4,335.9,885.5,406.5,468.5,696.0,909.6,941.6,336.4,284.7,865.1,761.7,100.0,370.5,2485.0,727.6,536.5,90.6,178.8,120.5,419.1,747.8,831.9,300.4,741.1,517.9,467.6,490.3,155.7,714.5,224.2,508.3,311.9,215.1,801.7,907.7,274.2,392.1,391.1,972.0,324.1,345.0,904.1,995.4,601.2,785.1,389.4,0.0,252.6,495.6,371.8,206.1,962.9,228.0,941.4,436.7,939.2,652.8,424.9,370.2,725.1,658.5,239.9,415.1,711.2
VA,298.3,719.8,733.1,161.9,651.1,611.6,151.7,594.8,681.4,524.9,483.4,538.7,631.0,668.4,256.4,635.6,337.6,629.7,88.2,357.7,439.3,174.7,134.4,268.7,600.5,811.8,658.2,118.7,112.7,426.7,251.4,304.0,85.1,264.9,605.0,462.4,473.4,302.8,512.8,686.2,386.0,88.3,127.1,149.7,80.1,632.8,153.8,215.4,404.1,653.3,698.4,98.1,287.3,612.4,509.0,176.8,117.8,2232.3,470.3,328.5,291.8,244.2,328.9,166.0,492.7,578.8,47.7,488.4,488.0,470.2,460.4,247.7,461.8,416.4,256.4,282.0,185.2,549.0,655.0,21.5,153.8,138.4,719.3,516.3,91.9,651.4,820.9,389.3,532.4,359.5,276.8,0.0,498.2,119.1,196.7,692.7,138.9,688.7,180.4,765.7,400.1,171.8,117.5,472.4,402.2,210.5,162.0,458.1
VE,692.0,1127.9,1141.2,540.2,1062.8,946.3,311.4,1002.9,1089.5,933.0,12.4,599.9,966.2,1076.9,664.5,1047.3,275.4,1037.8,496.3,751.4,500.5,582.8,542.9,680.4,1008.6,1141.7,1064.8,527.2,521.2,838.4,278.1,427.0,496.8,673.0,1013.1,523.6,881.5,710.9,920.9,1011.1,779.7,482.0,535.2,557.8,491.3,1040.9,561.9,623.9,851.4,1065.0,1097.0,491.8,190.0,1020.5,917.1,365.2,525.9,2640.4,883.0,736.6,352.5,285.3,373.9,574.5,900.8,987.3,455.8,896.5,881.7,117.6,854.1,308.4,869.9,477.6,664.5,675.7,578.9,957.1,1063.1,429.6,547.5,546.5,1127.4,577.5,500.4,1059.5,1150.8,797.4,940.5,753.2,444.2,408.0,0.0,527.2,575.0,1100.8,383.4,1096.8,592.1,1118.9,808.2,580.3,525.6,880.5,813.9,603.7,570.5,866.6
VF,406.6,768.3,781.6,270.2,759.4,719.4,259.5,643.3,729.9,573.4,591.7,647.0,739.3,717.3,389.6,743.9,445.9,678.2,176.5,433.8,547.6,252.7,212.8,377.0,649.0,782.1,705.2,6.2,191.1,535.0,359.7,412.3,193.4,342.9,654.2,570.7,511.4,380.8,561.3,784.2,483.2,196.6,150.2,282.9,187.9,681.3,231.8,293.8,491.8,761.6,737.4,206.4,395.6,660.9,557.5,285.1,120.9,2280.8,523.4,362.6,410.6,352.5,421.0,244.4,543.6,627.7,96.2,536.9,596.3,578.5,568.7,355.5,510.3,524.7,334.4,390.3,293.5,597.5,703.5,85.8,262.1,52.1,767.8,624.6,95.4,699.9,791.2,427.3,580.9,467.8,385.1,108.2,606.5,0.0,305.0,758.7,247.2,737.2,288.7,849.7,448.6,305.4,195.5,520.9,510.5,318.3,43.3,507.0
VY,236.7,810.8,797.5,79.8,650.9,610.9,337.6,770.7,798.3,651.5,630.8,315.0,630.8,604.5,504.6,635.4,485.0,756.3,336.4,296.1,215.6,443.8,383.0,268.5,727.1,811.6,763.3,373.5,361.3,426.5,336.0,222.3,145.4,425.3,732.3,238.7,593.8,349.1,579.3,675.7,324.4,195.2,375.3,397.9,152.0,727.1,464.7,402.7,500.0,653.1,795.5,184.3,434.7,747.0,635.6,333.6,366.0,2482.3,621.8,445.0,280.1,328.8,240.2,452.1,561.6,786.3,295.9,446.0,426.4,617.6,398.8,305.7,528.3,192.7,416.8,220.4,123.6,615.5,761.6,269.7,173.6,386.6,765.3,292.6,340.5,294.9,820.7,509.7,659.0,297.9,233.6,248.1,645.6,367.3,0.0,756.2,325.3,791.0,180.2,741.2,534.8,420.4,365.7,538.9,402.0,148.4,410.6,485.9
WA,593.9,54.5,41.2,752.7,235.5,253.8,953.7,220.9,105.4,197.6,1285.9,1341.2,273.7,512.8,857.7,254.3,1140.1,220.4,689.5,643.8,1241.8,776.0,736.1,560.1,191.2,229.8,105.0,776.7,706.9,430.5,1053.9,1106.5,761.5,518.1,195.7,1264.9,635.8,607.7,346.9,328.9,672.1,825.7,728.4,743.5,768.1,59.8,755.1,817.1,318.9,305.2,75.9,835.5,1089.8,87.2,317.3,979.3,757.7,2145.4,404.3,498.4,1093.8,1046.7,1131.4,760.2,367.0,216.1,686.1,382.1,830.8,1272.7,810.7,1049.7,355.5,1218.9,526.6,632.3,708.9,310.7,101.8,714.9,891.2,796.0,9.0,1318.8,749.9,545.1,241.2,559.2,189.6,709.8,1079.3,736.8,1300.7,776.7,834.8,0.0,941.4,112.7,646.2,426.4,321.9,773.5,718.8,366.1,447.5,676.6,820.0,352.2
WB,368.4,804.3,817.6,269.6,739.2,622.7,92.1,679.3,765.9,609.4,424.3,479.6,642.6,753.3,340.9,723.7,278.5,714.2,172.7,427.8,380.2,259.2,219.3,356.8,685.0,818.1,741.2,209.8,197.6,514.8,192.3,244.9,173.2,349.4,689.5,403.3,557.9,387.3,597.3,687.5,456.1,158.4,211.6,234.2,167.7,717.3,238.3,300.3,527.8,741.4,773.4,168.2,228.2,696.9,593.5,117.7,202.3,2316.8,559.4,413.0,243.2,185.1,253.6,250.9,579.6,663.7,132.2,572.9,558.1,411.1,530.5,188.1,546.3,357.3,340.9,352.1,255.3,633.5,739.5,106.0,223.9,222.9,803.8,457.2,176.8,735.9,827.2,473.8,616.9,429.6,217.7,84.4,439.1,203.6,284.8,794.7,0.0,773.2,268.5,771.0,484.6,256.7,202.0,556.9,490.3,280.1,246.9,543.0
WP,564.7,58.1,71.4,723.5,122.7,224.6,924.5,108.1,7.2,168.4,1256.7,1312.0,244.5,491.1,828.5,141.5,1110.9,198.9,660.3,614.6,1212.6,746.8,706.9,538.4,169.7,117.0,31.9,753.7,685.2,401.3,1024.7,1077.3,732.3,488.9,174.9,1235.7,614.1,578.5,317.7,289.4,642.9,796.5,699.2,721.8,738.9,78.1,725.9,787.9,307.8,192.4,27.2,806.3,1060.6,65.7,288.1,950.1,728.5,2123.9,379.7,469.2,1075.6,1017.5,1086.0,738.5,335.4,123.7,656.9,352.9,809.1,1243.5,781.5,1020.5,326.3,1189.7,497.4,603.1,679.7,281.5,33.6,685.7,862.0,766.8,103.6,1289.6,720.7,515.9,126.1,530.0,160.4,680.6,1050.1,708.1,1271.5,747.5,805.6,112.7,912.2,0.0,617.0,372.9,292.7,744.3,689.6,336.9,425.8,654.9,790.8,323.0
WW,308.4,685.0,671.7,151.5,525.1,430.6,307.4,644.9,672.5,501.2,639.6,694.9,450.5,679.1,474.4,509.6,493.8,606.0,306.2,367.8,595.5,392.7,352.8,88.2,576.8,685.8,637.5,343.3,331.1,246.2,407.6,460.2,115.2,497.0,581.3,618.6,665.5,420.8,505.7,495.4,396.1,309.9,345.1,367.7,121.8,601.3,371.8,433.8,570.1,527.3,669.7,319.7,443.5,621.2,558.0,333.0,335.8,2479.3,649.6,516.7,458.5,400.4,468.9,384.4,523.4,555.5,265.7,619.0,498.1,626.4,470.5,403.4,556.7,572.6,488.5,292.1,195.3,469.5,635.8,239.5,375.4,356.4,639.5,672.5,310.3,782.0,694.9,581.4,508.7,369.6,433.0,217.9,654.4,337.1,186.3,630.4,295.1,665.2,0.0,560.9,562.6,390.2,335.5,546.1,221.7,220.1,380.4,589.1
XD,508.4,457.8,471.1,667.2,438.0,185.0,866.9,305.5,419.4,235.6,1199.1,1254.4,204.9,356.7,832.3,456.8,1053.3,340.4,664.1,558.3,1155.0,750.6,710.7,480.8,311.2,444.3,396.2,751.3,689.0,343.7,967.1,1019.7,674.7,492.7,316.4,1178.1,617.9,582.3,183.3,260.1,586.6,800.3,703.0,725.6,681.3,370.8,729.7,791.7,293.5,507.7,426.9,810.1,1003.0,350.4,292.4,892.5,732.3,2213.7,383.5,473.0,1007.0,959.9,1044.6,742.3,201.0,289.9,660.7,296.6,752.8,1185.9,725.2,962.9,234.3,1132.1,501.2,546.8,623.4,147.1,393.0,689.5,865.8,770.6,457.3,1232.0,724.5,459.6,453.4,533.8,243.1,624.3,992.5,711.9,1213.9,751.3,749.3,448.2,854.6,423.7,559.4,0.0,296.5,748.1,693.4,223.7,368.2,598.6,794.6,266.7
XE,300.0,342.9,356.2,458.8,327.1,138.0,566.6,194.6,304.5,124.7,898.8,954.1,157.9,268.6,535.7,345.9,753.0,229.5,367.5,338.7,854.7,454.0,414.1,451.8,200.3,333.4,281.3,454.7,392.4,314.7,666.8,719.4,500.5,196.1,205.5,877.8,321.3,285.7,112.6,202.8,388.1,503.7,406.4,429.0,495.0,255.9,433.1,495.1,3.9,396.8,312.0,513.5,702.7,235.5,108.8,592.2,435.7,1947.4,82.3,176.4,706.7,659.6,728.1,445.7,92.5,179.0,364.1,88.2,544.4,885.6,516.8,662.6,61.6,831.8,204.6,338.4,415.0,148.8,278.1,392.9,569.2,474.0,342.4,931.7,427.9,251.2,342.5,237.2,132.2,415.9,692.2,414.8,913.6,454.7,540.9,315.8,554.3,311.8,530.4,310.6,0.0,451.5,396.8,72.2,339.2,390.2,498.0,58.3
YG,403.8,755.8,769.1,314.0,803.2,574.2,303.3,630.8,717.4,560.9,635.5,690.8,594.1,704.8,84.2,787.7,489.7,665.7,100.2,367.8,591.4,186.7,146.8,420.8,636.5,769.6,692.7,191.4,125.1,578.8,403.5,456.1,237.2,276.9,641.7,614.5,445.4,314.8,548.8,649.3,417.2,240.4,139.1,19.0,231.7,668.8,165.8,227.8,440.1,805.4,724.9,250.2,439.4,648.4,545.0,328.9,168.4,2268.3,506.3,296.6,443.4,396.3,464.8,178.4,528.7,615.2,100.8,524.4,648.2,622.3,620.6,399.3,497.8,568.5,268.4,442.2,337.3,585.0,691.0,129.6,305.9,210.7,755.3,668.4,164.6,687.4,778.7,361.3,568.4,519.7,428.9,152.0,650.3,191.4,348.8,728.7,291.0,724.7,332.5,746.8,436.1,0.0,129.5,508.4,554.3,362.1,234.7,494.5
YW,274.2,727.1,740.4,285.3,774.5,545.5,274.6,602.1,688.7,532.2,606.8,662.1,565.4,676.1,249.7,759.0,461.0,637.0,36.6,238.2,562.7,57.1,17.3,392.1,607.8,740.9,664.0,168.9,4.4,550.1,374.8,427.4,208.5,147.3,612.3,585.8,315.8,185.2,520.1,610.3,287.6,211.7,35.2,143.0,203.0,640.1,36.3,98.2,450.6,776.7,696.2,221.5,410.7,619.7,516.3,300.2,64.5,2239.6,482.2,167.0,425.7,367.6,436.1,48.8,502.4,586.5,72.1,495.7,518.6,593.6,491.0,370.6,469.1,539.8,138.8,312.6,308.6,556.3,662.3,100.9,277.2,182.0,726.6,639.7,90.0,658.7,750.0,231.7,539.7,390.1,400.2,123.3,621.6,162.7,320.1,717.5,262.3,696.0,303.8,693.8,407.4,165.5,0.0,479.7,525.6,333.4,206.0,465.8
ZC,284.6,407.6,420.9,443.4,391.8,145.9,639.4,259.3,369.2,189.4,971.6,1026.9,165.8,221.4,608.5,410.6,825.8,294.2,440.3,334.5,927.5,526.8,486.9,441.7,265.0,398.1,344.5,533.7,465.2,304.6,739.6,792.2,573.3,268.9,269.5,950.6,394.1,358.5,40.3,210.7,362.8,576.5,479.2,501.8,567.8,320.6,505.9,567.9,23.9,461.5,376.7,586.3,775.5,300.2,173.5,665.0,508.5,2020.2,159.7,249.2,790.5,732.4,800.9,518.5,22.7,243.7,436.9,72.8,529.0,958.4,501.4,735.4,10.6,904.6,277.4,323.0,399.6,76.5,342.8,465.7,642.0,546.8,407.1,1004.5,500.7,235.8,407.2,310.0,196.9,400.5,765.0,488.1,986.4,527.5,525.5,398.0,627.1,376.5,520.3,219.4,72.7,524.3,469.6,0.0,329.1,374.8,570.8,42.9
ZD,499.6,501.6,514.9,342.7,481.8,208.8,498.6,349.3,463.2,279.4,830.8,886.1,228.7,457.3,665.6,500.6,685.0,384.2,497.4,559.0,786.7,583.9,544.0,112.5,355.0,488.1,440.0,528.3,522.3,24.4,598.8,651.4,306.4,537.0,360.2,809.8,662.2,626.6,283.9,273.6,587.3,501.1,536.3,558.9,313.0,414.6,563.0,625.0,337.8,551.5,480.2,510.9,634.7,394.2,336.2,524.2,527.0,2257.5,427.8,517.3,638.7,591.6,676.3,575.6,304.0,333.7,456.9,397.2,689.3,817.6,661.7,594.6,334.9,763.8,545.5,483.3,386.5,247.7,436.8,430.7,566.6,547.6,501.1,863.7,501.5,560.2,497.2,578.1,286.9,560.8,624.2,409.1,845.6,528.3,377.5,474.5,486.3,467.5,191.1,363.4,340.8,581.4,526.7,324.3,0.0,411.3,571.6,367.3
ZI,88.2,721.2,813.5,68.5,666.9,536.4,325.1,572.9,682.8,503.0,646.8,331.0,556.3,456.0,510.1,651.4,501.0,607.8,389.2,147.6,231.6,295.3,335.2,284.5,578.6,711.7,658.1,372.8,356.9,442.5,352.0,238.3,161.4,276.8,583.8,254.7,445.3,200.6,430.8,601.2,175.9,145.8,387.8,403.4,168.0,634.2,316.2,254.2,383.3,669.1,690.3,134.9,450.7,613.8,487.1,349.6,417.1,2333.8,473.3,296.5,277.6,344.8,256.2,303.6,410.7,557.3,301.4,297.5,277.9,633.6,250.3,321.7,379.8,208.7,268.3,71.9,24.7,467.0,656.4,275.2,124.2,392.1,781.3,308.6,346.0,146.4,720.8,361.2,510.5,149.4,249.6,253.6,661.6,372.8,150.6,754.7,312.8,690.1,196.2,634.2,386.3,425.9,352.5,390.4,418.0,0.0,416.1,337.4
ZL,446.0,807.7,821.0,309.6,798.8,758.8,298.9,682.7,769.3,612.8,631.1,686.4,778.7,756.7,429.0,783.3,485.3,717.6,215.9,473.2,587.0,292.1,252.2,416.4,688.4,821.5,744.6,39.3,230.5,574.4,399.1,451.7,232.8,382.3,693.6,610.1,550.8,420.2,600.7,833.9,522.6,236.0,189.6,322.3,227.3,720.7,271.2,333.2,531.2,801.0,776.8,245.8,435.0,700.3,596.9,324.5,160.3,2320.2,562.8,402.0,439.0,391.9,476.6,283.8,580.6,667.1,135.6,576.3,635.7,617.9,608.1,394.9,549.7,564.1,373.8,429.7,332.9,636.9,742.9,125.2,301.5,91.5,807.2,664.0,134.8,739.3,830.6,466.7,620.3,507.2,424.5,147.6,645.9,39.3,344.4,780.6,286.6,776.6,328.1,913.4,488.0,344.8,234.9,560.3,549.9,357.7,0.0,546.4
ZV,241.6,383.7,397.0,400.4,367.9,198.9,615.5,235.4,345.3,165.5,947.7,1003.0,218.8,210.2,584.6,386.7,801.9,270.3,416.4,291.5,903.6,502.9,463.0,494.7,241.1,374.2,320.6,503.6,441.3,357.6,715.7,768.3,549.4,245.0,246.3,926.7,370.2,344.5,93.3,274.0,319.8,552.6,455.3,477.9,543.9,296.7,482.0,544.0,45.8,437.6,352.8,562.4,751.6,276.3,149.6,641.1,484.6,1996.3,131.2,225.3,755.6,708.5,777.0,494.6,73.2,219.8,413.0,29.8,486.0,934.5,458.4,711.5,42.3,880.7,253.5,280.0,356.6,129.5,318.9,441.8,618.1,522.9,383.2,980.6,476.8,192.8,383.3,286.1,173.0,357.5,741.1,464.2,962.5,503.6,482.5,356.6,603.2,352.6,573.3,296.7,48.8,500.4,445.7,52.9,382.1,331.8,546.9,0.0
