from_stop,AB,AE,AG,AJ,AN,AX,BJ,BM,BO,BZ,DG,DN,DU,DY,DZ,EK,EW,FF,FI,FK,FQ,FZ,GB,GL,HL,HQ,HV,HZ,IF,IG,IL,IN,IU,JD,JM,JO,KC,KD,KK,KP,KR,KW,KY,LH,LK,LX,LZ,MB,MI,MR,NB,NG,NK,NO,NQ,NS,NT,NV,OF,OJ,OO,PH,PI,PQ,PR,QA,QJ,QK,QX,RN,RS,RU,RV,SA,SB,SE,SF,SR,SV,SZ,TG,TJ,TW,TX,TZ,UC,UD,UX,VB,VH,VR,WA,WO,WR,WU,WV,XB,XG,XJ,XO,XU,YD,YG,YM,YO,YW,ZA,ZE,ZM
VH,159.9,308.6,942.6,323.9,270.8,804.5,924.9,218.1,492.7,524.6,501.3,779.7,255.2,867.0,208.5,287.3,339.5,852.6,848.8,456.1,267.7,280.4,187.1,547.8,295.7,249.6,528.8,778.6,236.8,569.6,126.9,274.8,163.1,493.8,815.1,846.4,48.9,500.4,218.9,524.4,245.5,834.6,247.6,933.9,902.4,555.2,502.0,515.4,194.1,973.6,467.1,210.7,470.4,451.5,196.5,223.4,379.2,78.9,918.5,455.5,389.4,121.4,176.3,525.9,389.4,254.8,269.1,741.0,252.6,527.8,245.9,420.9,376.6,873.0,105.7,178.3,551.7,446.7,2335.5,482.8,793.2,313.9,306.3,467.1,297.5,585.5,945.2,465.3,957.7,0.0,328.9,52.2,892.6,424.0,409.7,775.0,534.9,450.1,468.2,401.4,113.8,158.1,477.3,367.5,470.2,915.8,861.6,777.7,145.7
VR,257.8,340.3,843.7,225.0,268.1,1000.2,826.0,148.7,393.8,720.3,697.0,975.4,68.4,768.1,111.7,385.2,364.1,1048.3,1044.5,560.2,463.9,277.7,131.6,743.5,67.7,445.8,429.9,974.3,234.1,470.7,306.0,372.7,235.2,689.5,1010.8,747.5,290.0,604.5,283.5,425.5,441.7,735.7,345.5,920.6,803.5,750.9,403.1,416.5,390.3,874.7,368.2,406.9,371.5,524.6,122.8,419.6,574.9,354.0,819.6,356.6,585.1,278.0,274.2,427.0,523.4,352.7,406.4,964.1,448.8,723.5,243.2,599.0,323.8,1068.7,315.4,334.9,452.8,347.8,2531.2,383.9,988.9,311.2,56.2,368.2,362.1,486.6,891.4,649.0,858.8,314.6,0.0,337.6,793.7,619.7,605.4,970.7,670.9,645.8,660.8,597.1,309.5,314.7,581.4,432.1,665.9,1111.5,1057.3,973.4,287.2
WA,199.5,348.2,976.4,357.7,304.6,857.2,958.7,251.9,526.5,577.3,554.0,832.4,258.2,900.8,211.5,326.9,379.1,905.3,901.5,498.6,330.0,314.2,190.1,600.5,329.5,311.9,562.6,831.3,270.6,603.4,74.6,314.4,145.5,546.5,867.8,880.2,111.1,542.9,221.9,558.2,307.8,868.4,287.2,986.6,936.2,607.9,535.8,549.2,256.4,1007.4,500.9,273.0,504.2,463.0,199.5,285.7,431.9,26.7,952.3,489.3,442.1,124.4,215.9,559.7,442.1,294.4,331.4,793.7,314.9,580.5,279.7,473.6,410.4,925.7,168.0,181.3,585.5,480.5,2388.2,516.6,845.9,347.7,340.1,500.9,300.5,619.3,1024.1,518.0,991.5,62.2,331.9,0.0,926.4,476.7,462.4,827.7,587.6,502.8,520.9,454.1,176.1,161.1,519.8,370.5,522.9,968.5,914.3,830.4,93.4
WO,810.4,892.9,263.4,595.1,723.7,545.8,245.7,701.3,509.8,672.5,699.6,532.0,860.7,187.8,904.0,937.8,916.7,593.9,601.1,855.9,1016.5,830.3,923.9,701.7,729.4,998.4,548.1,530.9,786.7,586.7,858.6,925.3,787.8,707.1,556.4,167.2,842.6,900.2,1075.9,541.5,994.3,155.4,898.1,340.3,223.2,694.3,521.3,532.5,942.9,294.4,486.4,959.5,447.8,868.8,915.2,972.2,763.9,906.6,239.3,472.6,756.1,993.7,826.8,545.2,917.9,905.3,959.0,644.4,1001.4,721.7,748.6,820.7,749.0,625.3,868.0,936.8,568.8,461.5,2302.9,435.4,473.3,863.8,740.0,486.4,1021.3,602.6,311.1,850.0,278.5,891.5,792.3,933.3,0.0,808.7,794.4,527.3,865.0,750.8,852.9,801.2,862.1,957.0,877.1,961.3,730.7,657.1,532.0,483.3,839.8
WR,538.7,687.4,671.7,702.7,649.6,481.8,581.4,596.9,871.5,156.2,130.3,457.0,595.2,641.6,548.5,666.1,718.3,529.9,526.1,146.2,555.4,659.2,527.1,176.8,674.5,537.3,907.6,455.9,615.6,948.4,612.7,653.6,541.9,122.8,492.4,674.8,493.1,95.8,412.7,903.2,533.2,663.0,617.7,611.2,605.3,184.2,880.8,894.2,481.8,648.9,845.9,498.4,849.2,192.4,536.5,511.1,133.0,611.4,588.2,834.3,147.2,460.2,555.1,904.7,244.5,610.5,556.8,438.0,540.3,156.8,624.7,150.7,755.4,550.3,498.5,403.3,930.5,825.5,2024.5,861.6,470.5,692.7,685.1,845.9,292.4,964.3,622.5,41.2,660.7,542.0,668.9,584.7,762.8,0.0,110.4,452.3,110.8,79.1,44.1,170.2,408.1,423.5,122.0,284.9,99.2,593.1,538.9,455.0,593.9
WU,488.0,594.8,630.8,610.1,557.0,440.9,540.5,504.3,778.9,115.3,89.4,416.1,569.9,600.7,523.2,573.5,625.7,489.0,546.8,101.7,576.1,566.6,501.8,197.5,581.9,444.7,928.3,415.0,523.0,855.8,520.1,577.8,449.3,69.4,452.1,633.9,400.5,84.2,433.4,810.6,440.6,622.1,525.1,570.3,626.0,142.6,788.2,801.6,389.2,608.0,753.3,405.8,756.6,114.6,511.2,418.5,40.4,518.8,547.3,741.7,64.3,367.6,534.6,812.1,166.7,517.9,464.2,377.4,561.0,177.5,532.1,40.2,776.1,571.0,405.9,310.7,837.9,732.9,1990.4,769.0,429.6,600.1,592.5,753.3,267.1,985.0,581.6,71.4,619.8,449.4,643.6,492.1,721.9,30.1,0.0,411.4,143.6,101.5,74.3,59.7,315.5,330.9,122.9,207.1,58.3,552.2,559.6,414.1,501.3
WV,930.6,1135.5,348.4,837.7,966.3,225.4,258.1,943.9,752.4,447.2,474.3,4.6,1103.3,318.3,1024.1,1058.0,1159.3,273.5,198.8,630.6,947.3,1072.9,1002.7,476.4,972.0,929.2,790.7,128.6,1029.3,829.3,1101.2,1045.5,1030.4,481.8,236.0,320.9,885.0,674.9,916.3,784.1,925.1,334.5,1009.6,287.9,282.0,469.0,763.9,775.1,873.7,325.6,729.0,890.3,690.4,643.5,1012.1,903.0,538.6,1003.3,264.9,715.2,530.8,852.1,947.0,787.8,692.6,1002.4,948.7,343.7,932.2,496.4,991.2,595.4,991.6,97.9,890.4,795.2,811.4,704.1,2077.6,678.0,143.2,1106.4,982.6,729.0,796.0,845.2,299.2,624.7,337.4,933.9,1034.9,976.6,476.0,583.4,569.1,0.0,633.5,525.5,627.6,575.9,800.0,815.4,651.8,736.0,505.4,336.7,211.6,162.9,1082.4
XB,645.8,752.6,724.2,767.9,714.8,534.3,633.9,665.1,936.7,224.4,195.5,509.5,602.0,694.1,555.3,731.3,786.5,582.4,578.6,196.6,620.6,724.4,533.9,242.0,739.7,602.5,972.8,508.4,680.8,1013.6,674.5,735.6,607.1,175.5,545.5,727.3,561.3,119.2,419.5,968.4,598.4,715.5,682.9,663.7,657.8,248.7,946.0,962.4,547.0,701.4,911.1,563.6,914.4,242.8,543.3,576.3,201.2,626.5,640.7,899.5,212.4,525.4,579.1,969.9,294.9,675.7,622.0,444.8,608.5,222.0,689.9,218.9,820.6,602.8,563.7,468.5,995.7,890.7,2031.1,926.8,523.0,757.9,732.0,911.1,299.2,1032.5,675.0,65.7,713.2,576.8,675.7,599.8,815.3,207.9,187.2,504.8,0.0,146.0,94.5,235.4,473.3,488.7,172.4,319.3,164.4,645.6,591.4,507.5,659.1
XG,465.3,614.0,590.8,629.3,576.2,400.9,500.5,523.5,798.1,75.3,49.4,376.1,605.5,560.7,558.8,592.7,644.9,449.0,445.2,138.8,482.0,585.8,537.4,95.9,601.1,463.9,834.2,375.0,542.2,875.0,539.3,580.2,468.5,37.2,412.1,593.9,419.7,165.1,424.5,829.8,459.8,582.1,544.3,530.3,524.4,102.6,807.4,820.8,408.4,568.0,772.5,425.0,775.8,151.7,546.8,437.7,59.6,538.0,507.3,760.9,83.5,386.8,440.5,831.3,203.8,537.1,483.4,337.4,466.9,75.9,551.3,77.3,682.0,469.4,425.1,329.9,857.1,752.1,1912.3,788.2,389.6,619.3,611.7,772.5,304.2,890.9,541.6,110.6,579.8,468.6,664.0,511.3,681.9,69.3,48.6,371.4,180.2,0.0,113.5,96.8,334.7,350.1,160.0,244.2,18.3,512.2,458.0,374.1,520.5
XJ,551.0,699.7,684.0,715.0,661.9,494.1,593.7,609.2,883.8,168.5,142.6,469.3,572.7,653.9,526.0,678.4,730.6,542.2,538.4,102.0,567.7,671.5,504.6,189.1,686.8,549.6,919.9,468.2,627.9,960.7,625.0,665.9,554.2,135.1,504.7,687.1,505.4,51.6,390.2,915.5,545.5,675.3,630.0,623.5,617.6,196.5,893.1,906.5,494.1,661.2,858.2,510.7,861.5,148.2,514.0,523.4,145.3,597.2,600.5,846.6,159.5,472.5,567.4,917.0,200.3,622.8,569.1,415.5,552.6,169.1,637.0,144.1,767.7,562.6,510.8,415.6,942.8,837.8,2036.8,873.9,482.8,705.0,697.4,858.2,269.9,976.6,634.8,18.7,673.0,547.5,646.4,570.5,775.1,155.0,122.7,464.6,88.3,91.4,0.0,157.3,420.4,435.8,77.8,240.7,111.5,605.4,551.2,467.3,606.2
XO,426.6,575.3,672.3,590.6,537.5,482.4,582.0,484.8,759.4,185.1,159.2,457.6,522.8,642.2,476.1,554.0,606.2,530.5,526.7,54.6,443.3,547.1,454.7,205.7,562.4,425.2,795.5,456.5,503.5,836.3,500.6,541.5,429.8,151.7,493.0,675.4,381.0,98.9,340.3,791.1,421.1,663.6,505.6,611.8,605.9,213.1,768.7,782.1,369.7,649.5,733.8,386.3,737.1,67.5,464.1,399.0,48.9,499.3,588.8,722.2,35.0,348.1,443.0,792.6,119.6,498.4,444.7,418.9,428.2,185.7,512.6,19.4,643.3,550.9,386.4,291.2,818.4,713.4,1987.2,749.5,471.1,580.6,573.0,733.8,220.0,852.2,623.1,135.0,661.3,429.9,596.5,472.6,763.4,93.7,69.7,452.9,204.6,108.0,137.9,0.0,296.0,311.4,75.8,160.0,128.1,593.7,539.5,455.6,481.8
XU,130.5,279.2,913.2,294.5,241.4,690.6,790.2,188.7,463.3,410.7,387.4,665.8,350.2,837.6,303.5,257.9,310.1,738.7,734.9,342.2,147.2,251.0,282.1,433.9,266.3,129.1,499.4,664.7,207.4,540.2,204.5,245.4,133.7,379.9,701.2,817.0,84.9,386.5,313.9,495.0,125.0,805.2,209.5,820.0,814.1,441.3,472.6,486.0,73.6,857.7,437.7,90.2,441.0,337.6,291.5,102.9,265.3,212.8,797.0,426.1,275.5,131.5,146.9,496.5,275.5,202.3,148.6,627.1,132.1,413.9,216.5,307.0,347.2,759.1,90.3,74.6,522.3,417.3,2221.6,453.4,679.3,284.5,276.9,437.7,392.5,556.1,831.3,351.4,869.5,133.8,329.2,186.1,863.2,310.1,295.8,661.1,421.0,336.2,354.3,287.5,0.0,94.8,363.4,356.8,356.3,801.9,747.7,663.8,185.7
YD,277.3,384.1,885.9,399.4,346.3,696.0,795.6,293.6,568.2,416.1,392.8,671.2,255.3,855.8,208.6,362.8,415.0,744.1,740.3,347.6,252.1,355.9,187.2,439.3,371.2,234.0,604.3,670.1,312.3,645.1,235.8,350.3,238.6,372.8,707.2,889.0,187.0,449.7,219.0,599.9,229.9,877.2,314.4,825.4,819.5,446.0,577.5,590.9,178.5,863.1,542.6,195.1,545.9,343.0,196.6,207.8,270.7,187.8,802.4,531.0,280.9,36.7,210.6,601.4,280.9,307.2,253.5,632.5,237.0,419.3,321.4,312.4,452.1,764.5,195.2,20.1,627.2,522.2,2227.0,558.3,684.7,389.4,381.8,542.6,297.6,661.0,836.7,356.8,874.9,138.1,329.0,161.1,968.1,315.5,301.2,666.5,426.4,343.3,359.7,292.9,104.8,0.0,368.8,362.2,361.7,807.3,753.1,669.2,254.6
YG,506.1,654.8,747.4,670.1,617.0,557.5,657.1,564.3,838.9,231.9,206.0,532.7,525.6,717.3,478.9,633.5,685.7,605.6,601.8,24.2,522.8,626.6,457.5,252.5,641.9,504.7,875.0,531.6,583.0,915.8,580.1,621.0,509.3,198.5,568.1,750.5,460.5,23.0,343.1,870.6,500.6,738.7,585.1,686.9,681.0,259.9,848.2,861.6,449.2,724.6,813.3,465.8,816.6,70.3,466.9,478.5,128.4,550.1,663.9,801.7,114.5,427.6,522.5,872.1,122.4,577.9,524.2,494.9,507.7,232.5,592.1,66.2,722.8,626.0,465.9,370.7,897.9,792.9,2066.7,829.0,546.2,660.1,652.5,813.3,222.8,931.7,698.2,98.1,736.4,500.4,599.3,523.4,838.5,146.7,116.5,528.0,167.7,154.8,79.3,79.4,375.5,390.9,0.0,162.8,174.9,668.8,614.6,530.7,561.3
YM,497.5,646.2,848.0,661.5,608.4,658.1,757.7,555.7,830.3,332.5,306.6,633.3,362.7,817.9,316.0,624.9,677.1,706.2,702.4,128.0,518.4,618.0,294.6,353.1,504.1,500.3,866.4,632.2,574.4,907.2,435.2,612.4,500.7,299.1,668.7,851.1,386.4,172.3,180.2,862.0,496.2,839.3,580.7,787.5,781.6,360.5,839.6,853.0,444.8,825.2,804.7,461.4,808.0,92.4,304.0,474.1,229.0,387.2,764.5,793.1,215.1,300.9,513.9,863.5,91.2,573.5,519.8,632.0,503.3,333.1,583.5,166.8,714.2,726.6,443.3,357.8,889.3,784.3,2167.3,820.4,646.8,651.5,492.7,804.7,59.9,923.1,798.8,247.4,837.0,337.5,436.4,360.5,939.1,247.3,217.1,628.6,317.0,255.4,228.6,180.0,371.1,337.6,149.2,0.0,275.5,769.4,715.2,631.3,454.0
YO,483.7,632.4,572.4,647.7,594.6,382.5,482.1,541.9,816.5,56.9,31.0,357.7,623.9,542.3,577.2,611.1,663.3,430.6,426.8,157.2,500.4,604.2,555.8,102.6,619.5,482.3,852.6,356.6,560.6,893.4,557.7,598.6,486.9,23.5,393.1,575.5,438.1,183.6,442.9,848.2,478.2,563.7,562.7,511.9,506.0,110.0,825.8,839.2,426.8,549.6,790.9,443.4,794.2,170.1,565.2,456.1,78.0,556.4,488.9,779.3,101.9,405.2,500.1,849.7,222.2,555.5,501.8,319.0,485.3,82.6,569.7,95.7,700.4,451.0,443.5,348.3,875.5,770.5,1893.9,806.6,371.2,637.7,630.1,790.9,322.6,909.3,523.2,129.0,561.4,487.0,682.4,529.7,663.5,87.7,55.4,353.0,198.6,20.0,131.9,115.2,353.1,368.5,178.4,262.6,0.0,493.8,439.6,355.7,538.9
YW,917.1,1065.8,478.7,959.7,1028.0,123.3,388.4,975.3,874.4,433.7,460.8,240.0,1057.3,448.6,1010.6,1044.5,1096.7,78.3,142.2,617.1,933.8,1037.6,989.2,462.9,1052.9,915.7,912.7,122.8,994.0,951.3,991.1,1032.0,920.3,468.3,113.1,451.2,871.5,661.4,902.8,906.1,911.6,464.8,996.1,418.2,412.3,455.5,885.9,897.1,860.2,455.9,851.0,876.8,812.4,630.0,998.6,889.5,525.1,989.8,395.2,837.2,517.3,838.6,933.5,909.8,679.1,988.9,935.2,330.2,918.7,482.9,1003.1,581.9,1113.6,333.3,876.9,781.7,933.4,826.1,2064.1,800.0,196.1,1071.1,1063.5,851.0,782.5,967.2,429.5,611.2,467.7,920.4,1115.8,963.1,598.0,569.9,555.6,235.3,620.0,512.0,614.1,562.4,786.5,801.9,638.3,722.5,491.9,0.0,264.5,215.8,972.3
ZA,864.8,971.6,528.9,882.4,933.8,117.7,511.2,881.1,797.1,339.5,366.6,321.4,963.1,453.3,916.4,950.3,1002.5,165.8,258.7,522.9,839.6,943.4,895.0,368.7,958.7,821.5,835.4,188.5,899.8,874.0,896.9,937.8,826.1,386.6,128.9,432.7,777.3,567.2,808.6,828.8,817.4,420.9,901.9,493.6,488.7,361.3,808.6,819.8,766.0,559.9,773.7,782.6,735.1,535.8,904.4,795.3,430.9,895.6,504.8,759.9,423.1,744.4,798.1,832.5,584.9,894.7,841.0,236.0,824.5,388.7,908.9,487.7,1036.3,414.7,782.7,687.5,856.1,748.8,1969.9,722.7,148.5,976.9,969.3,773.7,688.3,889.9,576.6,517.0,544.0,826.2,1021.6,868.9,520.7,475.7,455.0,316.7,525.8,416.1,519.9,468.2,692.3,707.7,544.1,628.3,397.7,229.0,0.0,55.2,878.1
ZE,767.6,916.3,465.5,819.0,878.5,62.4,447.8,825.8,733.7,284.2,311.3,203.6,907.8,389.9,861.1,895.0,947.2,110.5,195.3,467.6,784.3,888.1,839.7,313.4,953.3,766.2,772.0,125.1,844.5,810.6,841.6,882.5,770.8,318.8,73.0,369.3,722.0,511.9,753.3,765.4,762.1,357.5,846.6,542.4,425.3,306.0,745.2,756.4,710.7,496.5,710.3,727.3,671.7,480.5,849.1,740.0,375.6,840.3,441.4,696.5,367.8,689.1,784.0,769.1,529.6,839.4,785.7,180.7,769.2,333.4,853.6,432.4,972.9,296.9,727.4,632.2,792.7,685.4,1914.6,659.3,85.1,921.6,963.9,710.3,633.0,826.5,513.2,461.7,480.6,770.9,1016.2,813.6,457.3,420.4,406.1,198.9,470.5,362.5,464.6,412.9,637.0,652.4,488.8,573.0,342.4,173.7,60.5,0.0,822.8
ZM,106.0,254.7,882.9,264.2,211.1,848.4,865.2,158.4,433.0,568.5,545.2,823.6,351.7,807.3,305.0,233.4,285.6,896.5,892.7,500.0,312.1,220.7,283.6,591.7,236.0,294.0,469.1,822.5,177.1,509.9,18.7,220.9,52.0,537.7,859.6,786.7,138.2,544.4,315.4,464.7,289.9,774.9,193.7,959.8,842.7,598.4,442.3,455.7,238.5,913.9,407.4,255.1,410.7,495.4,293.0,267.8,423.1,66.7,858.8,395.8,433.3,217.9,81.2,466.2,433.3,200.9,254.6,784.9,297.0,571.7,186.2,464.8,316.9,916.9,163.6,232.4,492.0,387.0,2379.4,423.1,837.1,254.2,246.6,407.4,394.0,525.8,930.6,509.2,898.0,155.7,298.9,93.4,832.9,467.9,453.6,818.9,578.8,495.7,512.1,445.3,157.7,252.6,521.2,464.0,514.1,959.7,905.5,821.6,0.0
