from_stop,AD,AE,AK,AL,AR,AZ,BA,BE,BG,BH,BX,CC,CK,CZ,DI,DL,DS,DU,DV,ED,EE,EG,FE,FJ,GN,GW,HC,HK,HL,HO,IA,II,IR,IS,IT,IV,IW,IY,JC,JL,JM,JO,JQ,JW,JX,JZ,KC,KD,KG,KI,KK,KM,KT,KV,LC,LE,LH,LI,LJ,LO,LP,LV,LX,MD,ME,MU,NT,NV,OD,OG,OI,OO,OR,OV,OX,PB,PE,PI,PK,PL,PQ,PV,QC,QV,QX,RC,RI,RM,RN,RP,RQ,RS,SF,SN,SO,SZ,TA,TB,TJ,TS,TW,TY,UB,UE,UG,UK,UT,VF,VN,VP,VQ,VR,VT,VU,VY,VZ,WD,WE,WF,WG,WH,WI,XC,XD,XK,XM,XX,XY,YH,YV,ZB,ZU,ZX
OX,420.4,959.0,717.0,877.7,508.7,540.4,453.4,786.7,1049.8,1024.5,360.9,433.1,926.4,817.0,708.1,363.5,1037.9,512.6,959.2,333.2,630.5,446.9,302.1,379.9,995.4,1042.8,1020.5,1033.2,608.5,901.3,921.5,957.3,905.5,931.8,935.9,638.2,849.7,467.2,872.6,450.1,341.1,669.4,538.0,575.3,598.0,953.0,853.5,506.3,907.7,946.8,435.7,425.8,890.4,1033.5,541.8,508.7,425.5,396.4,937.4,353.7,572.5,434.8,403.9,964.3,572.3,876.9,525.5,1011.4,853.5,462.7,981.0,853.5,918.7,345.0,0.0,528.8,667.9,476.4,502.7,538.6,530.7,539.4,898.3,536.9,472.2,1059.4,459.6,611.8,453.1,875.2,770.9,491.3,883.9,426.9,871.0,595.8,475.1,978.8,485.0,450.4,940.8,402.6,599.9,967.1,989.7,368.1,372.4,928.3,862.8,932.7,525.0,222.0,600.2,882.0,579.3,973.6,787.8,725.1,990.7,451.6,600.7,445.1,510.1,945.3,394.4,1468.3,527.4,542.5,951.4,256.3,969.8,743.0,539.4
PB,431.3,961.1,737.7,742.4,94.1,97.1,474.1,651.4,821.2,872.1,371.8,472.8,772.3,684.9,728.8,374.4,1051.9,552.3,808.8,315.6,651.2,467.6,322.8,391.6,884.2,888.7,1040.4,897.9,587.2,742.7,767.4,798.7,826.4,777.7,777.3,664.8,870.4,506.9,718.5,470.8,352.0,690.1,592.8,596.0,637.7,841.8,874.2,527.0,753.6,960.8,456.4,465.5,835.6,879.4,585.2,529.4,446.2,417.1,784.7,364.6,593.2,455.5,424.6,810.2,593.0,722.0,504.2,1025.4,874.2,502.4,822.4,874.2,764.6,384.7,537.2,0.0,688.6,497.1,523.4,559.3,551.4,518.1,912.3,515.6,492.9,930.3,480.3,590.5,473.8,739.9,635.6,512.0,897.9,453.8,897.6,616.5,520.7,843.5,505.7,471.1,782.2,423.3,620.6,960.8,1003.7,384.9,387.0,774.2,708.7,778.6,545.7,408.3,578.9,908.9,558.0,987.6,656.2,593.5,826.5,472.3,621.4,465.8,553.5,791.2,405.3,1333.0,155.9,521.2,801.0,393.0,862.2,720.2,560.1
PE,448.8,339.3,241.7,395.9,680.4,712.1,298.5,341.0,430.1,404.8,474.6,502.2,306.7,354.9,88.4,401.3,418.2,581.7,339.5,504.9,327.0,417.3,373.1,453.6,375.7,423.1,400.8,542.8,635.1,281.6,301.8,337.6,285.8,312.1,316.2,162.9,230.0,603.8,252.9,450.4,426.6,194.1,538.3,174.1,734.6,333.3,233.8,470.2,288.0,327.1,386.1,562.4,270.7,413.8,678.4,509.0,306.3,396.7,317.7,467.4,269.0,435.1,404.2,344.6,268.8,257.2,560.3,391.7,233.8,669.5,361.3,233.8,299.0,472.7,725.8,679.5,0.0,426.8,208.4,489.0,481.1,545.8,278.6,620.1,472.5,569.0,410.0,654.9,298.2,393.4,353.5,491.6,264.2,234.2,251.3,193.1,544.2,479.7,485.3,403.9,321.1,402.9,342.1,347.4,370.0,465.4,394.9,308.6,243.1,313.0,488.9,591.0,643.4,262.3,686.0,353.9,458.7,396.0,371.0,288.2,55.7,395.5,579.2,327.2,422.0,1497.9,699.1,569.5,331.7,581.6,401.1,123.3,235.9
PI,273.8,754.4,512.4,811.0,505.4,537.1,248.8,756.1,845.2,819.9,299.6,327.2,721.8,770.0,503.5,226.3,833.3,406.7,754.6,329.9,425.9,224.3,198.1,278.6,790.8,838.2,815.9,957.9,460.1,696.7,716.9,752.7,700.9,727.2,731.3,433.6,645.1,428.8,668.0,275.4,251.6,464.8,363.3,370.7,559.6,748.4,648.9,156.2,703.1,742.2,50.6,387.4,685.8,828.9,503.4,316.7,220.9,221.7,732.8,292.4,367.9,260.1,229.2,759.7,367.7,672.3,385.3,806.8,648.9,494.5,776.4,648.9,714.1,297.7,543.0,504.5,463.3,0.0,298.1,102.0,57.0,370.8,693.7,445.1,297.5,984.1,139.6,479.9,248.5,808.5,768.6,299.3,679.3,222.3,666.4,391.2,369.2,894.8,310.3,245.8,736.2,167.5,395.3,762.5,785.1,290.4,219.9,723.7,658.2,728.1,174.9,408.2,468.4,677.4,511.0,769.0,843.6,780.9,786.1,247.0,396.1,81.5,404.2,742.3,247.0,1524.1,524.1,394.5,746.8,398.8,765.2,538.4,334.8
PK,282.2,514.8,272.8,571.4,513.8,545.5,131.9,516.5,605.6,580.3,308.0,335.6,482.2,530.4,263.9,234.7,593.7,415.1,515.0,338.3,127.7,250.7,206.5,287.0,551.2,598.6,576.3,718.3,468.5,457.1,477.3,513.1,461.3,487.6,491.7,194.0,405.5,437.2,428.4,283.8,260.0,225.2,371.7,131.1,568.0,508.8,409.3,303.6,463.5,502.6,219.5,395.8,446.2,589.3,511.8,342.4,139.7,230.1,493.2,300.8,69.7,268.5,237.6,520.1,69.5,432.7,393.7,567.2,409.3,502.9,536.8,409.3,474.5,306.1,551.4,512.9,223.7,260.2,0.0,322.4,314.5,379.2,454.1,453.5,305.9,744.5,243.4,488.3,131.6,568.9,529.0,325.0,439.7,67.6,426.8,151.6,377.6,655.2,318.7,237.3,496.6,236.3,175.5,522.9,545.5,298.8,228.3,484.1,418.6,488.5,322.3,416.6,476.8,437.8,519.4,529.4,634.2,571.5,546.5,121.6,156.5,228.9,412.6,502.7,255.4,1532.5,532.5,402.9,507.2,407.2,525.6,298.8,36.6
PL,301.6,782.2,540.2,838.8,533.2,564.9,276.6,783.9,873.0,847.7,327.4,355.0,749.6,797.8,531.3,254.1,861.1,434.5,782.4,357.7,453.7,252.1,225.9,306.4,818.6,866.0,843.7,985.7,487.9,724.5,744.7,780.5,728.7,755.0,759.1,461.4,672.9,456.6,695.8,303.2,279.4,492.6,391.1,398.5,587.4,776.2,676.7,184.0,730.9,770.0,78.4,415.2,713.6,856.7,531.2,344.5,248.7,249.5,760.6,320.2,395.7,287.9,257.0,787.5,395.5,700.1,413.1,834.6,676.7,522.3,804.2,676.7,741.9,325.5,570.8,532.3,491.1,87.6,325.9,0.0,115.9,398.6,721.5,472.9,325.3,1011.9,167.4,507.7,276.3,836.3,796.4,327.1,707.1,250.1,694.2,419.0,397.0,922.6,338.1,273.6,764.0,195.3,423.1,790.3,812.9,318.2,247.7,751.5,686.0,755.9,202.7,436.0,496.2,705.2,538.8,796.8,871.4,808.7,813.9,274.8,423.9,109.3,432.0,770.1,274.8,1551.9,551.9,422.3,774.6,426.6,793.0,566.2,362.6
PQ,318.1,798.7,556.7,855.3,549.7,581.4,293.1,800.4,889.5,864.2,343.9,371.5,766.1,814.3,547.8,270.6,877.6,451.0,798.9,374.2,470.2,268.6,242.4,322.9,835.1,882.5,860.2,1002.2,504.4,741.0,761.2,797.0,745.2,771.5,775.6,477.9,689.4,473.1,712.3,319.7,295.9,509.1,407.6,415.0,603.9,792.7,693.2,200.5,747.4,786.5,94.9,431.7,730.1,873.2,547.7,361.0,265.2,266.0,777.1,336.7,412.2,304.4,273.5,804.0,412.0,716.6,429.6,851.1,693.2,538.8,820.7,693.2,758.4,342.0,587.3,548.8,507.6,57.0,342.4,120.3,0.0,415.1,738.0,489.4,341.8,1028.4,183.9,524.2,292.8,852.8,812.9,343.6,723.6,266.6,710.7,435.5,413.5,939.1,354.6,290.1,780.5,211.8,439.6,806.8,829.4,334.7,264.2,768.0,702.5,772.4,219.2,452.5,512.7,721.7,555.3,813.3,887.9,825.2,830.4,291.3,440.4,125.8,448.5,786.6,291.3,1568.4,568.4,438.8,791.1,443.1,809.5,582.7,379.1
PV,247.3,831.6,589.6,731.0,425.1,456.8,326.0,640.0,809.8,897.1,273.1,33.8,799.0,650.7,580.7,199.8,910.5,101.3,831.8,294.3,503.1,319.5,225.4,252.1,868.0,915.4,893.1,886.5,134.5,773.9,794.1,829.9,778.1,804.4,808.5,510.8,722.3,297.8,745.2,239.9,225.1,542.0,325.4,447.9,370.3,825.6,726.1,350.0,780.3,819.4,308.3,256.4,763.0,906.1,314.1,329.9,298.1,186.2,810.0,265.9,445.1,224.6,193.7,836.9,444.9,749.5,14.4,884.0,726.1,209.4,853.6,726.1,791.3,189.8,570.3,424.2,540.5,349.0,375.3,411.2,403.3,0.0,770.9,62.9,262.0,912.7,332.2,137.8,325.7,728.5,624.2,312.5,756.5,299.5,743.6,468.4,84.1,823.4,274.8,323.0,813.4,246.3,472.5,839.7,862.3,263.9,193.4,800.9,735.4,805.3,368.7,435.5,126.2,754.6,105.3,846.2,641.1,578.4,863.3,324.2,473.3,317.7,119.1,819.5,220.5,1321.6,443.8,66.1,824.0,426.1,842.4,615.6,412.0
QC,673.0,131.5,465.9,540.4,904.6,936.3,522.7,485.5,323.8,298.5,698.8,726.4,451.2,499.4,180.2,625.5,168.4,805.9,384.2,729.1,551.2,641.5,597.3,677.8,181.9,567.6,193.0,437.0,859.3,203.9,446.3,233.8,92.0,456.6,138.0,387.1,38.7,828.0,397.4,674.6,650.8,418.3,762.5,398.3,958.8,139.5,84.4,694.4,432.5,119.3,610.3,786.6,76.9,558.3,902.6,733.2,530.5,620.9,136.6,691.6,493.2,659.3,628.4,435.5,493.0,191.8,784.5,183.9,84.4,893.7,331.9,84.4,443.5,696.9,893.0,903.7,252.4,651.0,432.6,713.2,705.3,770.0,0.0,844.3,696.7,463.2,634.2,879.1,522.4,537.9,498.0,715.8,14.5,458.4,70.3,417.3,768.4,373.9,709.5,628.1,133.3,627.1,566.3,139.6,162.2,689.6,619.1,453.1,387.6,457.5,713.1,758.2,867.6,112.9,910.2,146.1,603.2,540.5,401.1,512.4,279.9,619.7,803.4,395.4,646.2,1665.1,923.3,793.7,476.2,748.8,172.0,319.4,460.1
QV,305.6,889.9,647.9,680.9,375.0,406.7,384.3,589.9,759.7,804.4,331.4,92.1,710.8,600.6,639.0,258.1,968.8,38.3,743.6,271.9,561.4,377.8,283.7,310.4,822.7,827.2,951.4,836.4,96.4,681.2,705.9,737.2,761.2,716.2,715.8,569.1,780.6,356.1,657.0,298.2,283.4,600.3,383.7,506.2,428.6,780.3,784.4,408.3,692.1,877.7,366.6,314.7,774.1,817.9,372.4,388.2,356.4,244.5,717.3,324.2,503.4,282.9,252.0,748.7,503.2,656.8,44.3,942.3,784.4,267.7,760.9,784.4,703.1,248.1,497.2,374.1,598.8,407.3,433.6,469.5,461.6,58.2,829.2,0.0,320.3,862.6,390.5,99.7,384.0,678.4,574.1,370.8,814.8,357.8,801.9,526.7,142.4,773.3,333.1,381.3,720.7,304.6,530.8,898.0,920.6,322.2,251.7,712.7,647.2,717.1,427.0,362.4,88.1,812.9,67.2,904.5,591.0,528.3,761.3,382.5,531.6,376.0,177.4,731.3,278.8,1271.5,393.7,61.3,735.8,353.0,800.7,673.9,470.3
QX,173.7,758.0,516.0,804.4,459.1,490.8,252.4,713.4,848.8,823.5,199.5,198.1,725.4,724.1,507.1,126.2,836.9,277.6,758.2,283.6,429.5,245.9,151.8,178.5,794.4,841.8,819.5,959.9,331.0,700.3,720.5,756.3,704.5,730.8,734.9,437.2,648.7,299.7,671.6,90.3,151.5,468.4,178.2,374.3,399.2,752.0,652.5,271.9,706.7,745.8,280.8,258.3,689.4,832.5,322.4,180.3,224.5,56.5,736.4,192.3,371.5,75.0,47.1,763.3,371.3,675.9,256.2,810.4,652.5,365.4,780.0,652.5,717.7,168.6,496.7,458.2,466.9,321.5,301.7,383.7,375.8,241.7,697.3,316.0,0.0,986.1,328.3,350.8,252.1,801.9,697.6,162.9,682.9,225.9,670.0,394.8,240.1,896.8,125.2,249.4,739.8,168.2,398.9,766.1,788.7,190.3,119.8,727.3,661.8,731.7,290.6,361.9,339.3,681.0,381.9,772.6,714.5,651.8,789.7,250.6,399.7,239.9,275.1,745.9,146.9,1395.0,477.8,265.4,750.4,352.5,768.8,542.0,338.4
RC,917.3,362.4,760.5,483.2,1039.6,1071.3,817.3,263.3,143.5,218.5,931.3,895.9,288.2,441.5,530.2,870.6,479.6,975.4,304.2,864.1,845.8,936.1,833.0,922.9,437.5,344.2,462.2,13.0,1028.8,277.2,247.6,228.4,376.0,250.7,330.6,681.7,422.1,930.0,363.7,969.2,895.9,712.9,1057.1,692.9,1060.8,395.1,467.8,989.0,261.3,375.6,904.9,888.6,388.9,334.9,1004.6,1027.8,825.1,915.5,332.1,884.6,787.8,953.9,923.0,238.7,787.6,303.9,954.0,440.2,467.8,925.5,326.5,467.8,301.1,807.8,985.7,1057.5,547.0,945.6,727.2,1007.8,999.9,939.5,434.2,1013.8,991.3,0.0,928.8,1048.6,817.0,480.7,275.8,1010.4,419.8,753.0,453.7,711.9,937.9,130.0,1004.1,922.7,335.5,921.7,860.9,368.0,418.5,899.0,864.2,333.8,351.5,317.9,1007.7,850.9,1037.1,496.3,1079.7,415.3,441.3,378.6,427.6,807.0,574.5,914.3,972.9,315.4,891.3,1757.8,1058.3,963.2,356.9,841.5,269.4,433.5,754.7
RI,217.0,697.6,455.6,754.2,448.6,480.3,192.0,699.3,788.4,763.1,242.8,270.4,665.0,713.2,446.7,169.5,776.5,349.9,697.8,273.1,369.1,167.5,141.3,221.8,734.0,781.4,759.1,901.1,403.3,639.9,660.1,695.9,644.1,670.4,674.5,376.8,588.3,372.0,611.2,218.6,194.8,408.0,306.5,313.9,502.8,691.6,592.1,163.0,646.3,685.4,78.9,330.6,629.0,772.1,446.6,277.2,164.1,164.9,676.0,235.6,311.1,203.3,172.4,702.9,310.9,615.5,328.5,750.0,592.1,437.7,719.6,592.1,657.3,240.9,486.2,447.7,406.5,119.6,241.3,181.8,173.9,314.0,636.9,388.3,240.7,927.3,0.0,423.1,191.7,751.7,711.8,259.8,622.5,165.5,609.6,334.4,312.4,838.0,253.5,189.0,679.4,171.1,338.5,705.7,728.3,233.6,163.1,666.9,601.4,671.3,181.7,351.4,411.6,620.6,454.2,712.2,786.8,724.1,729.3,190.2,339.3,88.3,347.4,685.5,190.2,1467.3,467.3,337.7,690.0,342.0,708.4,481.6,278.0
RM,390.5,895.8,638.8,683.0,377.1,408.8,436.2,592.0,761.8,806.5,346.5,177.0,712.9,602.7,690.9,343.0,992.5,128.1,745.7,274.0,613.3,429.7,284.9,352.9,824.8,829.3,975.1,838.5,73.3,683.3,708.0,739.3,763.3,718.3,717.9,621.0,826.8,469.0,659.1,383.1,314.1,652.2,468.6,558.1,513.5,782.4,836.3,493.2,694.2,901.4,418.5,427.6,776.2,820.0,457.3,473.1,408.3,329.4,719.4,326.7,555.3,367.8,336.9,750.8,555.1,658.9,129.2,966.0,836.3,352.6,763.0,836.3,705.2,333.0,499.3,376.2,650.7,459.2,485.5,521.4,513.5,143.1,852.9,89.7,405.2,864.7,442.4,0.0,435.9,680.5,576.2,455.7,838.5,409.7,858.4,578.6,227.3,775.4,418.0,433.2,722.8,389.5,582.7,901.4,944.3,341.1,336.6,714.8,649.3,719.2,511.9,364.5,65.0,864.8,32.4,928.2,593.1,530.4,763.4,434.4,583.5,427.9,262.3,733.4,363.7,1273.6,395.8,146.2,737.9,355.1,802.8,654.9,522.2
RN,232.2,617.3,375.3,673.9,463.8,495.5,0.3,619.0,708.1,682.8,258.0,285.6,584.7,632.9,366.4,184.7,696.2,365.1,617.5,288.3,288.8,200.7,156.5,237.0,653.7,701.1,678.8,820.8,418.5,559.6,579.8,615.6,563.8,590.1,594.2,296.5,508.0,387.2,530.9,233.8,210.0,327.7,321.7,233.6,518.0,611.3,511.8,253.6,566.0,605.1,169.5,345.8,548.7,691.8,461.8,292.4,27.5,180.1,595.7,250.8,230.8,218.5,187.6,622.6,230.6,535.2,343.7,669.7,511.8,452.9,639.3,511.8,577.0,256.1,501.4,462.9,326.2,210.2,161.0,272.4,264.5,329.2,556.6,403.5,255.9,847.0,193.4,438.3,0.0,671.4,631.5,275.0,542.2,85.2,529.3,254.1,327.6,757.7,268.7,108.7,599.1,186.3,258.2,625.4,648.0,248.8,178.3,586.6,521.1,591.0,272.3,366.6,426.8,540.3,469.4,631.9,736.7,674.0,649.0,36.5,259.0,178.9,362.6,605.2,205.4,1482.5,482.5,352.9,609.7,357.2,628.1,401.3,197.7
RP,739.5,517.7,595.7,36.3,861.0,892.7,652.5,233.6,401.9,363.0,765.3,717.3,242.5,113.7,365.4,692.0,634.9,796.8,275.3,685.5,681.0,811.7,654.4,744.3,456.6,358.9,617.5,478.6,850.2,305.2,237.6,361.2,395.1,247.9,349.7,516.9,458.6,751.4,198.9,732.1,717.3,548.1,837.3,528.1,882.2,414.2,510.8,824.2,223.8,530.9,740.1,710.0,408.0,349.6,826.0,822.1,660.3,678.4,351.2,706.0,623.0,716.8,685.9,280.4,622.8,290.7,775.4,595.5,510.8,746.9,384.9,510.8,234.8,629.2,807.1,860.1,382.2,780.8,562.4,843.0,835.1,760.9,484.7,835.2,754.2,504.8,764.0,870.0,652.2,0.0,217.8,804.7,470.3,588.2,528.3,547.1,759.3,415.5,767.0,757.9,354.6,738.5,696.1,523.3,573.8,720.4,685.6,244.4,178.9,248.8,842.9,672.3,858.5,539.3,901.1,570.6,262.7,200.0,244.8,642.2,409.7,749.5,794.3,263.0,712.7,1579.2,879.7,784.6,267.5,662.9,424.7,268.7,589.9
RQ,642.2,404.4,569.9,207.3,763.7,795.4,679.9,15.8,185.5,242.6,668.0,620.0,180.1,127.0,392.8,594.7,521.6,699.5,154.9,588.2,708.4,714.4,557.1,647.0,484.0,236.6,504.2,262.2,752.9,332.6,179.5,388.6,422.5,56.8,377.1,544.3,486.0,654.1,226.3,634.8,620.0,637.3,740.0,555.5,784.9,441.6,538.2,744.9,165.7,417.6,703.2,612.7,435.4,227.3,728.7,724.8,687.7,581.1,378.6,608.7,650.4,619.5,588.6,131.1,650.2,318.1,678.1,482.2,538.2,649.6,412.3,538.2,107.2,531.9,709.8,762.8,409.6,743.9,589.8,806.1,798.2,663.6,512.1,737.9,656.9,288.4,727.1,772.7,679.6,204.8,0.0,707.4,497.7,615.6,555.7,574.5,662.0,199.1,669.7,717.9,382.0,641.2,723.5,410.0,460.5,623.1,588.3,146.4,206.3,140.4,763.6,575.0,761.2,566.7,803.8,457.3,165.4,102.7,272.2,669.6,437.1,712.6,697.0,142.6,615.4,1481.9,782.4,687.3,209.4,565.6,311.4,296.1,617.3
RS,250.7,810.1,568.1,866.7,511.2,542.9,304.5,795.4,900.9,875.6,276.5,280.1,777.5,806.1,559.2,203.2,889.0,359.6,810.3,335.7,481.6,298.0,203.9,255.5,846.5,893.9,871.6,1013.6,413.0,752.4,772.6,808.4,756.6,782.9,787.0,489.3,700.8,381.7,723.7,127.5,228.5,520.5,162.5,426.4,383.5,804.1,704.6,265.1,758.8,797.9,274.0,340.3,741.5,884.6,306.7,31.2,276.6,138.5,788.5,269.3,423.6,112.2,129.1,815.4,423.4,728.0,338.2,862.5,704.6,365.7,832.1,704.6,769.8,250.6,548.8,510.3,519.0,314.7,353.8,376.9,369.0,323.7,749.4,398.0,174.4,1039.8,321.5,432.8,304.2,864.2,779.6,0.0,735.0,278.0,722.1,446.9,322.1,950.5,84.0,301.5,791.9,161.4,451.0,818.2,840.8,267.3,196.8,779.4,713.9,783.8,283.8,414.0,421.3,733.1,463.9,824.7,796.5,733.8,841.8,302.7,451.8,233.1,357.1,798.0,223.9,1477.0,529.9,347.4,802.5,404.6,820.9,594.1,390.5
SF,658.4,116.9,451.3,525.8,890.0,921.7,508.1,470.9,309.2,283.9,684.2,711.8,436.6,484.8,165.6,610.9,182.8,791.3,369.6,714.5,536.6,626.9,582.7,663.2,167.3,553.0,178.4,422.4,844.7,189.3,431.7,219.2,77.4,442.0,123.4,372.5,24.1,813.4,382.8,660.0,636.2,403.7,747.9,383.7,944.2,124.9,69.8,679.8,417.9,104.7,595.7,772.0,62.3,543.7,888.0,718.6,515.9,606.3,122.0,677.0,478.6,644.7,613.8,420.9,478.4,177.2,769.9,169.3,69.8,879.1,317.3,69.8,428.9,682.3,878.4,889.1,237.8,636.4,418.0,698.6,690.7,755.4,14.3,829.7,682.1,448.6,619.6,864.5,507.8,523.3,483.4,701.2,0.0,443.8,55.7,402.7,753.8,359.3,694.9,613.5,118.7,612.5,551.7,125.0,147.6,675.0,604.5,438.5,373.0,442.9,698.5,743.6,853.0,98.3,895.6,131.5,588.6,525.9,386.5,497.8,265.3,605.1,788.8,380.8,631.6,1650.5,908.7,779.1,461.6,734.2,157.4,304.8,445.5
SN,213.7,532.0,290.0,588.6,446.1,477.8,64.2,533.7,622.8,597.5,240.3,267.9,499.4,547.6,281.1,167.0,610.9,347.4,532.2,270.6,203.5,183.0,138.8,218.5,568.4,615.8,593.5,735.5,400.8,474.3,494.5,530.3,478.5,504.8,508.9,211.2,422.7,369.5,445.6,216.1,192.3,242.4,304.0,148.3,500.3,526.0,426.5,235.9,480.7,519.8,151.8,328.1,463.4,606.5,444.1,274.7,72.0,162.4,510.4,233.1,145.5,200.8,169.9,537.3,145.3,449.9,326.0,584.4,426.5,435.2,554.0,426.5,491.7,238.4,483.7,464.0,240.9,192.5,75.7,254.7,246.8,311.5,471.3,385.8,238.2,761.7,175.7,420.6,63.9,586.1,546.2,257.3,456.9,0.0,444.0,168.8,309.9,681.1,251.0,169.6,513.8,168.6,172.9,540.1,562.7,231.1,160.6,501.3,435.8,505.7,254.6,348.9,409.1,455.0,451.7,546.6,651.4,588.7,563.7,53.9,173.7,161.2,344.9,518.3,187.7,1464.8,464.8,335.2,524.4,339.5,542.8,316.0,112.4
SO,644.2,150.3,437.9,545.2,876.6,908.3,494.7,490.3,342.6,317.3,658.2,698.4,456.0,504.2,152.2,597.5,229.2,777.9,403.0,701.1,523.2,613.5,569.3,649.8,186.7,572.4,211.8,455.8,831.3,208.7,451.1,252.6,96.8,461.4,142.8,359.1,41.0,800.0,402.2,646.6,622.8,390.3,734.5,370.3,930.8,144.3,56.4,666.4,437.3,138.1,582.3,758.6,81.7,563.1,874.6,705.2,502.5,592.9,141.4,663.6,465.2,631.3,600.4,493.9,465.0,196.6,756.5,202.7,56.4,865.7,350.7,56.4,448.3,668.9,865.0,896.7,224.4,623.0,404.6,685.2,677.3,742.0,89.6,816.3,668.7,482.0,606.2,851.1,494.4,542.7,502.8,687.8,75.2,430.4,0.0,389.3,740.4,401.4,681.5,600.1,138.1,599.1,538.3,158.4,181.0,661.6,591.1,457.9,392.4,462.3,685.1,730.2,839.6,67.9,882.2,164.9,608.0,545.3,405.9,484.4,251.9,591.7,775.4,414.2,618.2,1637.1,895.3,765.7,481.0,720.8,190.8,262.5,432.1
SZ,366.0,565.5,252.3,550.9,598.4,630.1,216.5,496.0,585.1,559.8,392.6,420.2,461.7,352.3,243.4,319.3,573.2,499.7,494.5,422.9,245.0,335.3,291.1,370.8,530.7,578.1,555.8,697.8,553.1,436.6,456.8,492.6,440.8,467.1,471.2,173.5,385.0,521.8,407.9,368.4,344.6,204.7,456.3,110.6,652.6,488.3,388.8,388.2,443.0,482.1,304.1,480.4,425.7,568.8,596.4,427.0,224.3,314.7,472.7,385.4,187.0,353.1,322.2,499.6,186.8,412.2,478.3,546.7,388.8,587.5,516.3,388.8,454.0,390.7,636.0,616.3,203.2,344.8,126.4,407.0,399.1,463.8,433.6,538.1,390.5,724.0,328.0,572.9,216.2,548.4,508.5,409.6,419.2,152.2,406.3,0.0,462.2,643.4,403.3,321.9,476.1,320.9,260.1,571.1,525.0,383.4,312.9,463.6,398.1,468.0,406.9,501.2,561.4,417.3,604.0,508.9,613.7,551.0,526.0,206.2,136.0,313.5,497.2,480.6,340.0,1602.1,617.1,487.5,486.7,491.8,497.3,278.3,153.9
TA,268.9,854.0,612.0,753.4,447.5,479.2,348.4,662.4,832.2,919.5,282.9,56.2,821.4,712.0,603.1,222.2,932.9,189.5,854.2,379.6,525.5,341.9,247.8,273.7,890.4,937.8,915.5,908.9,222.7,796.3,816.5,852.3,800.5,826.8,830.9,533.2,744.7,251.7,767.6,262.3,247.5,564.4,319.6,470.3,364.5,848.0,748.5,372.4,802.7,841.8,330.7,210.3,785.4,928.5,308.3,352.3,320.5,208.6,832.4,288.3,467.5,247.0,216.1,859.3,467.3,771.9,102.6,906.4,748.5,203.6,876.0,748.5,813.7,212.2,592.7,465.4,562.9,371.4,397.7,433.6,425.7,88.1,793.3,151.1,284.4,935.1,354.6,226.0,348.1,750.9,646.6,334.9,778.9,321.9,766.0,490.8,0.0,854.5,297.2,345.4,835.8,268.7,494.9,862.1,884.7,286.3,215.8,823.3,757.8,827.7,391.1,457.9,214.4,777.0,193.5,868.6,663.5,600.8,885.7,346.6,495.7,340.1,34.9,840.3,242.9,1344.0,466.2,111.8,846.4,448.5,864.8,638.0,434.4
TB,866.3,311.4,709.5,432.2,988.6,1020.3,766.3,212.3,92.5,167.5,880.3,844.9,237.2,390.5,479.2,819.6,428.6,924.4,253.2,813.1,794.8,885.1,782.0,871.9,386.5,293.2,411.2,113.4,977.8,226.2,196.6,177.4,325.0,199.7,279.6,630.7,371.1,879.0,312.7,918.2,844.9,661.9,1006.1,641.9,1009.8,344.1,416.8,938.0,210.3,324.6,853.9,837.6,337.9,283.9,953.6,976.8,774.1,864.5,281.1,833.6,736.8,902.9,872.0,187.7,736.6,252.9,903.0,389.2,416.8,874.5,275.5,416.8,250.1,756.8,934.7,1006.5,496.0,894.6,676.2,956.8,948.9,888.5,383.2,962.8,940.3,139.6,877.8,997.6,766.0,429.7,224.8,959.4,368.8,702.0,402.7,660.9,886.9,0.0,953.1,871.7,284.5,870.7,809.9,317.0,367.5,848.0,813.2,282.8,300.5,266.9,956.7,799.9,986.1,445.3,1028.7,364.3,390.3,327.6,376.6,756.0,523.5,863.3,921.9,264.4,840.3,1706.8,1007.3,912.2,305.9,790.5,218.4,382.5,703.7
TJ,216.5,800.8,558.8,847.2,501.9,533.6,295.2,756.2,891.6,866.3,242.3,240.9,768.2,766.9,549.9,169.0,879.7,320.4,801.0,326.4,472.3,288.7,194.6,221.3,837.2,884.6,862.3,1002.7,373.8,743.1,763.3,799.1,747.3,773.6,777.7,480.0,691.5,304.1,714.4,44.8,194.3,511.2,78.4,417.1,299.4,794.8,695.3,289.9,749.5,788.6,298.8,262.7,732.2,875.3,222.6,94.0,267.3,99.3,779.2,235.1,414.3,60.1,89.9,806.1,414.1,718.7,299.0,853.2,695.3,281.6,822.8,695.3,760.5,211.4,539.5,501.0,509.7,339.5,344.5,401.7,393.8,284.5,740.1,358.8,135.2,1028.9,346.3,393.6,294.9,844.7,740.4,96.6,725.7,268.7,712.8,437.6,282.9,939.6,0.0,292.2,782.6,186.2,441.7,808.9,831.5,233.1,162.6,770.1,704.6,774.5,308.6,404.7,382.1,723.8,424.7,815.4,757.3,694.6,832.5,293.4,442.5,257.9,317.9,788.7,189.7,1437.8,520.6,308.2,793.2,395.3,811.6,584.8,381.2
