from_stop,AD,AL,AR,AZ,BM,CG,CK,CT,DC,DF,DH,DI,DR,DS,DW,EA,EC,ED,EF,EI,ET,FI,GA,GD,GF,GT,HL,HO,HQ,HT,ID,IN,IR,JH,JJ,JK,JN,JO,JQ,KD,KY,LA,LI,LR,ME,MK,MW,NA,NB,NJ,NQ,NU,NX,OC,OJ,OM,OP,OQ,OS,PA,PH,PI,PX,PY,QE,QF,QM,QO,QR,QU,RN,RS,RV,RW,SB,SC,ST,SW,TE,TH,TI,TO,TU,UC,UT,UX,UY,VA,VC,VE,VG,VI,VL,VZ,WL,WM,WY,WZ,XK,XQ,YD,YF,YJ,YM,YN,YY,ZD,ZH,ZJ,ZM,ZY
VE,176.7,408.2,109.0,586.1,184.2,429.0,203.3,404.7,429.4,368.9,208.0,404.2,544.0,383.7,121.4,169.2,154.8,342.8,485.1,245.3,460.7,461.5,317.8,439.0,581.7,429.8,164.6,465.4,401.9,484.7,331.3,463.0,225.1,491.9,535.0,426.2,295.7,299.3,397.3,319.6,182.3,392.8,354.7,526.8,565.0,413.7,461.2,400.8,258.0,424.6,351.0,178.9,375.3,462.7,507.3,372.8,186.4,216.5,414.0,203.3,511.2,426.0,447.5,447.3,247.1,477.6,418.9,326.1,529.8,465.4,468.3,250.2,458.0,526.8,496.5,419.6,412.3,436.6,198.0,265.5,435.7,418.1,83.0,300.9,231.5,474.5,413.9,424.6,400.2,0.0,477.3,471.4,403.8,236.4,384.5,492.2,365.6,413.1,423.6,370.4,359.4,137.2,409.1,422.5,401.1,205.8,414.2,429.0,452.8,452.0,1963.5
VG,536.9,175.3,556.7,306.5,544.4,149.4,563.5,245.6,138.4,232.6,568.2,125.4,306.0,247.4,575.1,529.4,515.0,703.0,312.8,605.5,18.7,63.4,449.4,159.4,294.3,176.9,612.3,230.7,341.9,381.4,242.7,165.4,585.3,78.6,255.4,193.3,655.9,659.5,164.4,679.8,384.3,302.3,242.6,333.0,241.4,153.5,456.1,165.8,618.2,66.9,181.6,622.0,370.2,90.0,51.5,323.6,546.6,576.7,148.1,563.5,55.4,208.0,167.9,442.2,607.3,472.5,183.9,282.8,52.4,185.8,296.0,610.4,40.1,288.8,78.7,230.7,159.4,261.5,558.2,625.7,430.6,413.0,548.7,661.1,591.7,371.2,277.6,288.3,395.1,607.2,0.0,191.8,137.9,596.6,209.5,271.1,196.2,107.4,170.7,282.2,719.6,497.4,124.4,95.7,441.6,566.0,454.7,292.7,173.2,119.9,2077.1
VI,510.8,248.8,530.6,222.9,518.3,98.8,537.4,218.2,183.2,199.7,542.1,148.9,190.6,221.3,549.0,503.3,488.9,676.9,217.0,579.4,138.7,218.8,423.3,108.8,178.9,278.4,586.2,202.8,267.0,299.1,214.8,155.5,559.2,234.0,171.8,266.8,629.8,633.4,237.9,653.7,358.2,220.0,214.7,237.2,126.0,198.3,430.0,137.9,592.1,137.1,153.7,595.9,344.1,245.4,206.9,241.3,520.5,550.6,271.6,537.4,210.8,261.8,23.8,416.1,581.2,446.4,156.0,254.9,207.8,70.4,200.2,584.3,136.0,173.4,234.1,233.1,260.9,268.1,532.1,599.6,404.5,386.9,522.6,635.0,565.6,288.9,251.5,181.2,369.0,581.1,155.3,0.0,261.4,570.5,216.0,175.3,168.3,262.8,281.2,254.3,693.5,471.3,240.7,251.1,415.5,539.9,428.6,224.4,18.5,209.3,2051.0
VL,520.9,162.4,543.8,392.9,528.4,232.7,547.5,104.4,171.4,219.7,555.3,251.4,392.4,234.5,562.2,513.4,505.0,690.1,335.9,567.9,239.2,176.8,436.5,245.8,377.6,44.6,581.8,284.9,296.2,379.0,186.4,269.8,569.3,253.2,341.8,180.4,643.0,649.5,151.5,666.9,368.3,287.1,186.3,357.1,327.8,156.2,440.1,217.9,605.3,231.4,193.3,609.1,354.2,120.3,164.9,267.1,533.7,560.7,7.3,550.6,168.8,69.9,257.2,429.3,594.4,456.5,236.0,226.5,249.0,272.2,320.1,597.5,260.6,375.2,154.1,92.6,59.9,123.4,545.3,612.8,417.7,399.8,535.8,648.2,578.8,368.8,264.7,275.4,382.2,594.3,220.4,278.2,0.0,586.6,127.2,343.0,168.5,131.3,46.0,225.9,706.7,481.4,179.6,140.7,428.7,553.1,439.2,279.8,259.6,180.8,2064.2
VZ,171.4,481.7,290.7,634.8,139.1,502.5,59.7,478.2,502.9,442.4,76.2,477.7,617.5,457.2,317.2,124.1,92.8,137.1,558.6,80.1,534.2,535.0,391.3,512.5,655.2,503.3,331.8,538.9,482.6,558.2,404.8,536.5,138.3,565.4,608.5,499.7,90.0,93.6,470.8,113.9,255.8,466.3,428.2,582.9,638.5,487.2,534.7,474.3,52.3,498.1,413.5,312.6,448.8,536.2,580.8,446.3,160.9,90.9,487.5,44.5,584.7,499.5,521.0,520.8,119.8,551.1,492.4,399.6,603.3,538.9,539.9,122.9,531.5,600.3,570.0,493.1,485.8,510.1,152.9,121.9,509.2,494.4,281.2,95.2,58.5,548.0,487.4,498.1,473.7,285.8,550.8,544.9,480.2,0.0,458.0,561.4,439.1,486.6,497.1,443.9,153.7,110.4,482.6,496.0,474.6,41.8,488.2,502.5,533.2,525.1,1909.6
WL,448.7,116.8,468.5,317.6,456.2,160.5,475.3,87.2,138.0,144.4,480.0,135.7,317.1,159.2,486.9,441.2,426.8,614.8,260.6,517.3,192.2,170.1,361.2,170.5,305.4,138.4,524.1,209.6,224.8,307.6,115.0,194.5,497.1,223.4,266.5,134.8,567.7,571.3,105.9,591.6,296.1,215.7,114.9,302.3,252.5,122.3,367.9,132.3,530.0,156.1,114.2,533.8,282.0,167.5,212.1,195.7,458.4,488.5,122.6,475.3,216.0,130.8,179.0,354.0,519.1,384.3,150.4,155.1,296.2,196.9,243.8,522.2,189.5,299.9,201.3,102.1,120.9,52.0,470.0,537.5,342.4,324.8,460.5,572.9,503.5,297.4,189.4,200.1,306.9,519.0,208.8,202.9,112.4,508.4,0.0,267.7,100.2,121.7,132.2,154.5,631.4,409.2,117.7,131.1,353.4,477.8,366.5,204.5,184.3,160.6,1988.9
WM,474.6,263.8,497.8,285.5,482.1,186.2,501.2,256.9,273.6,146.0,509.3,239.3,107.0,117.3,516.2,467.1,456.1,644.1,43.3,521.9,222.1,294.4,390.5,196.2,136.6,285.4,538.9,144.4,158.5,183.4,218.5,140.3,523.0,309.6,259.2,281.8,597.0,600.6,252.9,618.3,322.0,104.3,210.3,26.9,141.6,288.7,393.8,213.5,560.7,212.7,192.2,563.1,307.9,318.3,282.5,124.2,487.7,514.4,269.6,504.6,288.7,281.6,156.5,383.3,548.4,410.2,231.6,181.7,283.4,130.5,66.3,577.5,211.6,115.4,306.3,275.2,267.9,292.2,499.3,566.8,368.3,353.5,480.2,602.2,532.8,173.2,146.8,65.5,336.2,548.3,230.9,183.8,265.4,537.7,240.1,0.0,217.8,268.7,279.2,283.0,665.0,435.1,314.0,279.6,383.7,507.1,392.9,108.7,172.1,286.7,2018.2
WY,430.9,114.2,450.7,249.3,438.4,117.0,457.5,95.9,126.5,145.2,462.2,92.2,273.6,133.7,469.1,423.4,409.0,597.0,255.5,474.8,156.5,167.5,343.4,127.0,261.9,135.8,491.8,166.1,163.4,239.0,46.4,151.0,479.3,179.9,223.0,132.2,549.9,553.5,103.3,571.2,278.3,147.1,46.3,278.7,209.0,141.6,350.1,88.8,512.2,112.6,24.7,516.0,264.2,168.7,213.3,128.3,440.6,470.7,120.0,457.5,217.2,132.0,135.5,336.2,501.3,366.5,106.9,86.5,217.8,153.4,236.8,504.4,146.0,256.4,202.5,110.8,118.3,142.6,452.2,519.7,324.6,309.8,433.1,555.1,485.7,228.8,163.9,206.8,289.1,501.2,165.3,159.4,112.7,490.6,90.5,251.7,0.0,119.1,129.6,85.9,617.9,391.4,115.1,128.5,336.6,460.0,349.2,186.9,147.7,152.6,1971.1
WZ,451.9,90.3,471.7,320.8,459.4,163.7,478.5,142.6,99.3,147.6,483.2,138.9,320.3,162.4,490.1,444.4,430.0,618.0,263.8,520.5,135.4,53.9,364.4,173.7,308.6,105.9,527.3,212.8,256.9,296.4,173.9,197.7,500.3,181.8,269.7,108.3,570.9,574.5,79.4,594.8,299.3,217.3,173.8,305.5,255.7,84.1,371.1,145.8,533.2,159.3,112.8,537.0,285.2,52.2,65.8,238.6,461.6,491.7,117.9,478.5,61.9,131.0,182.2,357.2,522.3,387.5,163.9,214.0,145.2,200.1,247.0,525.4,156.8,303.1,59.6,127.7,88.4,158.5,473.2,540.7,345.6,328.0,463.7,576.1,506.7,286.2,192.6,203.3,310.1,522.2,116.6,206.1,107.7,511.6,124.5,270.9,127.4,0.0,99.7,213.4,634.6,412.4,69.2,65.5,356.6,481.0,369.7,207.7,187.5,112.1,1992.1
XK,477.9,116.3,497.7,346.8,485.4,189.7,504.5,74.8,125.3,173.6,509.2,205.3,346.3,188.4,516.1,470.4,456.0,644.0,289.8,546.5,193.1,130.7,390.4,199.7,334.6,72.1,553.3,238.8,263.5,346.3,153.7,223.7,526.3,207.1,295.7,134.3,596.9,600.5,105.4,620.8,325.3,254.4,153.6,331.5,281.7,110.1,397.1,171.8,559.2,185.3,152.9,563.0,311.2,74.2,118.8,234.4,487.6,517.7,86.1,504.5,122.7,37.2,208.2,383.2,548.3,413.5,189.9,193.8,202.9,226.1,273.0,551.4,214.5,329.1,108.0,59.9,54.6,90.7,499.2,566.7,371.6,354.0,489.7,602.1,532.7,336.1,218.6,229.3,336.1,548.2,174.3,232.1,75.9,537.6,94.5,296.9,138.9,85.2,0.0,193.2,660.6,438.4,133.5,94.6,382.6,507.0,395.7,233.7,213.5,134.7,2018.1
XQ,428.6,143.0,448.4,320.9,436.1,163.8,455.2,112.9,164.2,192.0,459.9,139.0,325.5,222.3,466.8,421.1,406.7,594.7,253.2,472.5,195.5,196.3,341.1,173.8,308.7,164.6,489.5,212.9,153.9,236.7,44.1,197.8,477.0,226.7,269.8,161.0,547.6,551.2,132.1,568.9,276.0,144.8,61.9,276.4,255.8,148.5,347.8,135.6,509.9,159.4,55.4,513.7,261.9,193.2,237.8,124.8,438.3,468.4,148.8,455.2,241.7,156.5,182.3,333.9,499.0,364.2,153.7,33.3,264.6,200.2,234.5,528.1,192.8,308.3,227.0,127.8,147.1,162.8,449.9,517.4,322.3,307.5,440.4,552.8,483.4,226.5,252.5,204.5,286.8,498.9,212.1,206.2,144.6,488.3,110.7,249.4,81.0,147.9,158.4,0.0,611.3,389.1,171.5,157.3,333.3,457.7,346.9,184.6,194.5,186.4,1968.8
YD,297.7,604.2,434.2,757.3,282.6,625.0,186.0,600.7,625.4,564.9,198.7,600.2,756.7,580.4,439.7,267.6,240.1,34.6,681.1,199.5,664.5,657.5,513.8,635.0,777.7,625.8,475.3,661.4,605.1,680.7,527.3,659.0,264.6,687.9,731.0,622.2,138.3,48.2,593.3,29.5,378.3,588.8,550.7,705.4,761.0,609.7,657.2,596.8,98.1,620.6,536.0,456.1,571.3,658.7,703.3,570.0,283.4,211.7,610.0,188.0,663.2,622.0,643.5,643.3,242.3,673.6,614.9,522.1,725.8,661.4,666.2,255.1,654.0,722.8,696.3,615.6,608.3,632.6,296.4,244.4,635.5,616.9,403.7,121.9,202.0,670.5,609.9,620.6,596.2,429.3,673.3,667.4,605.8,147.2,580.5,683.9,561.6,609.1,619.6,570.2,0.0,257.7,632.7,620.0,598.1,185.3,610.7,625.0,655.7,647.6,1903.6
YF,123.0,397.5,180.2,550.6,46.9,418.3,158.9,394.0,418.7,358.2,175.4,393.5,533.3,373.7,233.0,31.9,17.5,236.3,474.4,200.9,457.8,450.8,307.1,428.3,571.0,419.1,221.3,454.7,398.4,474.0,320.6,452.3,171.4,481.2,524.3,415.5,189.2,192.8,386.6,210.5,171.6,382.1,344.0,498.7,554.3,403.0,450.5,390.1,152.9,413.9,329.3,202.1,364.6,452.0,496.6,362.1,132.7,162.8,403.3,66.0,456.5,415.3,436.8,436.6,219.0,466.9,408.2,315.4,519.1,454.7,455.7,222.1,447.3,516.1,485.8,408.9,401.6,425.9,60.7,221.1,425.0,410.2,197.0,194.4,104.4,463.8,403.2,413.9,389.5,175.3,466.6,460.7,393.1,99.1,373.8,481.5,354.9,402.4,412.9,359.7,257.2,0.0,426.0,411.8,390.4,68.5,404.0,418.3,449.0,440.9,1952.8
YJ,450.2,88.6,470.0,294.3,457.7,162.0,476.8,140.9,51.7,145.9,481.5,95.8,331.1,161.4,488.4,442.7,428.3,616.3,262.1,494.1,142.8,90.2,362.7,172.0,306.9,125.5,528.2,211.1,262.4,294.7,172.2,196.0,498.6,115.2,268.0,106.6,569.2,572.8,77.7,590.5,297.6,215.6,172.1,303.5,254.0,36.5,386.5,144.1,532.9,157.6,100.1,535.3,300.6,38.6,78.3,235.5,459.9,490.0,145.0,476.8,84.5,156.6,180.5,355.5,520.6,385.8,162.2,212.3,162.4,198.4,243.4,549.7,174.0,301.4,67.5,126.0,108.0,156.8,471.5,539.0,361.0,329.1,452.4,574.4,505.0,284.5,208.0,201.6,308.4,520.5,133.8,204.4,140.8,509.9,122.8,264.9,125.7,134.2,119.3,211.7,637.2,410.7,0.0,121.3,355.9,479.3,385.6,206.0,192.7,56.9,1990.4
YM,467.1,105.5,486.9,311.2,474.6,178.9,493.7,153.8,114.5,162.8,498.4,154.1,348.0,178.3,505.3,459.6,445.2,633.2,279.0,511.0,110.6,38.9,379.6,188.9,323.8,89.7,528.0,228.0,279.3,311.6,231.5,212.9,515.5,166.8,284.9,123.5,586.1,589.7,94.6,607.4,314.5,232.5,231.4,304.5,270.9,99.3,386.3,161.0,549.8,168.6,117.0,552.2,300.4,67.4,50.8,252.4,476.8,506.9,52.3,493.7,44.6,115.0,197.4,372.4,537.5,402.7,179.1,271.6,130.2,215.3,260.3,566.6,141.8,318.3,91.8,137.7,105.0,168.5,488.4,555.9,360.8,346.0,469.3,591.3,521.9,301.4,209.0,218.5,325.3,537.4,101.6,221.3,48.1,528.0,172.3,281.8,142.6,60.2,91.1,272.2,654.1,427.6,112.0,0.0,372.8,496.2,385.4,222.9,209.6,141.4,2007.3
YN,496.3,356.5,469.5,509.6,504.7,377.3,523.8,353.9,377.7,317.2,527.6,352.5,509.0,332.7,534.5,488.8,474.4,662.4,433.4,540.2,416.8,409.8,390.8,387.3,530.0,378.1,511.5,413.7,357.4,433.0,279.6,411.3,544.7,440.2,483.3,374.5,615.3,618.9,345.6,636.6,294.3,341.1,303.0,457.7,513.3,362.0,41.7,349.1,579.0,372.9,288.3,545.4,128.5,411.0,455.6,322.3,506.0,536.1,362.3,522.9,415.5,374.3,395.8,56.5,566.7,26.2,367.2,274.4,478.1,413.7,414.7,595.8,406.3,475.1,444.8,367.9,360.6,384.9,517.6,585.1,67.1,82.9,498.5,620.5,551.1,422.8,362.2,372.9,103.6,505.6,425.6,419.7,358.1,556.0,332.8,436.2,313.9,361.4,371.9,318.7,683.3,456.8,385.0,372.3,0.0,525.4,13.5,377.3,408.0,399.9,2018.5
YY,127.3,466.1,248.8,644.0,97.2,486.9,90.3,462.6,487.3,426.8,106.8,462.1,601.9,441.6,301.6,82.2,50.9,167.7,543.0,132.3,518.6,519.4,375.7,496.9,639.6,487.7,304.4,523.3,459.8,542.6,389.2,520.9,168.9,549.8,592.9,484.1,120.6,124.2,455.2,144.5,240.2,450.7,412.6,584.7,622.9,471.6,519.1,458.7,82.9,482.5,408.9,270.7,433.2,520.6,565.2,430.7,191.5,121.5,471.9,2.7,569.1,483.9,505.4,505.2,150.4,535.5,476.8,384.0,587.7,523.3,526.2,153.5,515.9,584.7,554.4,477.5,470.2,494.5,111.0,152.5,493.6,476.0,275.2,125.8,61.3,532.4,471.8,482.5,458.1,243.9,535.2,529.3,461.7,30.5,442.4,550.1,423.5,471.0,481.5,428.3,184.3,68.5,467.0,480.4,459.0,0.0,472.1,486.9,510.7,509.9,1940.2
ZD,504.7,364.9,477.9,518.0,512.2,385.7,531.3,361.4,386.1,325.6,536.0,360.9,517.4,341.1,542.9,497.2,482.8,670.8,441.8,548.6,417.4,418.2,399.2,395.7,538.4,386.5,519.0,422.1,358.6,441.4,288.0,419.7,553.1,448.6,491.7,382.9,623.7,627.3,354.0,645.0,302.7,349.5,311.4,466.1,521.7,370.4,29.1,357.5,587.4,381.3,296.7,553.8,115.0,419.4,464.0,329.5,514.4,544.5,370.7,531.3,423.9,382.7,404.2,42.9,575.1,12.7,375.6,282.8,486.5,422.1,423.1,578.2,414.7,483.5,453.2,376.3,369.0,393.3,526.0,593.5,54.6,69.4,516.5,628.9,559.5,431.2,370.6,381.3,90.1,514.0,434.0,428.1,360.5,564.4,341.2,448.9,322.3,369.8,380.3,327.1,687.4,465.2,393.4,379.2,12.5,533.8,0.0,385.7,416.4,408.3,2026.9
ZH,459.5,245.3,479.3,369.9,467.0,245.8,486.1,241.8,266.5,144.3,490.8,277.2,215.3,98.1,497.7,452.0,437.6,625.6,143.0,528.1,273.9,298.6,372.0,255.8,253.0,266.9,534.9,182.3,97.0,129.1,164.2,199.9,507.9,364.9,318.8,263.3,578.5,582.1,234.4,602.4,306.9,50.0,191.8,179.6,236.3,250.8,378.7,273.1,540.8,272.3,188.1,544.6,292.8,299.8,342.1,71.3,469.2,499.3,251.1,486.1,346.0,263.1,219.5,364.8,529.9,395.1,291.2,163.2,343.0,190.1,126.2,533.0,271.2,198.1,333.6,256.7,249.4,273.7,480.8,548.3,353.2,335.6,471.3,583.7,514.3,118.9,128.3,88.8,317.7,529.8,290.5,243.4,240.9,519.2,221.6,139.2,202.7,250.2,260.7,217.3,642.2,420.0,246.2,259.6,364.2,488.6,377.3,0.0,224.8,289.1,1999.7
ZJ,499.1,230.2,512.0,179.5,506.6,80.2,518.8,199.6,164.6,181.1,523.5,130.3,184.5,203.4,530.4,491.6,477.2,658.3,198.4,536.1,127.9,200.2,404.7,90.2,160.3,259.8,560.0,184.2,255.6,280.5,196.2,136.9,547.5,215.4,153.2,248.2,611.2,621.7,219.3,632.5,346.5,201.4,196.1,190.6,107.4,179.7,418.3,119.3,574.9,118.5,131.0,577.3,325.5,226.8,188.3,221.3,501.9,538.9,253.0,518.8,194.5,243.2,12.2,397.5,562.6,427.8,137.4,236.3,189.2,51.8,186.6,591.7,117.4,154.8,222.4,214.5,242.3,249.5,513.5,581.0,385.9,378.0,494.4,616.4,547.0,270.3,232.9,162.6,350.4,562.5,136.7,18.5,248.8,558.8,197.4,152.4,156.6,244.2,262.6,242.6,679.2,459.6,205.0,231.3,397.9,521.3,417.4,205.8,0.0,177.7,2032.4
ZM,481.6,120.0,501.4,308.9,489.1,176.6,521.2,203.9,83.1,177.3,512.9,70.5,345.7,192.8,519.8,474.1,472.7,647.7,293.5,525.5,128.7,99.9,394.1,186.6,321.5,135.2,555.5,207.7,293.8,326.1,203.6,210.6,530.0,72.3,282.6,138.0,600.6,617.2,109.1,621.9,329.0,247.0,203.5,311.2,268.6,67.9,400.8,175.5,564.3,172.2,131.5,566.7,327.9,48.3,88.0,266.9,491.3,521.4,154.7,508.2,94.2,166.3,195.1,386.9,552.0,417.2,193.6,243.7,148.3,213.0,274.8,581.1,159.9,316.0,90.2,189.0,117.7,219.8,502.9,570.4,388.3,360.5,483.8,605.8,536.4,315.9,235.3,233.0,339.8,551.9,119.7,219.0,150.5,554.3,154.2,296.3,177.1,143.9,129.0,243.1,668.6,442.1,14.2,131.0,387.3,510.7,399.9,237.4,207.3,0.0,2021.8
ZY,2076.6,2056.1,2122.4,2234.0,2106.8,2076.9,2031.7,2052.6,2077.3,2016.8,2048.2,2052.1,2191.9,2031.6,2140.8,2091.8,2060.5,1943.4,2133.0,2073.7,2108.6,2109.4,1968.4,2086.9,2229.6,2077.7,2178.0,2113.3,2049.8,2132.6,1979.2,2110.9,2104.0,2139.8,2182.9,2074.1,1987.8,1936.4,2045.2,1956.7,1950.0,2040.7,2002.6,2174.7,2212.9,2061.6,2063.5,2048.7,1949.0,2072.5,1998.9,2192.3,1977.6,2110.6,2155.2,2020.7,2126.6,1999.2,2061.9,2015.3,2159.1,2073.9,2095.4,2049.6,2061.5,2079.9,2066.8,1974.0,2177.7,2113.3,2116.2,2064.6,2105.9,2174.7,2144.4,2067.5,2060.2,2084.5,2120.6,2093.9,2038.0,2020.4,2114.4,1971.4,2029.3,2122.4,2061.8,2072.5,2002.5,2172.9,2125.2,2119.3,2051.7,1970.7,2032.4,2140.1,2013.5,2061.0,2071.5,2018.3,1969.9,2071.1,2057.0,2070.4,2049.0,2012.6,2062.1,2076.9,2100.7,2099.9,0.0
