from_stop,AI,AR,AY,BA,BE,BK,BM,BR,BS,BW,BX,CO,CV,DA,DE,DG,DL,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FZ,GL,GN,GX,HJ,HL,HN,HS,IA,IF,IT,JI,JO,JR,JT,KT,LB,LC,LE,LV,ML,MN,MS,MV,MW,MY,NE,NG,NN,NR,OH,OM,OW,PF,PH,PP,QA,QT,QU,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SU,SV,SY,TB,TI,TK,TL,TN,TR,UE,UG,UH,UJ,UX,VF,VH,VI,VK,VW,WI,WJ,WO,WX,XG,XI,XJ,XP,XY,YJ,YT,ZI,ZK,ZN
VK,251.5,419.3,130.0,316.7,575.9,248.6,139.7,437.4,345.1,421.9,540.2,460.2,144.0,373.8,327.0,123.3,440.0,161.7,459.0,393.1,448.5,421.5,397.5,398.3,115.0,414.4,527.7,292.2,344.9,14.9,369.5,252.9,294.5,559.3,602.6,191.2,366.4,530.5,281.6,377.2,471.8,540.3,416.8,432.6,399.0,571.8,553.5,540.2,238.6,5.9,441.5,489.1,453.1,425.4,154.8,136.5,428.6,369.6,521.4,409.1,160.7,503.5,406.7,508.0,179.5,482.0,138.9,592.7,426.2,422.2,1516.3,389.0,548.9,308.3,427.8,353.5,508.1,430.9,501.9,571.0,514.2,450.4,9.7,67.4,401.5,365.1,244.6,123.4,420.8,393.5,429.7,254.6,0.0,540.1,119.8,490.6,266.7,111.9,265.6,178.6,133.5,562.8,469.3,193.8,208.8,521.5,51.0,169.2
VW,290.6,772.7,546.4,670.1,547.4,602.0,556.1,795.5,698.5,488.2,507.0,512.8,536.3,481.3,488.9,520.3,793.4,569.0,536.7,500.6,433.3,774.9,750.9,476.0,507.3,492.1,494.5,440.0,698.3,458.8,722.9,414.8,647.9,526.1,569.4,583.5,719.8,888.6,424.7,730.6,825.2,507.1,468.9,489.4,506.5,538.6,520.5,893.6,381.7,484.4,794.9,842.5,505.2,747.3,508.2,528.8,535.4,477.1,874.8,516.6,553.0,466.0,760.1,861.4,582.1,835.4,546.2,584.9,779.6,775.6,1521.9,742.4,520.4,661.7,781.2,706.9,474.9,784.3,473.4,537.8,481.0,803.8,473.4,529.0,513.7,472.6,400.5,526.0,774.2,751.2,512.1,608.0,483.2,0.0,512.1,844.0,620.1,514.5,408.7,570.9,530.5,529.6,827.4,586.1,415.7,874.9,529.6,561.5
WI,267.3,435.1,142.7,332.5,591.7,264.4,152.4,453.2,360.9,437.7,556.0,476.0,71.8,389.6,342.8,46.3,468.3,160.6,460.9,408.9,464.3,431.3,413.3,414.1,38.0,430.2,543.5,283.3,360.7,107.4,385.3,268.7,310.3,575.1,574.5,85.9,382.2,546.3,297.4,393.0,487.6,553.8,433.1,448.4,414.8,587.6,569.3,556.0,254.4,133.0,457.3,504.9,471.3,435.2,170.6,64.3,444.4,385.4,537.2,424.9,36.4,519.3,422.5,523.8,178.4,497.8,137.8,608.5,442.0,438.0,1532.1,404.8,564.7,324.1,443.6,368.4,523.9,446.7,517.7,615.1,530.0,466.2,117.3,147.5,417.3,380.9,260.4,122.3,421.0,409.3,445.5,270.4,127.1,551.2,0.0,506.4,282.5,110.8,281.4,94.3,61.3,578.6,485.6,73.9,224.6,537.3,131.1,97.0
WJ,544.3,346.9,526.6,426.9,850.7,358.8,536.3,180.5,200.5,696.7,815.0,735.0,516.5,648.6,601.8,495.8,60.9,544.5,719.9,667.9,723.3,102.3,215.0,673.1,487.5,689.2,802.5,542.3,324.7,439.0,140.6,527.7,404.7,834.1,833.5,563.7,183.9,259.8,556.4,225.0,87.5,812.8,692.1,707.4,673.8,846.6,828.3,269.5,513.4,464.6,228.2,120.6,730.3,50.0,363.8,509.0,703.4,644.4,250.7,683.9,528.8,778.3,334.3,237.3,562.3,211.3,521.7,888.2,353.8,214.5,1809.1,175.7,825.5,288.1,220.1,332.4,782.9,174.0,776.7,874.1,789.0,113.7,448.9,509.2,676.3,639.9,519.4,506.2,176.3,241.3,704.5,364.8,458.7,828.2,492.3,0.0,376.9,494.7,540.4,551.1,506.0,837.6,101.3,566.3,483.6,250.8,509.8,541.7
WO,349.3,354.5,331.6,140.6,655.7,72.5,341.3,372.6,280.3,501.7,620.0,540.0,321.5,453.6,406.8,300.8,387.7,349.5,524.9,472.9,528.3,350.7,332.7,478.1,292.5,494.2,607.5,347.3,280.1,244.0,304.7,332.7,118.4,639.1,638.5,368.7,301.6,465.7,361.4,312.4,407.0,617.8,497.1,512.4,478.8,651.6,633.3,475.4,318.4,269.6,376.7,424.3,535.3,354.6,168.8,314.0,508.4,449.4,456.6,488.9,333.8,583.3,341.9,443.2,367.3,417.2,326.7,672.5,361.4,357.4,1614.1,324.2,628.7,243.5,363.0,287.8,587.9,366.1,581.7,679.1,594.0,385.6,253.9,314.2,481.3,444.9,324.4,311.2,340.4,328.7,509.5,78.5,263.7,633.2,297.3,425.8,0.0,299.7,345.4,356.1,311.0,642.6,405.0,371.3,288.6,456.7,314.8,346.7
WX,291.3,459.1,103.5,356.5,615.7,288.4,100.1,477.2,384.9,461.7,580.0,500.0,136.6,413.6,366.8,115.9,492.3,49.7,484.9,432.9,488.3,455.3,437.3,438.1,107.6,454.2,567.5,307.3,384.7,134.0,409.3,292.7,334.3,599.1,598.5,183.8,406.2,570.3,321.4,417.0,511.6,577.8,457.1,472.4,438.8,611.6,593.3,580.0,278.4,113.1,481.3,528.9,495.3,459.2,194.6,129.1,468.4,409.4,561.2,448.9,148.9,543.3,446.5,547.8,67.5,521.8,26.9,632.5,466.0,462.0,1556.1,428.8,588.7,348.1,467.6,392.4,547.9,470.7,541.7,639.1,554.0,490.2,128.8,108.3,441.3,404.9,284.4,11.5,445.0,433.3,469.5,294.4,119.0,575.2,112.4,530.4,306.5,0.0,305.4,171.2,126.1,602.6,509.6,186.4,248.6,561.3,91.9,161.8
XG,366.6,516.4,373.8,413.8,416.3,345.7,383.5,534.5,442.2,262.3,380.6,300.6,363.7,214.2,110.3,343.0,549.6,391.7,285.5,233.5,288.9,512.6,494.6,238.7,334.7,254.8,368.1,125.9,442.0,286.2,466.6,34.4,391.6,399.7,399.1,410.9,463.5,627.6,27.6,474.3,568.9,378.4,257.7,273.0,239.4,412.2,393.9,637.3,36.9,311.8,538.6,586.2,295.9,516.5,251.9,356.2,269.0,210.0,618.5,249.5,376.0,343.9,503.8,605.1,409.5,579.1,368.9,433.1,523.3,519.3,1631.4,486.1,389.3,405.4,524.9,449.7,348.5,528.0,342.3,439.7,354.6,547.5,296.1,356.4,241.9,205.5,144.2,353.4,502.3,490.6,270.1,351.7,305.9,482.2,339.5,587.7,363.8,341.9,0.0,398.3,353.2,403.2,566.9,413.5,159.4,618.6,357.0,388.9
XI,336.1,503.9,211.5,401.3,660.5,333.2,221.2,522.0,429.7,506.5,624.8,544.8,140.6,458.4,411.6,55.2,524.6,229.4,529.7,477.7,533.1,506.1,482.1,482.9,63.5,499.0,612.3,376.8,429.5,176.2,454.1,337.5,379.1,643.9,643.8,105.8,451.0,615.1,366.2,461.8,556.4,624.9,501.4,517.2,483.6,656.4,638.1,624.8,323.2,201.8,526.1,573.7,537.7,504.0,239.4,133.1,513.2,454.2,606.0,493.7,43.4,588.1,491.3,592.6,247.2,566.6,206.6,698.0,510.8,506.8,1600.9,473.6,633.5,392.9,512.4,438.1,592.7,515.5,586.5,655.6,598.8,535.0,186.1,216.3,486.1,449.7,329.2,191.1,489.8,482.4,514.3,339.2,195.9,624.7,91.6,575.2,351.3,179.6,350.2,0.0,130.1,647.4,553.9,93.8,293.4,606.1,199.9,127.8
XJ,281.0,448.8,156.4,346.2,605.4,278.1,166.1,466.9,374.6,451.4,569.7,489.7,10.5,403.3,356.5,84.8,469.5,174.3,488.5,422.6,478.0,451.0,427.0,427.8,76.5,443.9,557.2,321.7,374.4,121.1,399.0,282.4,324.0,588.8,628.6,57.7,395.9,560.0,311.1,406.7,501.3,569.8,446.3,462.1,428.5,601.3,583.0,569.7,268.1,146.7,471.0,518.6,482.6,448.9,184.3,32.2,458.1,399.1,550.9,438.6,105.6,533.0,436.2,537.5,192.1,511.5,151.5,642.9,455.7,451.7,1545.8,418.5,578.4,337.8,457.3,383.0,537.6,460.4,531.4,600.5,543.7,479.9,131.0,161.2,431.0,394.6,274.1,136.0,450.3,427.3,459.2,284.1,140.8,569.6,81.3,520.1,296.2,124.5,295.1,140.1,0.0,592.3,498.8,69.6,238.3,551.0,144.8,35.7
XP,483.8,829.8,687.2,727.2,9.5,659.1,696.9,847.9,755.6,402.2,89.3,426.8,677.1,395.3,545.2,656.4,863.0,705.1,436.8,414.6,342.6,826.0,808.0,390.0,648.1,406.1,23.7,466.4,755.4,599.6,780.0,481.0,705.0,31.3,107.8,724.3,776.9,941.0,462.5,787.7,882.3,87.1,383.4,398.7,420.5,43.8,102.6,950.7,419.5,625.2,852.0,899.6,421.6,829.9,565.3,669.6,449.4,391.1,931.9,430.6,689.4,570.3,817.2,918.5,722.9,892.5,682.3,64.7,836.7,832.7,1715.1,799.5,98.0,718.8,838.3,763.1,57.2,841.4,109.6,148.4,63.3,860.9,609.5,669.8,423.0,386.6,457.6,666.8,815.7,804.0,421.4,665.1,619.3,541.5,652.9,901.1,677.2,655.3,446.5,711.7,666.6,0.0,880.3,726.9,472.8,932.0,670.4,702.3
XY,542.4,289.3,524.7,425.0,848.8,356.9,534.4,178.6,198.6,694.8,813.1,733.1,514.6,646.7,599.9,493.9,62.3,542.6,731.9,666.0,721.4,43.7,213.1,671.2,485.6,687.3,800.6,565.1,322.8,437.1,138.7,525.8,402.8,832.2,832.1,561.8,182.0,202.2,554.5,223.1,64.7,813.2,690.2,705.5,671.9,844.7,826.4,211.9,511.5,462.7,226.3,19.7,726.0,97.5,361.9,507.1,701.5,642.5,193.1,682.0,531.3,776.4,276.7,179.7,560.4,153.7,519.8,865.6,296.2,212.6,1807.2,173.8,821.8,286.2,218.2,331.4,781.0,172.1,774.8,843.9,787.1,55.1,447.0,507.3,674.4,638.0,517.5,504.3,190.0,243.7,702.6,362.9,456.8,826.3,490.4,110.8,375.0,492.8,538.5,549.2,504.1,835.7,0.0,564.4,481.7,193.2,507.9,539.8
YJ,321.3,489.1,196.7,386.5,645.7,318.4,206.4,507.2,414.9,491.7,610.0,530.0,59.1,443.6,396.8,75.0,522.3,214.6,514.9,462.9,518.3,485.3,467.3,468.1,83.3,484.2,597.5,337.3,414.7,161.4,439.3,322.7,364.3,629.1,628.5,11.9,436.2,600.3,351.4,447.0,541.6,607.8,487.1,502.4,468.8,641.6,623.3,610.0,308.4,187.0,511.3,558.9,525.3,489.2,224.6,101.9,498.4,439.4,591.2,478.9,35.9,573.3,476.5,577.8,232.4,551.8,191.8,683.2,496.0,492.0,1586.1,458.8,618.7,378.1,497.6,422.4,577.9,500.7,571.7,669.1,584.0,520.2,171.3,201.5,471.3,434.9,314.4,176.3,475.0,463.3,499.5,324.4,181.1,605.2,53.9,560.4,336.5,164.8,335.4,93.8,69.6,632.6,539.6,0.0,278.6,591.3,185.1,33.9
YT,269.0,418.8,276.2,316.2,496.5,248.1,285.9,436.9,344.6,342.5,460.8,380.8,266.1,294.4,247.6,245.4,452.0,294.1,365.7,313.7,369.1,415.0,397.0,318.9,237.1,335.0,448.3,188.1,344.4,188.6,369.0,173.5,294.0,479.9,479.3,313.3,365.9,530.0,202.2,376.7,471.3,458.6,337.9,353.2,319.6,492.4,474.1,539.7,159.2,214.2,441.0,488.6,376.1,418.9,154.3,258.6,349.2,290.2,520.9,329.7,278.4,424.1,406.2,507.5,311.9,481.5,271.3,513.3,425.7,421.7,1533.8,388.5,469.5,307.8,427.3,352.1,428.7,430.4,422.5,519.9,434.8,449.9,198.5,258.8,322.1,285.7,165.2,255.8,404.7,393.0,350.3,254.1,208.3,552.9,241.9,490.1,266.2,244.3,186.2,300.7,255.6,483.4,469.3,315.9,0.0,521.0,259.4,291.3
ZI,576.7,300.4,559.0,459.3,883.1,391.2,568.7,212.9,232.9,729.1,847.4,767.4,548.9,681.0,634.2,528.2,182.9,576.9,752.3,700.3,755.7,141.5,247.4,705.5,519.9,721.6,834.9,574.7,357.1,471.4,173.0,560.1,437.1,866.5,865.9,596.1,216.3,8.9,588.8,257.4,197.8,845.2,724.5,739.8,706.2,879.0,860.7,78.5,545.8,497.0,260.6,215.1,762.7,201.1,396.2,541.4,735.8,676.8,59.7,716.3,561.2,810.7,287.8,46.3,594.7,51.7,554.1,920.6,307.3,246.9,1841.5,208.1,856.1,320.5,252.5,364.8,815.3,206.4,809.1,906.5,821.4,176.4,481.3,541.6,708.7,672.3,551.8,538.6,208.7,273.7,736.9,397.2,491.1,860.6,524.7,243.9,409.3,527.1,572.8,583.5,538.4,870.0,195.8,598.7,516.0,0.0,542.2,574.1
ZK,311.5,479.3,91.8,376.7,635.9,308.6,101.5,497.4,405.1,481.9,600.2,520.2,158.7,433.8,387.0,138.0,512.5,123.5,505.1,453.1,508.5,475.5,457.5,458.3,129.7,474.4,587.7,327.5,404.9,74.9,429.5,312.9,354.5,619.3,618.7,205.9,426.4,590.5,341.6,437.2,531.8,598.0,477.3,492.6,459.0,631.8,613.5,600.2,298.6,54.0,501.5,549.1,515.5,479.4,214.8,151.2,488.6,429.6,581.4,469.1,171.0,563.5,466.7,568.0,141.3,542.0,100.7,673.4,486.2,482.2,1576.3,449.0,608.9,368.3,487.8,412.6,568.1,490.9,561.9,659.3,574.2,510.4,69.7,16.4,461.5,425.1,304.6,85.2,465.2,453.5,489.7,314.6,59.9,595.4,134.5,550.6,326.7,73.7,325.6,193.3,148.2,622.8,529.8,208.5,268.8,581.5,0.0,183.9
ZN,316.7,484.5,192.1,381.9,641.1,313.8,201.8,502.6,410.3,487.1,605.4,525.4,25.1,439.0,392.2,109.0,517.7,210.0,510.3,458.3,513.7,480.7,462.7,463.5,112.2,479.6,592.9,332.7,410.1,156.8,434.7,318.1,359.7,624.5,623.9,22.0,431.6,595.7,346.8,442.4,537.0,603.2,482.5,497.8,464.2,637.0,618.7,605.4,303.8,182.4,506.7,554.3,520.7,484.6,220.0,67.9,493.8,434.8,586.6,474.3,69.9,568.7,471.9,573.2,227.8,547.2,187.2,657.9,491.4,487.4,1581.5,454.2,614.1,373.5,493.0,417.8,573.3,496.1,567.1,664.5,579.4,515.6,166.7,196.9,466.7,430.3,309.8,171.7,470.4,458.7,494.9,319.8,176.5,600.6,87.9,555.8,331.9,160.2,330.8,127.8,35.7,628.0,535.0,33.9,274.0,586.7,180.5,0.0
