from_stop,AK,AM,AS,AU,AV,AX,AY,AZ,BF,BJ,BY,CB,DG,DN,DS,DW,EH,EP,ER,FB,FD,FS,FT,GA,GN,GT,HD,HE,HI,HL,HV,HX,IF,IG,II,IN,IZ,JH,JL,JT,KS,KT,LH,LQ,MC,MF,MS,MT,NA,ND,NF,NI,NM,NT,NV,NZ,OJ,OK,OQ,OX,QL,QW,RN,RR,RU,SC,SE,SJ,SK,SO,SW,TG,TW,TY,VC,VE,VF,VN,VP,VS,VZ,WA,WD,WH,WK,WL,WS,WU,XG,XJ,XQ,XR,XS,XW,YF,YO,YP,YQ,YR,YW,ZJ,ZL,ZM,ZQ,ZT,ZY
XS,539.3,306.6,302.7,373.1,358.5,407.4,356.9,427.7,444.1,215.4,241.1,226.7,229.7,405.8,318.3,244.2,346.6,366.1,238.7,289.1,400.4,516.3,379.5,276.9,213.2,338.7,425.8,381.9,2082.8,120.3,441.2,356.9,229.4,611.9,356.8,472.2,575.3,222.6,311.8,566.2,286.4,378.6,322.2,462.0,373.2,399.8,279.5,110.7,529.3,511.9,357.7,349.0,270.3,438.8,417.2,360.7,248.7,103.1,185.0,223.7,314.0,414.4,229.0,330.3,189.8,104.1,413.8,430.0,371.3,254.7,381.5,469.4,247.8,291.3,437.2,398.2,378.3,327.0,250.2,654.3,330.2,692.3,249.3,301.3,304.3,395.5,244.8,392.6,389.1,393.8,330.6,270.1,0.0,396.8,384.7,400.6,286.3,284.5,558.1,408.0,203.6,375.9,268.6,166.4,441.8,289.0
XW,551.1,195.5,314.5,559.3,76.2,239.2,386.7,457.5,455.9,219.6,370.2,256.5,211.1,640.6,181.3,274.0,189.4,214.3,342.2,412.6,247.4,702.5,184.5,288.7,225.0,217.0,455.6,230.1,1867.6,304.7,627.4,229.4,259.2,798.1,386.6,504.4,587.1,456.1,498.0,578.0,565.4,564.8,508.4,473.8,33.1,248.0,291.3,446.4,713.6,698.1,236.0,582.5,212.2,468.6,650.7,50.1,372.2,317.7,250.0,235.5,325.8,600.7,288.0,208.6,245.2,320.9,200.8,441.8,401.1,284.5,168.5,655.6,260.4,194.0,449.0,428.0,226.5,338.8,262.0,840.5,208.5,878.5,482.8,487.5,334.1,110.3,478.3,270.9,400.9,250.2,360.4,281.9,432.3,0.0,266.2,143.2,298.1,470.7,744.3,256.2,539.3,405.7,235.3,399.9,260.8,134.4
YF,553.9,256.6,317.3,479.6,218.6,145.3,389.5,460.3,458.7,185.2,332.6,256.1,213.9,642.1,235.7,276.8,134.3,57.1,304.6,378.2,138.3,622.8,156.4,288.3,227.8,49.2,458.4,99.6,1836.4,267.1,547.7,115.2,258.8,718.4,389.4,504.8,586.7,458.9,418.3,580.8,505.6,485.1,428.7,473.4,233.3,65.5,290.9,338.6,633.9,618.4,96.0,585.3,215.0,468.2,653.5,216.7,334.6,320.5,212.4,235.1,329.4,520.9,244.2,54.3,207.6,283.3,159.7,444.6,400.7,287.3,169.2,579.1,226.0,196.8,448.6,430.8,48.1,338.4,264.8,760.8,88.5,798.8,485.6,407.8,336.9,255.6,481.1,201.0,403.7,116.8,363.2,281.5,435.1,256.9,0.0,185.1,300.9,391.0,664.6,73.7,434.7,408.5,200.9,402.7,104.3,149.1
YO,495.5,144.1,258.9,457.8,91.9,95.9,331.5,401.9,400.3,118.1,268.7,200.9,155.5,585.0,129.9,218.4,46.1,112.8,240.7,311.1,104.1,601.0,41.2,233.1,169.4,115.5,400.0,128.6,1816.2,203.2,525.9,127.9,203.6,696.6,331.0,448.8,531.5,400.5,396.5,522.4,450.4,463.3,406.9,418.2,106.6,146.5,235.7,274.7,612.1,596.6,134.5,526.9,156.6,413.0,595.1,90.0,270.7,262.1,148.5,179.9,270.2,499.2,186.5,107.1,143.7,219.4,57.5,386.2,345.5,228.9,25.2,554.1,158.9,138.4,393.4,372.4,125.0,283.2,206.4,739.0,107.0,777.0,427.2,386.0,278.5,128.9,422.7,169.4,345.3,145.8,304.8,226.3,376.7,130.2,161.5,0.0,242.5,369.2,642.8,141.6,367.6,350.1,134.6,344.3,117.5,32.9
YP,252.9,206.8,16.3,581.1,382.0,279.4,226.5,296.9,157.7,423.4,449.1,95.9,129.9,512.9,218.5,113.4,218.6,334.7,446.7,497.1,272.4,724.3,251.5,8.9,112.8,388.2,295.0,378.3,1945.0,328.3,647.2,391.8,103.8,819.9,226.0,343.8,288.9,328.4,519.8,279.8,437.7,586.6,530.2,175.6,396.7,324.6,6.5,318.7,738.7,719.9,407.2,454.8,170.5,308.0,523.0,384.2,456.7,190.0,393.0,123.3,27.6,622.5,431.6,379.8,397.8,312.1,285.8,143.6,235.8,123.9,253.5,677.4,450.7,130.2,150.8,267.4,314.3,40.6,33.8,862.3,379.7,900.3,355.1,509.3,173.5,419.0,350.6,442.1,102.7,402.5,199.8,60.0,304.6,420.3,332.0,263.6,0.0,492.5,766.1,316.4,411.6,245.1,476.6,272.2,305.2,305.6
YQ,714.5,443.1,477.9,88.5,387.4,520.2,532.5,602.9,619.3,333.1,358.8,401.9,404.9,414.9,425.4,419.4,509.2,395.0,356.4,406.8,513.2,231.7,475.4,452.1,388.4,456.4,601.0,410.8,2111.7,238.0,154.6,424.7,409.8,327.3,532.0,649.8,750.5,335.1,27.2,741.4,228.7,94.0,37.6,637.2,402.1,428.7,454.7,155.1,246.1,227.3,414.8,356.8,445.5,614.0,425.0,389.6,366.4,278.3,302.7,398.9,489.2,129.9,341.3,448.0,307.5,221.8,528.8,605.2,541.8,429.9,510.5,184.8,360.4,438.1,612.4,573.4,407.2,502.2,425.4,369.7,436.8,407.7,310.1,16.7,479.5,424.4,335.3,369.2,564.3,435.0,505.8,445.3,301.8,425.7,413.5,500.6,461.5,0.0,273.5,436.9,61.9,551.1,365.9,341.6,448.1,317.9
YR,981.5,706.6,744.9,178.6,654.4,787.2,799.1,869.9,886.3,600.1,625.8,668.9,671.9,680.6,692.4,686.4,776.2,662.0,623.4,673.8,780.2,39.1,742.4,719.1,655.4,723.4,868.0,677.8,2378.7,505.0,114.9,677.1,671.6,53.7,799.0,914.4,1017.5,602.1,236.8,1008.4,495.7,174.0,225.4,904.2,669.1,695.7,721.7,422.1,26.6,43.0,681.8,623.8,712.5,881.0,692.0,656.6,633.4,545.3,569.7,665.9,756.2,141.6,608.3,715.0,574.5,488.8,795.8,872.2,813.5,696.9,777.5,86.7,632.5,705.1,879.4,840.4,674.2,769.2,692.4,96.1,703.8,134.1,577.1,248.4,746.5,691.4,602.3,636.2,831.3,697.9,772.8,712.3,568.8,692.7,680.5,776.6,728.5,266.9,0.0,703.9,328.9,818.1,632.9,608.6,737.7,584.9
YW,554.5,257.2,317.9,542.7,210.1,95.4,390.1,460.9,459.3,203.0,353.6,259.9,214.5,642.7,239.5,277.4,134.9,51.8,325.6,396.0,88.4,685.9,117.9,292.1,228.4,132.4,459.0,91.1,1837.0,288.1,610.8,120.8,262.6,781.5,390.0,505.4,590.5,459.5,481.4,581.4,568.8,548.2,491.8,477.2,224.8,8.1,294.7,359.6,697.0,681.5,181.1,585.9,215.6,472.0,654.1,208.2,355.6,321.1,233.4,238.9,329.2,584.1,265.2,140.8,228.6,304.3,91.8,445.2,404.5,287.9,125.0,639.0,243.8,197.4,452.4,431.4,39.6,342.2,265.4,823.9,147.5,861.9,486.2,470.9,337.5,247.1,481.7,254.3,404.3,113.3,363.8,285.3,435.7,248.4,83.2,152.1,301.5,454.1,727.7,0.0,452.5,409.1,218.7,403.3,33.7,185.1
ZJ,652.5,419.8,415.9,169.4,414.2,559.2,470.1,540.9,557.3,271.1,296.8,339.9,342.9,352.9,431.5,357.4,459.8,421.8,294.4,344.8,552.2,312.6,502.2,390.1,326.4,394.4,539.0,437.6,2138.5,176.0,237.5,412.6,342.6,408.2,470.0,585.4,688.5,273.1,108.1,679.4,166.7,174.9,118.5,575.2,428.9,455.5,392.7,93.1,323.7,308.2,413.4,294.8,383.5,552.0,363.0,412.3,304.4,216.3,240.7,336.9,428.0,210.7,284.7,386.0,245.5,159.8,555.6,543.2,484.5,367.9,537.3,265.7,303.5,404.5,550.4,511.4,434.0,440.2,363.4,450.6,385.9,488.6,248.1,97.6,417.5,451.2,273.3,448.2,502.3,449.5,443.8,383.3,239.8,452.5,443.6,536.4,399.5,80.8,354.4,463.7,0.0,489.1,324.9,279.6,497.5,344.7
ZL,499.9,267.8,263.3,642.1,443.0,337.0,18.6,195.6,404.7,484.4,510.1,137.2,190.9,572.6,279.5,119.7,276.2,392.3,507.7,558.1,330.0,785.3,309.1,237.5,173.8,445.8,49.8,435.9,2006.0,389.3,710.2,458.2,134.5,880.9,124.7,96.2,535.9,389.4,580.8,526.8,498.7,647.6,591.2,422.6,457.7,382.2,240.1,379.7,796.4,780.9,464.8,515.8,231.5,62.8,584.0,441.1,517.7,251.0,454.0,184.3,274.6,683.5,498.0,437.4,458.8,373.1,343.4,390.6,139.2,109.5,311.1,738.4,516.8,187.8,397.8,22.2,371.9,287.6,210.8,923.3,437.3,961.3,416.1,570.3,60.5,480.0,411.6,499.7,349.7,456.0,35.2,230.7,365.6,481.3,386.4,330.2,246.9,553.5,827.1,374.0,472.6,0.0,537.6,333.2,349.9,363.2
ZM,553.5,197.9,316.9,479.8,145.7,290.7,390.2,459.9,458.3,60.1,163.7,258.9,213.5,577.3,184.4,276.4,272.4,153.3,106.8,176.4,283.7,622.3,233.7,291.8,227.4,125.9,458.7,169.1,1870.7,145.2,547.2,144.1,261.6,717.9,389.0,504.4,589.5,406.8,417.8,580.4,392.4,484.6,428.9,476.9,160.4,187.0,293.7,216.7,636.7,617.9,144.9,520.5,214.6,471.7,588.7,144.5,136.8,286.6,90.5,237.9,328.2,520.5,51.8,117.5,85.7,161.4,287.8,444.9,403.5,286.9,269.5,576.1,24.3,196.4,451.4,430.4,165.5,341.9,264.4,760.3,117.4,798.3,432.8,407.3,336.5,182.7,428.3,179.8,403.3,186.7,362.8,284.3,310.8,184.0,175.8,267.9,300.5,390.5,664.1,195.2,309.6,408.1,0.0,349.9,229.7,76.2
ZQ,508.3,275.6,271.7,464.3,449.7,376.4,326.3,396.7,413.1,306.6,332.3,195.7,198.7,240.6,287.3,213.2,315.6,457.3,329.9,380.3,369.4,607.5,348.5,245.9,182.2,429.9,394.8,473.1,2013.8,211.5,530.4,433.5,203.6,703.1,325.8,443.6,544.3,56.1,403.0,535.2,165.4,469.8,413.4,431.0,464.4,421.6,248.5,201.9,621.9,603.1,448.9,182.5,239.3,407.8,250.7,451.9,339.9,72.1,276.2,192.7,283.0,505.7,314.8,421.5,281.0,195.3,382.8,399.0,335.6,223.7,350.5,560.6,333.9,260.3,406.2,367.2,469.5,296.0,219.2,745.5,421.4,783.5,82.8,392.5,273.3,486.7,78.3,483.8,358.1,483.0,299.6,239.1,187.8,488.0,475.9,360.6,255.3,375.7,649.3,413.4,294.8,344.9,360.4,0.0,402.2,380.2
ZT,527.6,235.3,291.0,566.8,211.3,61.6,363.2,434.0,432.4,227.1,377.7,233.0,187.6,617.1,221.1,250.5,108.0,75.9,349.7,420.1,54.6,710.0,116.2,265.2,201.5,156.5,432.1,115.2,1861.1,312.2,634.9,144.9,235.7,805.6,363.1,480.9,563.6,432.6,505.5,554.5,541.9,572.3,515.9,450.3,226.0,32.2,267.8,422.9,721.1,705.6,205.2,559.0,188.7,445.1,627.2,209.4,379.7,294.2,257.5,212.0,302.3,608.2,289.3,164.9,252.7,328.4,58.0,418.3,377.6,261.0,91.2,663.1,267.9,170.5,425.5,404.5,63.7,315.3,238.5,848.0,171.6,886.0,459.3,495.0,310.6,248.3,454.8,278.4,377.4,132.4,336.9,258.4,408.8,249.6,110.5,119.3,274.6,478.2,751.8,24.0,515.8,382.2,242.8,376.4,0.0,152.3
ZY,477.2,125.1,240.6,424.8,69.4,217.2,313.2,383.6,382.0,85.1,235.7,182.6,137.2,566.7,107.4,200.1,198.2,79.8,207.7,278.1,210.2,568.0,160.2,214.8,151.1,82.5,381.7,95.6,1793.7,170.2,490.9,86.1,190.5,663.6,312.7,430.5,513.2,382.2,363.5,504.1,417.4,430.3,373.9,399.9,84.1,113.5,217.4,241.7,582.4,563.6,101.5,508.6,138.3,394.7,576.8,71.6,237.7,243.8,115.5,161.6,251.9,466.2,153.5,74.1,110.7,186.4,213.6,367.9,322.5,210.6,195.3,521.1,131.7,120.1,375.1,354.1,92.0,264.9,188.1,706.0,74.0,744.0,408.9,353.0,260.2,106.4,404.4,136.4,327.0,119.8,286.5,208.0,358.4,107.7,128.5,185.4,224.2,336.2,609.8,121.7,334.6,331.8,100.8,326.0,132.9,0.0
