from_stop,AA,AE,AK,AL,AN,AU,BB,BJ,BU,CU,DN,DX,EB,ER,EY,FA,FL,FM,FS,FV,GA,GK,GL,GM,GZ,HE,HO,IB,IF,II,IJ,IS,IW,IY,JT,KF,KJ,KY,LD,LP,MH,NA,NF,NH,NL,NQ,NR,OL,OQ,OS,OV,OZ,PJ,PM,PO,PZ,QC,QM,QN,QZ,RD,RG,RH,RJ,RS,RU,SE,SQ,SS,ST,SW,SX,SY,SZ,TG,TH,TY,UC,UD,UI,UP,UR,VA,VC,VJ,VL,VO,VR,VY,WA,WB,WH,WK,XA,XE,XF,XJ,XR,XS,XW,XX,XY,YE,YP,ZP,ZU
WK,180.5,270.2,207.7,53.8,48.8,204.1,237.3,2018.4,253.6,161.7,214.3,219.5,231.0,175.7,202.3,139.8,206.1,215.5,139.7,77.8,183.2,125.0,193.1,47.8,187.9,104.0,268.5,210.8,201.1,204.6,269.2,244.9,269.3,215.8,125.1,171.6,110.0,106.0,162.8,193.9,268.7,71.0,196.7,223.2,159.0,246.4,249.4,178.3,231.0,219.2,40.5,250.9,280.4,164.6,301.4,237.4,218.9,182.0,204.9,221.8,12.4,98.8,251.3,210.5,194.2,184.6,289.4,175.0,220.8,212.7,156.0,150.3,232.4,73.6,244.8,285.1,270.4,189.0,173.9,146.4,303.8,109.2,226.4,171.4,150.9,228.0,253.5,91.4,197.3,109.5,205.3,152.9,0.0,209.2,256.0,90.4,209.3,81.8,210.7,241.1,194.8,281.0,213.3,134.9,132.8,106.7
XA,256.7,95.6,60.9,181.6,193.5,319.8,364.6,2009.7,94.6,47.4,55.9,10.3,100.0,263.6,263.9,202.2,232.5,251.6,105.5,158.2,296.9,97.9,77.4,179.8,241.7,142.6,110.6,89.5,70.4,248.2,330.0,293.3,60.0,54.4,149.5,97.4,148.6,116.9,239.0,309.6,378.0,159.0,223.1,297.4,195.8,37.1,77.1,294.0,318.7,346.5,185.5,73.9,121.4,226.2,142.4,154.4,111.7,269.9,341.4,109.2,208.2,126.9,360.6,103.3,342.1,84.4,114.8,251.2,298.6,288.9,243.9,187.1,125.2,158.6,72.5,75.8,142.0,215.4,235.5,234.3,94.5,167.9,165.4,287.1,94.3,343.7,44.2,139.8,11.9,188.7,259.1,214.5,195.7,0.0,82.3,148.7,325.0,124.1,338.0,350.4,211.0,71.7,108.1,214.1,76.3,158.0
XE,229.8,14.1,31.3,247.2,259.1,295.6,337.7,2018.6,44.5,131.0,41.6,73.4,103.7,265.5,237.0,201.4,205.6,224.7,117.9,223.2,270.0,163.5,63.2,247.3,214.8,195.3,114.3,119.9,91.5,221.3,287.7,266.4,51.1,40.1,170.6,125.2,201.3,177.3,212.1,285.4,351.1,226.5,196.2,270.5,185.2,65.1,6.5,269.8,291.8,319.6,250.5,77.6,58.4,199.3,79.4,184.8,84.8,243.2,314.5,112.9,256.7,192.5,333.7,76.4,315.2,112.2,33.3,224.3,271.7,262.0,285.2,193.9,98.3,224.2,11.1,66.9,145.7,188.5,208.6,256.5,85.6,210.8,195.8,262.9,106.7,319.5,58.0,207.3,95.6,217.5,232.2,187.6,244.2,83.7,0.0,210.5,300.8,166.9,311.1,323.5,184.1,62.8,123.0,244.0,138.9,192.9
XF,275.0,223.0,199.3,132.4,145.8,301.1,334.3,1971.2,206.4,114.5,167.1,158.7,183.8,272.7,296.8,234.3,280.1,288.8,92.5,126.4,280.2,77.8,145.9,100.3,282.4,56.8,219.2,161.5,144.5,298.6,366.2,339.4,208.5,168.6,173.7,124.4,62.8,58.8,257.3,290.9,365.7,99.1,270.7,315.7,233.0,185.6,202.2,275.3,328.0,316.2,107.6,203.7,233.2,259.1,254.2,190.2,210.5,279.0,301.9,174.6,109.4,142.2,348.3,202.1,291.2,137.4,242.2,269.5,317.8,307.2,253.0,224.3,224.0,170.6,197.6,224.3,221.1,263.0,268.4,243.4,243.0,183.2,179.2,268.4,103.7,325.0,192.7,119.5,136.5,204.0,299.8,247.4,96.9,148.4,208.8,0.0,306.3,78.8,307.7,338.1,243.4,220.2,166.1,229.4,106.6,155.3
XJ,79.4,300.7,270.8,219.8,205.6,15.2,77.9,2190.6,317.9,328.7,333.9,308.8,380.4,71.8,105.6,141.5,130.9,118.8,368.8,220.7,75.8,325.6,340.7,256.8,125.3,336.9,405.1,352.8,293.4,104.0,80.3,118.5,285.5,332.4,202.0,360.7,342.9,338.9,97.1,25.3,151.1,248.9,141.1,48.7,157.9,281.9,298.8,40.9,27.4,96.0,248.0,368.4,312.5,122.8,288.2,417.7,262.0,66.4,40.6,379.9,220.3,214.9,133.7,269.5,120.5,347.7,278.7,84.9,26.7,57.2,91.5,166.6,250.0,184.9,303.4,271.3,412.4,149.3,113.5,102.0,254.5,207.7,428.7,47.8,357.6,39.1,274.8,229.7,327.8,170.8,142.7,134.5,232.8,319.1,292.2,323.3,0.0,260.3,104.5,120.3,153.4,275.0,371.4,122.9,357.6,218.2
XR,189.4,160.5,125.8,98.7,112.1,267.4,300.6,1968.8,165.1,102.2,126.4,102.8,162.6,193.3,211.2,148.7,194.5,255.1,142.3,92.7,246.5,99.1,114.2,66.6,196.8,87.3,181.1,126.3,82.3,213.5,293.5,253.8,142.9,124.9,140.0,134.2,93.3,118.1,171.7,257.2,332.0,65.4,185.1,230.1,147.4,125.6,147.6,241.6,248.6,282.5,73.9,144.4,186.8,173.5,207.8,191.2,137.0,199.6,268.2,153.4,75.7,56.6,314.6,128.6,257.5,121.2,179.7,183.9,238.4,221.6,173.6,138.7,150.5,88.3,143.0,158.7,185.9,177.4,182.8,164.0,177.4,97.6,202.2,234.7,131.1,291.3,129.8,85.8,101.3,118.4,214.2,161.8,63.2,113.1,147.2,108.8,272.6,0.0,274.0,304.4,209.7,154.6,144.9,143.8,131.1,121.6
XS,146.9,316.5,281.1,235.8,210.7,109.3,23.7,2181.7,328.9,344.7,344.2,319.8,391.4,100.8,202.5,152.5,209.3,215.4,363.7,237.4,55.2,342.3,357.5,268.8,136.3,328.0,416.1,369.5,310.9,162.8,140.7,179.5,298.2,343.4,213.1,377.4,334.0,329.3,129.2,99.4,70.5,264.9,199.9,144.4,168.9,292.9,309.8,94.3,124.0,5.8,261.4,381.3,346.2,170.4,348.5,434.4,299.9,126.5,86.7,396.6,211.4,230.9,53.2,284.6,16.6,364.4,337.2,141.4,123.2,153.8,119.8,176.9,306.5,200.9,314.5,314.7,429.1,192.2,179.0,119.8,322.6,218.7,445.4,87.5,374.3,113.7,291.6,246.4,342.0,181.9,153.0,158.8,223.9,330.1,303.2,314.4,96.5,277.0,0.0,42.9,219.1,310.6,388.1,140.4,353.4,229.2
XW,158.9,328.5,293.8,248.5,234.3,124.4,71.8,2211.7,340.9,357.4,356.9,331.8,403.4,112.8,217.3,164.5,221.3,230.5,393.7,249.4,67.1,354.3,369.4,285.5,148.3,358.0,428.1,381.5,316.4,174.8,149.1,188.0,310.9,355.4,225.0,389.4,364.0,360.0,141.2,114.5,30.7,277.6,211.9,160.4,180.9,304.9,321.8,106.3,139.1,71.0,276.7,391.4,354.8,182.4,357.0,446.4,305.0,138.5,114.5,408.6,241.4,243.6,13.3,296.6,46.6,376.4,347.5,153.4,138.4,168.9,132.5,189.6,318.5,213.6,326.4,326.7,441.1,204.2,191.7,131.8,323.3,230.7,457.4,99.4,386.3,131.8,297.8,258.4,354.0,193.8,165.7,170.7,253.9,342.1,315.2,344.4,111.6,289.0,62.5,0.0,231.0,322.6,400.1,153.1,386.3,241.2
XX,117.4,192.1,154.5,166.3,155.9,179.5,222.5,2177.4,201.6,250.3,217.6,192.5,264.1,153.1,58.9,89.0,75.1,45.3,293.9,114.2,157.6,237.1,239.2,150.3,102.4,267.8,283.6,264.3,183.6,108.9,164.7,111.6,171.6,216.1,67.7,282.6,273.8,269.8,99.7,173.0,238.7,164.9,83.8,115.4,72.8,165.6,182.5,164.8,136.7,202.9,141.5,254.0,215.5,86.9,211.0,329.2,173.3,130.8,202.1,273.3,181.5,126.4,221.3,157.3,202.8,269.6,199.8,111.9,159.3,106.9,172.8,81.5,172.8,132.6,187.1,187.4,315.0,76.1,96.2,144.1,177.3,119.8,340.2,150.5,280.8,203.4,165.4,145.7,214.7,118.3,119.8,75.3,192.1,202.8,175.9,254.2,164.2,179.4,198.7,211.1,0.0,183.3,283.4,131.6,258.2,83.9
XY,215.2,74.1,39.4,251.4,263.3,281.0,323.1,2060.0,86.5,117.2,101.0,59.4,145.1,250.9,222.4,186.8,191.0,210.1,175.3,227.2,255.4,167.7,122.6,247.1,200.2,212.4,155.7,159.3,95.5,206.7,258.2,251.8,10.5,99.5,174.6,166.6,218.4,186.7,197.5,270.8,336.5,226.3,181.6,255.9,170.6,32.5,67.4,255.2,277.2,305.0,254.4,119.0,100.4,184.7,105.9,224.2,70.2,228.6,299.9,154.3,229.6,196.7,319.1,61.8,300.6,153.6,93.3,209.7,257.1,247.4,270.6,179.3,83.7,228.4,72.0,4.0,187.1,173.9,194.0,241.9,11.9,214.8,235.2,248.3,164.1,304.9,25.4,207.1,81.6,216.1,217.6,173.0,217.1,69.7,60.8,218.5,286.2,153.8,296.5,308.9,169.5,0.0,164.4,229.4,146.1,196.9
YE,291.9,131.5,138.9,213.8,225.7,352.0,412.1,1934.9,91.1,97.6,75.6,98.9,17.6,295.8,313.7,251.2,297.0,316.1,102.5,190.4,344.4,130.1,54.4,203.7,299.3,151.4,72.4,9.0,120.3,316.0,392.7,356.3,148.7,77.1,208.6,58.2,157.4,133.4,274.2,341.8,425.5,202.5,287.6,332.6,249.9,125.8,110.7,326.2,351.1,394.0,211.0,53.7,121.2,276.0,138.9,79.6,188.4,302.1,388.9,8.4,212.8,159.1,408.1,180.0,389.6,45.2,150.7,286.4,340.9,324.1,276.1,241.2,201.9,190.8,106.1,164.5,74.3,279.9,285.3,266.5,183.2,200.1,90.6,319.3,91.3,375.9,132.9,172.0,76.7,220.9,316.7,264.3,200.3,88.6,117.3,166.6,357.2,182.2,385.5,397.9,278.3,160.4,0.0,246.3,105.5,190.2
YP,45.5,232.8,198.4,102.0,76.2,129.3,168.6,2126.8,248.0,210.9,244.1,232.2,271.3,99.2,105.8,69.1,125.9,119.0,251.0,102.9,103.7,207.8,222.9,139.0,52.9,249.1,291.3,235.0,211.5,79.4,156.0,102.3,215.5,245.6,129.6,242.9,255.1,226.8,27.8,120.0,184.8,131.1,116.5,88.3,85.5,209.5,226.4,110.9,107.5,153.3,130.2,281.4,259.4,86.9,280.4,299.9,217.2,76.9,148.2,262.1,134.2,97.1,167.4,201.2,148.9,229.9,252.3,40.0,105.4,77.7,85.6,94.2,223.1,67.1,231.0,231.3,294.6,108.8,96.3,76.0,250.0,102.7,310.9,96.6,237.9,153.2,209.3,112.1,210.0,93.4,70.3,75.4,146.7,221.9,219.8,217.5,134.5,142.5,144.8,157.2,135.6,227.2,253.6,0.0,239.8,120.6
ZP,297.6,150.7,137.3,175.8,200.8,323.5,353.9,1971.0,147.2,7.8,116.5,65.6,143.7,295.1,321.8,256.9,302.7,300.8,71.3,169.8,323.6,71.4,74.3,143.7,305.0,70.4,163.7,107.4,98.5,321.0,385.2,362.0,136.4,97.0,193.3,96.8,97.4,73.4,258.9,326.5,388.1,142.5,293.3,338.3,234.6,113.5,130.6,318.3,350.4,355.3,130.0,132.8,195.0,260.7,195.0,169.0,195.7,301.4,324.3,134.5,131.8,164.8,391.7,179.7,334.6,102.3,192.7,292.1,325.6,329.8,260.8,225.9,201.6,193.0,147.0,131.2,167.0,264.6,270.0,265.8,149.9,205.8,162.3,290.8,82.5,360.6,113.7,162.9,64.4,226.6,322.4,249.1,140.3,76.3,137.2,106.6,328.7,101.2,330.1,360.5,265.8,148.1,105.0,231.0,0.0,175.6
ZU,149.7,209.6,168.8,80.5,70.1,209.8,256.8,2098.2,192.8,154.4,165.6,142.0,209.7,153.6,144.2,89.0,127.5,133.4,194.5,30.2,194.0,153.1,168.2,64.5,136.7,183.8,222.1,180.3,128.0,143.2,253.0,188.3,185.9,164.1,18.3,190.7,189.8,184.0,132.0,200.5,273.0,74.6,118.1,192.5,82.6,164.8,186.8,191.4,208.9,237.2,57.5,199.6,233.1,113.7,244.4,245.2,187.6,159.9,236.4,218.9,97.5,40.6,257.7,171.6,96.1,175.2,224.2,144.2,193.6,181.9,132.1,73.9,193.5,48.6,182.2,201.7,251.7,110.4,125.2,124.3,220.4,57.9,256.2,177.1,183.2,233.7,162.0,57.4,164.2,76.9,154.1,102.2,108.1,152.3,190.2,170.2,215.0,87.8,233.8,245.4,88.0,197.6,198.9,104.1,162.3,0.0
