from_stop,AA,AL,AM,AS,AU,BA,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,DU,DZ,EL,EZ,FN,FS,FT,GI,GJ,GN,GP,GR,GU,GX,HD,HE,HP,HX,ID,IF,IM,IU,IX,JA,JE,JJ,JN,JS,JZ,KE,LG,LV,MM,ND,NM,NU,NW,NZ,OL,OP,OS,OT,OV,OX,OY,PK,PO,PX,QN,QQ,QR,QW,RA,RC,RF,RI,RT,RW,RZ,SE,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WU,XB,XH,XV,YC,YG,YU,ZB,ZJ,ZR,ZV
VI,287.8,149.1,315.2,216.8,322.7,223.7,253.6,261.0,305.0,407.7,2040.2,378.3,243.7,246.3,268.3,200.1,220.7,260.0,396.1,314.8,351.8,153.0,221.6,547.1,583.4,152.2,396.1,386.4,305.8,386.7,465.0,410.4,583.4,261.6,219.2,323.2,365.0,304.7,202.0,232.5,283.3,178.6,244.1,256.2,301.8,248.6,262.8,160.5,395.5,305.2,226.6,258.7,370.4,271.1,440.1,532.6,405.8,250.9,273.2,411.6,206.0,218.7,429.6,184.6,291.1,418.2,303.9,408.5,127.8,267.3,336.0,179.9,250.8,286.8,305.9,424.7,366.9,276.6,333.6,237.4,249.8,399.5,392.1,319.2,183.9,258.1,208.3,391.4,305.7,191.8,302.4,0.0,503.8,217.1,166.3,235.0,255.7,247.6,253.2,195.6,198.2,253.0,557.4,252.5,279.7,373.1,370.6,130.1,269.1
VL,610.1,549.1,674.0,326.9,674.3,333.8,612.4,619.8,648.6,290.5,1967.7,232.5,557.1,613.5,590.6,558.9,373.0,298.0,165.9,696.8,710.6,511.8,580.4,73.2,75.7,436.2,165.9,215.3,596.1,253.6,334.4,180.2,75.7,413.9,570.8,179.7,723.8,656.3,560.8,591.3,641.8,537.4,602.9,578.5,263.9,552.7,378.8,512.1,245.1,294.3,331.4,617.5,220.0,286.9,123.4,43.8,288.6,403.8,425.5,168.3,564.8,272.6,332.0,543.4,443.4,292.9,662.7,258.1,554.0,618.9,694.8,424.9,609.6,360.5,652.9,253.6,725.7,635.4,485.9,596.2,237.8,282.3,263.2,676.1,446.9,370.1,561.3,161.2,410.0,437.8,322.3,575.0,0.0,333.1,525.1,593.8,231.8,606.4,496.3,554.4,549.8,484.0,49.7,457.0,434.7,724.7,299.5,479.1,612.7
VM,407.9,342.0,508.1,124.7,515.6,131.6,446.5,453.9,446.4,294.1,2092.1,230.0,354.9,439.2,388.4,393.0,263.4,302.7,247.8,507.7,544.7,345.9,414.5,391.2,435.1,326.9,247.8,238.1,393.9,238.4,316.7,262.1,435.1,304.3,412.1,174.9,557.9,497.6,394.9,405.6,475.9,371.5,437.0,376.3,153.5,350.5,45.6,353.4,247.2,156.9,269.3,418.2,225.5,308.5,291.8,384.3,317.1,294.2,315.9,263.3,398.9,177.8,253.8,377.5,333.8,344.0,496.8,260.2,320.7,460.2,528.9,315.3,443.7,111.0,458.6,276.4,559.8,469.5,376.3,430.3,101.5,325.3,243.8,473.9,337.3,114.2,401.2,243.1,356.4,322.6,343.9,370.9,355.5,0.0,359.2,427.9,107.4,440.5,393.1,388.5,391.1,234.5,409.1,379.1,356.8,566.0,222.3,369.5,410.5
VN,303.3,62.3,228.9,262.6,205.5,269.5,167.3,186.6,293.2,453.5,1873.8,424.1,231.9,79.9,256.5,188.3,212.3,229.8,441.9,228.5,265.5,141.2,209.8,585.3,565.7,105.0,441.9,432.2,294.0,379.9,460.7,456.2,565.7,178.7,102.0,369.0,278.7,187.5,190.2,220.7,196.7,12.3,172.9,276.9,347.6,236.8,308.6,43.3,441.3,351.0,196.4,275.6,419.6,240.9,485.9,518.7,451.6,243.1,197.9,457.4,138.8,371.9,475.4,110.2,208.2,464.0,217.6,454.3,67.2,150.1,249.7,101.2,239.0,332.6,266.4,470.5,280.6,190.3,250.7,201.9,295.6,445.3,389.5,281.7,130.9,303.9,133.9,437.2,257.1,138.8,272.2,204.4,489.9,262.9,0.0,160.6,301.5,191.0,108.7,121.2,81.0,298.8,539.7,115.3,147.7,255.9,416.4,84.3,257.3
VO,104.8,133.0,100.1,365.2,112.6,372.1,41.6,36.3,224.1,574.7,2034.5,531.3,97.5,180.6,101.7,161.8,337.0,357.6,544.5,126.0,139.8,132.7,112.1,695.5,728.7,209.0,544.5,534.8,159.6,532.0,613.4,558.8,728.7,306.5,137.9,468.5,153.0,94.6,159.6,171.3,71.3,172.9,112.4,75.3,450.2,102.4,408.1,154.8,543.9,453.6,324.2,74.0,518.8,368.7,588.5,708.7,597.7,370.3,315.5,560.0,78.3,367.1,534.4,146.2,336.0,616.5,91.9,553.8,150.1,130.4,124.8,233.6,133.8,435.2,62.9,573.1,154.9,64.6,378.5,138.7,398.2,605.9,517.3,104.1,237.6,403.7,32.3,539.8,362.5,245.5,400.0,180.0,676.8,365.5,160.6,0.0,404.1,130.5,247.5,38.9,120.0,428.7,705.8,243.7,279.2,163.0,515.9,186.9,185.1
VW,378.2,312.3,478.4,95.0,485.9,101.9,416.8,424.2,416.7,151.9,1984.6,122.5,325.2,409.5,358.7,363.3,233.7,212.1,140.3,478.0,515.0,316.2,384.8,283.7,327.6,297.2,140.3,130.6,364.2,130.9,209.2,154.6,327.6,274.6,382.4,67.4,528.2,467.9,365.2,375.9,446.2,341.8,407.3,346.6,46.0,320.8,146.9,323.7,139.7,85.8,245.5,388.5,118.0,201.0,184.3,276.8,150.0,264.5,286.2,155.8,369.2,106.7,193.4,347.8,304.1,162.4,467.1,152.7,291.0,430.5,499.2,285.6,414.0,128.6,428.9,168.9,530.1,439.8,346.6,400.6,5.9,143.7,136.3,444.2,307.6,138.2,371.5,135.6,339.0,292.9,236.4,341.2,248.0,101.2,329.5,398.2,0.0,410.8,363.4,358.8,361.4,252.1,301.6,349.4,327.1,536.3,114.8,339.8,380.8
WJ,181.8,178.1,130.3,313.0,139.7,319.9,68.7,106.0,215.8,503.9,2058.8,474.5,172.5,213.6,181.8,110.9,301.9,319.4,492.3,129.9,166.9,81.8,150.4,635.7,679.6,169.4,492.3,482.6,234.6,482.9,561.2,506.6,679.6,268.3,170.9,419.4,180.1,121.7,130.8,143.3,98.1,197.2,43.5,155.4,398.0,177.4,359.0,179.1,491.7,401.4,286.0,154.1,470.0,330.5,536.3,628.8,502.0,332.7,280.4,507.8,128.1,422.3,614.5,174.6,297.8,514.4,119.0,504.7,146.4,157.5,151.1,198.5,179.6,383.0,149.6,520.9,182.0,91.7,340.3,10.8,346.0,495.7,479.1,134.3,202.5,354.3,71.9,487.6,328.7,210.4,361.8,127.0,600.0,313.3,184.9,80.0,351.9,0.0,264.5,84.0,149.9,508.8,653.6,271.1,298.3,190.1,466.8,148.7,179.9
WU,370.6,170.5,329.8,321.3,295.7,314.4,275.5,294.8,401.4,563.8,1983.4,505.7,340.1,234.9,364.7,296.5,225.0,242.5,475.5,359.9,373.7,249.4,310.7,581.3,590.6,152.9,475.5,540.4,402.2,392.6,473.4,489.8,590.6,191.4,192.2,469.9,386.9,277.7,298.4,328.9,305.2,169.6,281.1,344.2,455.8,345.0,356.7,133.5,518.3,459.2,209.1,342.9,493.2,253.6,500.6,543.6,559.8,255.2,210.6,472.1,247.0,372.7,523.5,218.4,220.9,556.8,325.8,531.3,175.4,240.3,358.7,113.9,347.2,380.7,331.8,578.7,388.8,298.5,256.1,326.5,403.8,553.5,402.2,333.8,136.3,349.2,236.3,470.8,265.4,144.2,284.9,312.6,514.8,311.0,157.3,265.7,409.7,299.2,0.0,229.4,171.2,394.0,564.6,53.9,38.9,346.1,524.6,195.8,365.5
XB,141.1,94.0,107.6,326.2,117.0,333.1,46.0,65.3,227.7,517.1,1995.5,487.7,136.9,144.7,141.1,122.8,301.1,318.6,505.5,107.2,144.2,93.7,148.4,648.9,692.8,168.6,505.5,495.8,199.0,496.1,574.4,519.8,692.8,267.5,102.0,432.6,157.4,99.0,142.7,155.2,75.4,133.9,73.4,114.7,411.2,141.8,372.2,115.8,504.9,414.6,285.2,113.4,483.2,329.7,549.5,669.7,515.2,331.9,279.6,521.0,39.3,435.5,573.8,107.2,297.0,527.6,96.3,517.9,111.1,134.8,128.4,197.7,173.2,396.2,110.2,534.1,159.3,69.0,339.5,102.4,359.2,508.9,478.3,111.6,201.7,367.5,12.7,500.8,327.9,209.6,361.0,138.9,640.9,326.5,121.6,39.3,365.1,91.5,201.2,0.0,81.0,468.1,666.8,207.8,240.2,167.4,480.0,147.9,191.8
XH,293.8,167.0,249.5,399.2,124.4,406.1,187.9,207.2,347.8,590.1,1954.6,560.7,289.6,63.6,293.8,242.9,374.1,391.6,578.5,249.1,286.1,213.8,282.4,721.9,765.8,241.6,578.5,568.8,351.7,569.1,647.4,592.8,765.8,340.5,20.9,505.6,299.3,106.4,262.8,275.3,217.3,206.9,193.5,267.4,484.2,294.5,445.2,188.8,577.9,487.6,358.2,266.1,556.2,402.7,622.5,742.7,588.2,404.9,352.6,594.0,159.4,508.5,612.0,180.2,370.0,600.6,238.2,590.9,184.1,69.0,270.3,270.7,325.9,469.2,256.9,607.1,301.2,210.9,412.5,222.5,432.2,581.9,551.3,272.2,274.7,440.5,154.5,573.8,400.9,282.6,434.0,259.0,713.9,399.5,194.6,181.2,438.1,211.6,274.2,141.8,0.0,435.4,739.8,280.8,313.2,174.8,553.0,220.9,311.9
XV,243.4,159.5,325.6,175.6,333.1,182.5,264.0,271.4,315.4,366.5,2050.6,337.1,190.4,256.7,223.9,210.5,179.5,218.8,354.9,325.2,362.2,163.4,232.0,498.3,542.2,161.2,354.9,345.2,229.4,345.5,423.8,369.2,542.2,220.4,229.6,282.0,375.4,315.1,212.4,242.9,293.4,189.0,254.5,211.8,260.6,186.0,221.6,170.9,354.3,264.0,185.4,269.1,332.6,229.9,398.9,491.4,364.6,210.3,232.0,370.4,216.4,284.9,388.4,195.0,249.9,377.0,314.3,367.3,138.2,277.7,346.4,190.3,261.2,245.6,316.3,383.5,377.3,287.0,292.4,247.8,208.6,358.3,350.9,329.6,194.3,216.9,218.7,350.2,272.5,202.2,261.2,226.6,462.6,175.9,176.7,245.4,214.5,258.0,256.3,206.0,208.6,0.0,516.2,262.9,272.9,383.5,329.4,140.5,279.5
YC,671.2,610.2,735.1,388.0,735.4,394.9,673.5,680.9,709.7,285.9,2001.4,289.0,618.2,674.6,651.7,620.0,434.1,359.1,227.0,757.9,771.7,572.9,641.5,105.2,25.9,497.6,227.0,207.0,657.2,314.7,395.5,241.3,25.9,475.0,631.9,240.8,784.9,717.4,621.9,652.4,702.9,598.5,664.0,639.6,325.0,613.8,439.9,573.2,306.2,355.4,392.5,678.6,281.1,348.0,184.5,104.9,308.9,464.9,486.6,229.4,625.9,376.3,296.4,604.5,504.5,332.8,723.8,319.2,615.1,680.0,755.9,486.0,670.7,396.2,721.9,245.3,786.8,696.5,547.0,657.3,298.9,314.1,324.3,737.2,508.0,402.2,628.2,222.3,475.5,498.9,383.4,636.1,61.0,394.2,586.2,651.8,292.9,667.5,557.4,615.5,610.9,519.7,0.0,518.1,495.8,785.8,360.6,540.2,673.8
YG,309.3,109.2,275.8,276.9,234.4,270.0,214.2,233.5,340.1,500.4,1922.1,475.6,278.8,173.6,303.4,235.2,180.6,198.1,431.1,298.6,312.4,188.1,256.7,512.4,529.3,108.5,431.1,479.1,340.9,348.2,429.0,445.4,529.3,147.0,130.9,415.9,325.6,216.4,237.1,267.6,243.6,108.3,219.8,282.9,394.5,283.7,312.3,72.2,488.2,397.9,164.7,281.6,466.5,209.2,456.2,482.3,498.5,210.8,166.2,427.7,185.7,418.8,479.1,157.1,176.5,510.9,264.5,501.2,114.1,179.0,296.6,69.5,285.9,336.3,278.4,517.4,327.5,237.2,219.0,248.8,342.5,492.2,357.8,279.8,99.2,304.8,180.8,426.4,225.4,107.1,240.5,251.3,453.5,266.6,96.0,204.4,348.4,237.9,72.3,168.1,109.9,345.7,503.3,0.0,111.3,284.8,463.3,131.2,304.2
YU,331.6,131.5,298.1,282.3,256.7,275.4,236.5,255.8,362.4,524.8,1944.4,462.1,301.1,195.9,325.7,257.5,186.0,203.5,436.5,297.7,334.7,210.4,279.0,534.7,551.6,114.2,436.5,501.4,363.2,353.6,434.4,450.8,551.6,152.4,153.2,438.2,347.9,238.7,259.4,289.9,265.9,130.6,242.1,305.2,416.8,306.0,317.7,94.5,479.3,420.2,170.1,303.9,457.6,214.6,461.6,504.6,520.8,216.8,171.6,433.1,208.0,441.1,484.5,179.4,181.9,533.2,286.8,492.3,136.4,201.3,318.9,74.9,308.2,341.7,300.7,539.7,349.8,259.5,224.4,271.1,364.8,514.5,363.2,302.1,104.6,313.0,203.1,431.8,230.8,112.5,245.9,273.6,475.8,272.0,118.3,229.8,370.7,260.2,74.6,190.4,132.2,355.0,525.6,22.2,0.0,307.1,485.6,156.8,326.5
ZB,268.0,359.3,290.1,563.2,63.3,570.1,267.9,262.6,387.3,753.3,1996.8,724.7,263.8,410.0,268.0,352.3,478.1,495.6,742.5,329.1,323.7,359.0,275.3,885.9,831.5,370.8,742.5,732.8,325.9,645.7,726.5,756.8,831.5,444.5,367.3,669.6,379.3,320.9,325.9,337.6,297.3,254.4,338.7,241.6,648.2,268.7,609.2,381.1,741.9,651.6,462.2,240.3,720.2,506.7,786.5,784.5,776.3,508.9,463.7,758.0,304.6,672.5,713.0,372.5,474.0,803.2,260.7,754.9,376.4,356.7,307.9,367.0,300.1,633.2,231.1,771.1,338.8,290.9,516.5,312.3,596.2,784.5,655.3,246.4,396.7,604.5,253.1,737.8,522.9,404.6,538.0,346.3,755.7,563.5,265.7,226.2,602.1,322.5,374.5,265.2,346.3,607.3,805.5,381.1,413.5,0.0,717.0,350.1,351.4
ZJ,389.7,323.8,489.9,106.5,497.4,113.4,428.3,435.7,428.2,221.2,2053.9,196.4,336.7,421.0,370.2,374.8,245.2,281.4,209.6,512.7,526.5,327.7,396.3,360.6,396.9,308.7,209.6,199.9,375.7,200.2,278.5,223.9,396.9,286.1,393.9,136.7,539.7,479.4,376.7,387.4,457.7,353.3,418.8,358.1,115.3,332.3,187.5,335.2,209.0,118.7,314.8,400.0,187.3,270.3,253.6,346.1,219.3,275.4,297.7,225.1,380.7,52.2,242.8,359.3,315.6,223.6,478.6,222.0,302.5,442.0,510.7,297.1,425.5,122.1,440.4,238.2,541.6,451.3,358.1,404.8,63.3,213.0,205.6,455.7,319.1,128.1,377.2,204.9,408.3,304.4,305.7,352.7,317.3,112.7,341.0,409.7,69.2,422.3,382.2,370.3,372.9,245.6,370.9,360.9,338.6,547.8,0.0,351.3,392.3
ZR,249.1,96.4,250.6,235.7,270.0,242.6,189.0,208.3,266.3,426.6,1978.7,397.2,205.0,193.6,229.6,161.4,171.6,189.1,415.0,250.2,287.2,114.3,182.9,558.4,587.2,39.1,415.0,405.3,267.1,339.2,420.0,429.3,587.2,138.0,166.5,342.1,300.4,252.0,163.3,193.8,218.4,125.9,194.6,217.5,320.7,209.9,281.7,107.8,414.4,324.1,155.7,220.0,392.7,200.2,447.2,540.2,424.7,202.4,150.1,418.7,160.5,345.0,448.5,131.9,167.5,437.1,239.3,427.4,75.1,214.6,271.4,68.2,212.1,305.7,253.2,443.6,302.3,212.0,210.0,198.7,268.7,418.4,348.8,254.6,72.2,277.0,155.6,410.3,198.4,80.1,231.5,177.5,511.4,236.0,113.6,182.3,274.6,208.9,175.4,142.9,145.5,271.9,561.2,141.0,168.0,320.4,389.5,0.0,230.4
ZV,158.3,220.3,172.5,413.6,181.9,420.5,110.9,148.2,106.0,604.5,2121.8,575.1,114.2,271.0,138.8,202.7,417.5,444.9,592.9,172.1,209.1,186.8,78.9,736.3,780.2,294.9,592.9,583.2,176.3,583.5,661.8,607.2,780.2,393.8,228.3,520.0,222.3,163.9,72.5,188.0,140.3,260.2,148.5,126.7,498.6,119.1,459.6,242.1,592.3,502.0,411.5,116.0,570.6,456.0,636.9,729.4,602.6,448.3,405.9,608.4,165.6,522.9,614.4,233.5,423.3,615.0,161.2,605.3,237.4,199.7,193.3,324.0,121.3,483.6,191.8,621.5,224.2,133.9,465.8,94.7,446.6,596.3,588.9,176.5,328.0,454.9,114.1,588.2,454.2,335.9,487.3,196.7,700.6,413.9,247.9,122.2,452.5,104.9,327.5,126.2,207.3,508.7,754.2,334.1,366.5,232.3,567.4,274.2,0.0
